time,pm10,pm2.5
2016-09-01:01,36.0,16.0
2016-09-01:02,34.0,16.0
2016-09-01:03,33.0,19.0
2016-09-01:04,32.0,17.0
2016-09-01:05,31.0,15.0
2016-09-01:06,32.0,14.0
2016-09-01:07,35.0,15.0
2016-09-01:08,43.0,21.0
2016-09-01:09,77.0,40.0
2016-09-01:10,76.0,44.0
2016-09-01:11,73.0,41.0
2016-09-01:12,74.0,47.0
2016-09-01:13,76.0,43.0
2016-09-01:14,75.0,47.0
2016-09-01:15,73.0,44.0
2016-09-01:16,72.0,46.0
2016-09-01:17,67.0,40.0
2016-09-01:18,56.0,37.0
2016-09-01:19,74.0,44.0
2016-09-01:20,75.0,51.0
2016-09-01:21,73.0,45.0
2016-09-01:22,68.0,44.0
2016-09-01:23,62.0,41.0
2016-09-01:24,68.0,42.0
2016-09-02:01,67.0,41.0
2016-09-02:02,60.0,39.0
2016-09-02:03,45.0,32.0
2016-09-02:04,36.0,28.0
2016-09-02:05,42.0,28.0
2016-09-02:06,40.0,30.0
2016-09-02:07,45.0,31.0
2016-09-02:08,44.0,33.0
2016-09-02:09,47.0,32.0
2016-09-02:10,39.0,30.0
2016-09-02:11,32.0,23.0
2016-09-02:12,27.0,19.0
2016-09-02:13,26.0,17.0
2016-09-02:14,21.0,16.0
2016-09-02:15,20.0,15.0
2016-09-02:16,19.0,15.0
2016-09-02:17,20.0,16.0
2016-09-02:18,21.0,14.0
2016-09-02:19,21.0,17.0
2016-09-02:20,29.0,25.0
2016-09-02:21,30.0,22.0
2016-09-02:22,33.0,25.0
2016-09-02:23,33.0,22.0
2016-09-02:24,33.0,23.0
2016-09-03:01,30.0,24.0
2016-09-03:02,22.0,18.0
2016-09-03:03,22.0,16.0
2016-09-03:04,19.0,13.0
2016-09-03:05,21.0,14.0
2016-09-03:06,24.0,14.0
2016-09-03:07,22.0,14.0
2016-09-03:08,21.0,14.0
2016-09-03:09,21.0,14.0
2016-09-03:10,21.0,15.0
2016-09-03:11,23.0,15.0
2016-09-03:12,21.0,13.0
2016-09-03:13,15.0,11.0
2016-09-03:14,19.0,14.0
2016-09-03:15,21.0,12.0
2016-09-03:16,22.0,15.0
2016-09-03:17,23.0,14.0
2016-09-03:18,29.0,18.0
2016-09-03:19,35.0,23.0
2016-09-03:20,44.0,33.0
2016-09-03:21,42.0,29.0
2016-09-03:22,37.0,25.0
2016-09-03:23,31.0,22.0
2016-09-03:24,36.0,23.0
2016-09-04:01,39.0,25.0
2016-09-04:02,40.0,26.0
2016-09-04:03,39.0,26.0
2016-09-04:04,33.0,21.0
