time,pm10,pm2.5
2019-09-01:01,26.0,16.0
2019-09-01:02,26.0,16.0
2019-09-01:03,25.0,10.0
2019-09-01:04,25.0,12.0
2019-09-01:05,24.0,16.0
2019-09-01:06,25.0,14.0
2019-09-01:07,21.0,16.0
2019-09-01:08,23.0,17.0
2019-09-01:09,23.0,15.0
2019-09-01:10,26.0,14.0
2019-09-01:11,27.0,18.0
2019-09-01:12,30.0,19.0
2019-09-01:13,26.0,17.0
2019-09-01:14,23.0,18.0
2019-09-01:15,18.0,13.0
2019-09-01:16,23.0,17.0
2019-09-01:17,22.0,15.0
2019-09-01:18,24.0,11.0
2019-09-01:19,24.0,15.0
2019-09-01:20,27.0,17.0
2019-09-01:21,29.0,20.0
2019-09-01:22,28.0,15.0
2019-09-01:23,26.0,18.0
2019-09-01:24,30.0,17.0
2019-09-02:01,26.0,12.0
2019-09-02:02,27.0,17.0
2019-09-02:03,30.0,15.0
2019-09-02:04,24.0,17.0
2019-09-02:05,23.0,16.0
2019-09-02:06,26.0,15.0
2019-09-02:07,26.0,14.0
2019-09-02:08,22.0,14.0
2019-09-02:09,31.0,16.0
2019-09-02:10,27.0,17.0
2019-09-02:11,31.0,15.0
2019-09-02:12,25.0,16.0
2019-09-02:13,31.0,10.0
2019-09-02:14,28.0,15.0
2019-09-02:15,30.0,18.0
2019-09-02:16,32.0,18.0
2019-09-02:17,27.0,20.0
2019-09-02:18,29.0,14.0
2019-09-02:19,28.0,12.0
2019-09-02:20,29.0,12.0
2019-09-02:21,29.0,16.0
2019-09-02:22,36.0,19.0
2019-09-02:23,36.0,17.0
2019-09-02:24,35.0,18.0
2019-09-03:01,33.0,27.0
2019-09-03:02,25.0,20.0
2019-09-03:03,24.0,14.0
2019-09-03:04,23.0,16.0
2019-09-03:05,25.0,20.0
2019-09-03:06,28.0,18.0
2019-09-03:07,24.0,16.0
2019-09-03:08,22.0,18.0
2019-09-03:09,30.0,19.0
2019-09-03:10,35.0,17.0
2019-09-03:11,27.0,14.0
2019-09-03:12,30.0,18.0
2019-09-03:13,29.0,19.0
2019-09-03:14,0.0,18.0
2019-09-03:15,17.0,14.0
2019-09-03:16,19.0,14.0
2019-09-03:17,18.0,14.0
2019-09-03:18,21.0,14.0
2019-09-03:19,13.0,11.0
2019-09-03:20,0.0,12.0
2019-09-03:21,0.0,11.0
2019-09-03:22,0.0,7.0
2019-09-03:23,7.0,4.0
2019-09-03:24,4.0,6.0
2019-09-04:01,0.0,6.0
2019-09-04:02,7.0,7.0
2019-09-04:03,8.0,7.0
2019-09-04:04,6.0,5.0
2019-09-04:05,4.0,5.0
2019-09-04:06,6.0,7.0
2019-09-04:07,7.0,6.0
2019-09-04:08,7.0,4.0
2019-09-04:09,8.0,5.0
2019-09-04:10,7.0,6.0
2019-09-04:11,9.0,10.0
2019-09-04:12,11.0,9.0
2019-09-04:13,0.0,11.0
2019-09-04:14,10.0,9.0
2019-09-04:15,8.0,10.0
2019-09-04:16,12.0,10.0
2019-09-04:17,14.0,11.0
2019-09-04:18,17.0,8.0
2019-09-04:19,14.0,11.0
2019-09-04:20,14.0,9.0
2019-09-04:21,15.0,10.0
2019-09-04:22,16.0,0.0
2019-09-04:23,14.0,6.0
2019-09-04:24,19.0,10.0
2019-09-05:01,11.0,11.0
2019-09-05:02,0.0,11.0
2019-09-05:03,10.0,9.0
2019-09-05:04,0.0,11.0
2019-09-05:05,9.0,9.0
2019-09-05:06,9.0,7.0
2019-09-05:07,9.0,6.0
2019-09-05:08,11.0,10.0
2019-09-05:09,13.0,8.0
2019-09-05:10,17.0,12.0
2019-09-05:11,24.0,14.0
2019-09-05:12,17.0,11.0
