time,pm10,pm2.5
2018-08-01:01,22.0,17.0
2018-08-01:02,23.0,18.0
2018-08-01:03,20.0,20.0
2018-08-01:04,21.0,17.0
2018-08-01:05,21.0,16.0
2018-08-01:06,25.0,19.0
2018-08-01:07,27.0,21.0
2018-08-01:08,34.0,22.0
2018-08-01:09,34.0,16.0
2018-08-01:10,25.0,12.0
2018-08-01:11,17.0,7.0
2018-08-01:12,23.0,14.0
2018-08-01:13,26.0,18.0
2018-08-01:14,35.0,25.0
2018-08-01:15,34.0,26.0
2018-08-01:16,36.0,23.0
2018-08-01:17,42.0,26.0
2018-08-01:18,42.0,29.0
2018-08-01:19,48.0,31.0
2018-08-01:20,58.0,41.0
2018-08-01:21,53.0,43.0
2018-08-01:22,47.0,34.0
2018-08-01:23,46.0,29.0
2018-08-01:24,49.0,36.0
2018-08-02:01,44.0,40.0
2018-08-02:02,44.0,34.0
2018-08-02:03,42.0,29.0
2018-08-02:04,32.0,23.0
2018-08-02:05,28.0,13.0
2018-08-02:06,25.0,16.0
2018-08-02:07,25.0,15.0
2018-08-02:08,20.0,12.0
2018-08-02:09,20.0,12.0
2018-08-02:10,28.0,14.0
2018-08-02:11,22.0,12.0
2018-08-02:12,33.0,21.0
2018-08-02:13,37.0,24.0
2018-08-02:14,43.0,33.0
2018-08-02:15,46.0,39.0
2018-08-02:16,55.0,44.0
2018-08-02:17,55.0,45.0
2018-08-02:18,56.0,46.0
2018-08-02:19,53.0,39.0
2018-08-02:20,57.0,44.0
2018-08-02:21,56.0,47.0
2018-08-02:22,68.0,55.0
2018-08-02:23,71.0,55.0
2018-08-02:24,64.0,55.0
2018-08-03:01,75.0,66.0
2018-08-03:02,71.0,63.0
2018-08-03:03,72.0,69.0
2018-08-03:04,75.0,65.0
2018-08-03:05,77.0,69.0
2018-08-03:06,62.0,58.0
2018-08-03:07,44.0,24.0
2018-08-03:08,43.0,33.0
2018-08-03:09,46.0,34.0
2018-08-03:10,34.0,22.0
2018-08-03:11,22.0,16.0
2018-08-03:12,29.0,22.0
2018-08-03:13,35.0,32.0
2018-08-03:14,41.0,35.0
