time,pm10,pm2.5
2018-02-01:01,32.0,17.0
2018-02-01:02,28.0,15.0
2018-02-01:03,31.0,22.0
2018-02-01:04,31.0,18.0
2018-02-01:05,30.0,18.0
2018-02-01:06,28.0,17.0
2018-02-01:07,33.0,19.0
2018-02-01:08,29.0,18.0
2018-02-01:09,33.0,19.0
2018-02-01:10,34.0,19.0
2018-02-01:11,42.0,24.0
2018-02-01:12,42.0,25.0
2018-02-01:13,44.0,25.0
2018-02-01:14,45.0,27.0
2018-02-01:15,36.0,23.0
2018-02-01:16,29.0,17.0
2018-02-01:17,27.0,17.0
2018-02-01:18,36.0,20.0
2018-02-01:19,35.0,23.0
2018-02-01:20,35.0,23.0
2018-02-01:21,34.0,21.0
2018-02-01:22,35.0,23.0
2018-02-01:23,38.0,24.0
2018-02-01:24,33.0,21.0
2018-02-02:01,29.0,23.0
2018-02-02:02,30.0,21.0
2018-02-02:03,35.0,23.0
2018-02-02:04,33.0,21.0
2018-02-02:05,37.0,24.0
2018-02-02:06,40.0,25.0
2018-02-02:07,45.0,29.0
2018-02-02:08,45.0,30.0
2018-02-02:09,54.0,39.0
2018-02-02:10,57.0,40.0
2018-02-02:11,56.0,38.0
2018-02-02:12,49.0,32.0
2018-02-02:13,60.0,44.0
2018-02-02:14,69.0,51.0
2018-02-02:15,65.0,50.0
2018-02-02:16,0.0,0.0
2018-02-02:17,0.0,0.0
2018-02-02:18,37.0,21.0
2018-02-02:19,48.0,28.0
2018-02-02:20,55.0,32.0
2018-02-02:21,61.0,35.0
2018-02-02:22,50.0,28.0
2018-02-02:23,50.0,29.0
2018-02-02:24,49.0,28.0
2018-02-03:01,48.0,26.0
2018-02-03:02,47.0,29.0
2018-02-03:03,47.0,36.0
2018-02-03:04,41.0,31.0
2018-02-03:05,44.0,27.0
2018-02-03:06,35.0,23.0
2018-02-03:07,32.0,22.0
2018-02-03:08,31.0,20.0
2018-02-03:09,30.0,19.0
2018-02-03:10,31.0,16.0
2018-02-03:11,34.0,16.0
2018-02-03:12,32.0,16.0
2018-02-03:13,28.0,15.0
2018-02-03:14,29.0,15.0
2018-02-03:15,25.0,16.0
2018-02-03:16,26.0,15.0
2018-02-03:17,23.0,13.0
2018-02-03:18,25.0,14.0
2018-02-03:19,20.0,14.0
2018-02-03:20,23.0,12.0
2018-02-03:21,20.0,10.0
2018-02-03:22,24.0,12.0
2018-02-03:23,26.0,14.0
2018-02-03:24,24.0,14.0
2018-02-04:01,25.0,16.0
2018-02-04:02,24.0,16.0
2018-02-04:03,25.0,18.0
2018-02-04:04,23.0,15.0
2018-02-04:05,24.0,18.0
2018-02-04:06,26.0,18.0
2018-02-04:07,28.0,21.0
2018-02-04:08,31.0,24.0
2018-02-04:09,31.0,27.0
2018-02-04:10,33.0,27.0
2018-02-04:11,34.0,31.0
2018-02-04:12,37.0,33.0
2018-02-04:13,39.0,33.0
2018-02-04:14,35.0,30.0
2018-02-04:15,32.0,29.0
2018-02-04:16,29.0,25.0
2018-02-04:17,25.0,19.0
2018-02-04:18,22.0,13.0
2018-02-04:19,18.0,11.0
2018-02-04:20,16.0,9.0
2018-02-04:21,17.0,10.0
2018-02-04:22,18.0,10.0
2018-02-04:23,23.0,16.0
2018-02-04:24,23.0,14.0
2018-02-05:01,24.0,17.0
2018-02-05:02,22.0,16.0
2018-02-05:03,21.0,16.0
2018-02-05:04,18.0,13.0
2018-02-05:05,22.0,16.0
2018-02-05:06,20.0,14.0
2018-02-05:07,21.0,14.0
2018-02-05:08,20.0,13.0
2018-02-05:09,22.0,15.0
2018-02-05:10,20.0,12.0
2018-02-05:11,24.0,15.0
2018-02-05:12,23.0,12.0
2018-02-05:13,23.0,12.0
2018-02-05:14,20.0,11.0
2018-02-05:15,24.0,13.0
2018-02-05:16,24.0,12.0
2018-02-05:17,27.0,12.0
2018-02-05:18,26.0,13.0
2018-02-05:19,23.0,14.0
2018-02-05:20,24.0,14.0
2018-02-05:21,30.0,17.0
2018-02-05:22,30.0,19.0
2018-02-05:23,31.0,20.0
2018-02-05:24,30.0,20.0
2018-02-06:01,29.0,20.0
2018-02-06:02,26.0,19.0
2018-02-06:03,26.0,17.0
2018-02-06:04,29.0,19.0
2018-02-06:05,30.0,21.0
2018-02-06:06,30.0,19.0
2018-02-06:07,24.0,17.0
2018-02-06:08,23.0,18.0
2018-02-06:09,25.0,20.0
2018-02-06:10,21.0,15.0
2018-02-06:11,24.0,17.0
2018-02-06:12,26.0,16.0
2018-02-06:13,27.0,18.0
2018-02-06:14,24.0,15.0
2018-02-06:15,24.0,16.0
2018-02-06:16,24.0,14.0
2018-02-06:17,28.0,14.0
2018-02-06:18,28.0,14.0
2018-02-06:19,34.0,19.0
2018-02-06:20,33.0,18.0
2018-02-06:21,28.0,16.0
2018-02-06:22,27.0,18.0
2018-02-06:23,31.0,19.0
2018-02-06:24,32.0,21.0
2018-02-07:01,36.0,23.0
2018-02-07:02,31.0,20.0
2018-02-07:03,31.0,21.0
2018-02-07:04,28.0,19.0
2018-02-07:05,30.0,21.0
2018-02-07:06,30.0,21.0
2018-02-07:07,35.0,26.0
2018-02-07:08,35.0,26.0
2018-02-07:09,38.0,27.0
2018-02-07:10,44.0,32.0
2018-02-07:11,57.0,40.0
2018-02-07:12,46.0,31.0
2018-02-07:13,31.0,19.0
2018-02-07:14,29.0,19.0
2018-02-07:15,27.0,17.0
2018-02-07:16,30.0,21.0
2018-02-07:17,35.0,22.0
2018-02-07:18,35.0,23.0
2018-02-07:19,37.0,28.0
2018-02-07:20,33.0,21.0
2018-02-07:21,31.0,20.0
2018-02-07:22,31.0,21.0
2018-02-07:23,32.0,22.0
2018-02-07:24,30.0,22.0
2018-02-08:01,29.0,23.0
2018-02-08:02,30.0,21.0
2018-02-08:03,31.0,23.0
2018-02-08:04,32.0,22.0
2018-02-08:05,34.0,24.0
2018-02-08:06,33.0,24.0
2018-02-08:07,38.0,28.0
2018-02-08:08,35.0,26.0
2018-02-08:09,40.0,30.0
2018-02-08:10,44.0,29.0
2018-02-08:11,51.0,37.0
2018-02-08:12,58.0,41.0
2018-02-08:13,58.0,42.0
2018-02-08:14,54.0,40.0
2018-02-08:15,49.0,35.0
2018-02-08:16,41.0,27.0
2018-02-08:17,49.0,32.0
2018-02-08:18,51.0,35.0
2018-02-08:19,48.0,35.0
2018-02-08:20,55.0,38.0
2018-02-08:21,59.0,43.0
2018-02-08:22,55.0,38.0
2018-02-08:23,59.0,46.0
2018-02-08:24,55.0,39.0
2018-02-09:01,59.0,42.0
2018-02-09:02,60.0,44.0
2018-02-09:03,61.0,47.0
2018-02-09:04,58.0,44.0
2018-02-09:05,61.0,48.0
2018-02-09:06,55.0,42.0
2018-02-09:07,57.0,44.0
2018-02-09:08,55.0,42.0
2018-02-09:09,57.0,47.0
2018-02-09:10,64.0,50.0
2018-02-09:11,65.0,54.0
2018-02-09:12,69.0,51.0
2018-02-09:13,75.0,56.0
2018-02-09:14,77.0,59.0
2018-02-09:15,81.0,62.0
2018-02-09:16,78.0,61.0
2018-02-09:17,81.0,59.0
2018-02-09:18,58.0,41.0
2018-02-09:19,49.0,44.0
2018-02-09:20,56.0,41.0
2018-02-09:21,59.0,43.0
2018-02-09:22,51.0,38.0
2018-02-09:23,54.0,42.0
2018-02-09:24,50.0,40.0
2018-02-10:01,57.0,45.0
2018-02-10:02,55.0,42.0
2018-02-10:03,55.0,42.0
2018-02-10:04,55.0,43.0
2018-02-10:05,55.0,44.0
2018-02-10:06,54.0,43.0
2018-02-10:07,58.0,44.0
2018-02-10:08,56.0,45.0
2018-02-10:09,64.0,52.0
2018-02-10:10,95.0,69.0
2018-02-10:11,123.0,86.0
2018-02-10:12,141.0,86.0
2018-02-10:13,144.0,83.0
2018-02-10:14,117.0,50.0
2018-02-10:15,81.0,26.0
2018-02-10:16,59.0,15.0
2018-02-10:17,49.0,11.0
2018-02-10:18,36.0,11.0
2018-02-10:19,29.0,10.0
2018-02-10:20,25.0,9.0
2018-02-10:21,30.0,12.0
2018-02-10:22,39.0,12.0
2018-02-10:23,39.0,9.0
2018-02-10:24,40.0,11.0
2018-02-11:01,40.0,13.0
2018-02-11:02,40.0,12.0
2018-02-11:03,40.0,12.0
2018-02-11:04,40.0,12.0
2018-02-11:05,42.0,12.0
2018-02-11:06,44.0,13.0
