time,pm10,pm2.5
2016-04-01:01,54.0,25.0
2016-04-01:02,49.0,23.0
2016-04-01:03,44.0,24.0
2016-04-01:04,43.0,18.0
2016-04-01:05,41.0,18.0
2016-04-01:06,41.0,17.0
2016-04-01:07,51.0,26.0
2016-04-01:08,69.0,39.0
2016-04-01:09,73.0,38.0
2016-04-01:10,67.0,28.0
2016-04-01:11,69.0,32.0
2016-04-01:12,57.0,19.0
2016-04-01:13,50.0,22.0
2016-04-01:14,58.0,23.0
2016-04-01:15,79.0,33.0
2016-04-01:16,87.0,26.0
2016-04-01:17,71.0,22.0
2016-04-01:18,68.0,22.0
2016-04-01:19,59.0,16.0
2016-04-01:20,55.0,13.0
2016-04-01:21,54.0,18.0
2016-04-01:22,68.0,20.0
2016-04-01:23,62.0,22.0
2016-04-01:24,69.0,24.0
2016-04-02:01,70.0,27.0
2016-04-02:02,65.0,39.0
2016-04-02:03,59.0,29.0
2016-04-02:04,55.0,29.0
2016-04-02:05,52.0,24.0
2016-04-02:06,58.0,29.0
2016-04-02:07,61.0,30.0
2016-04-02:08,65.0,31.0
2016-04-02:09,70.0,32.0
2016-04-02:10,63.0,29.0
2016-04-02:11,62.0,27.0
2016-04-02:12,66.0,31.0
2016-04-02:13,84.0,33.0
2016-04-02:14,67.0,33.0
2016-04-02:15,65.0,27.0
2016-04-02:16,68.0,34.0
2016-04-02:17,71.0,28.0
2016-04-02:18,64.0,29.0
2016-04-02:19,63.0,31.0
2016-04-02:20,60.0,30.0
2016-04-02:21,81.0,40.0
2016-04-02:22,87.0,47.0
2016-04-02:23,83.0,47.0
2016-04-02:24,72.0,42.0
2016-04-03:01,73.0,55.0
2016-04-03:02,76.0,65.0
2016-04-03:03,46.0,44.0
2016-04-03:04,65.0,43.0
2016-04-03:05,51.0,41.0
2016-04-03:06,29.0,23.0
2016-04-03:07,49.0,35.0
2016-04-03:08,49.0,32.0
2016-04-03:09,52.0,35.0
2016-04-03:10,47.0,33.0
2016-04-03:11,41.0,24.0
2016-04-03:12,32.0,24.0
2016-04-03:13,31.0,16.0
2016-04-03:14,25.0,17.0
2016-04-03:15,43.0,19.0
2016-04-03:16,42.0,18.0
2016-04-03:17,26.0,6.0
2016-04-03:18,21.0,3.0
2016-04-03:19,20.0,7.0
2016-04-03:20,18.0,9.0
2016-04-03:21,25.0,8.0
2016-04-03:22,26.0,10.0
2016-04-03:23,35.0,9.0
2016-04-03:24,38.0,9.0
2016-04-04:01,31.0,9.0
2016-04-04:02,20.0,13.0
2016-04-04:03,24.0,9.0
2016-04-04:04,19.0,12.0
2016-04-04:05,23.0,16.0
2016-04-04:06,25.0,13.0
2016-04-04:07,24.0,12.0
2016-04-04:08,25.0,13.0
2016-04-04:09,30.0,11.0
2016-04-04:10,24.0,9.0
2016-04-04:11,24.0,8.0
2016-04-04:12,25.0,12.0
2016-04-04:13,20.0,4.0
