time,pm10,pm2.5
2020-01-01:01,28.0,21.0
2020-01-01:02,28.0,20.0
2020-01-01:03,27.0,20.0
2020-01-01:04,24.0,19.0
2020-01-01:05,22.0,21.0
2020-01-01:06,22.0,17.0
2020-01-01:07,27.0,18.0
2020-01-01:08,26.0,18.0
2020-01-01:09,27.0,20.0
2020-01-01:10,27.0,19.0
2020-01-01:11,26.0,21.0
2020-01-01:12,29.0,24.0
2020-01-01:13,32.0,27.0
2020-01-01:14,34.0,26.0
2020-01-01:15,36.0,27.0
2020-01-01:16,37.0,26.0
2020-01-01:17,41.0,27.0
2020-01-01:18,38.0,27.0
2020-01-01:19,41.0,29.0
2020-01-01:20,39.0,30.0
2020-01-01:21,44.0,31.0
2020-01-01:22,41.0,31.0
2020-01-01:23,42.0,33.0
2020-01-01:24,42.0,32.0
2020-01-02:01,45.0,36.0
2020-01-02:02,42.0,33.0
2020-01-02:03,43.0,32.0
2020-01-02:04,38.0,31.0
2020-01-02:05,39.0,32.0
2020-01-02:06,40.0,30.0
2020-01-02:07,44.0,34.0
2020-01-02:08,46.0,33.0
2020-01-02:09,49.0,35.0
2020-01-02:10,51.0,38.0
2020-01-02:11,55.0,45.0
2020-01-02:12,62.0,46.0
2020-01-02:13,67.0,51.0
2020-01-02:14,0.0,0.0
2020-01-02:15,0.0,0.0
2020-01-02:16,48.0,33.0
2020-01-02:17,76.0,58.0
2020-01-02:18,70.0,51.0
2020-01-02:19,68.0,51.0
2020-01-02:20,67.0,49.0
2020-01-02:21,68.0,53.0
2020-01-02:22,67.0,50.0
2020-01-02:23,72.0,52.0
2020-01-02:24,67.0,52.0
2020-01-03:01,66.0,52.0
2020-01-03:02,68.0,54.0
2020-01-03:03,69.0,55.0
2020-01-03:04,66.0,50.0
2020-01-03:05,69.0,55.0
2020-01-03:06,68.0,53.0
2020-01-03:07,72.0,56.0
2020-01-03:08,71.0,54.0
2020-01-03:09,74.0,53.0
2020-01-03:10,70.0,53.0
2020-01-03:11,66.0,49.0
2020-01-03:12,61.0,42.0
2020-01-03:13,63.0,45.0
2020-01-03:14,62.0,45.0
2020-01-03:15,55.0,40.0
2020-01-03:16,47.0,33.0
2020-01-03:17,49.0,33.0
2020-01-03:18,52.0,36.0
2020-01-03:19,50.0,36.0
2020-01-03:20,49.0,35.0
2020-01-03:21,55.0,39.0
2020-01-03:22,54.0,38.0
2020-01-03:23,53.0,41.0
2020-01-03:24,55.0,40.0
2020-01-04:01,53.0,41.0
2020-01-04:02,51.0,38.0
2020-01-04:03,50.0,40.0
2020-01-04:04,50.0,39.0
2020-01-04:05,52.0,40.0
2020-01-04:06,51.0,39.0
2020-01-04:07,56.0,44.0
2020-01-04:08,57.0,42.0
2020-01-04:09,58.0,46.0
2020-01-04:10,63.0,46.0
2020-01-04:11,71.0,54.0
2020-01-04:12,75.0,58.0
2020-01-04:13,64.0,50.0
2020-01-04:14,47.0,35.0
2020-01-04:15,40.0,30.0
2020-01-04:16,37.0,29.0
2020-01-04:17,43.0,33.0
2020-01-04:18,41.0,31.0
2020-01-04:19,47.0,37.0
2020-01-04:20,45.0,33.0
2020-01-04:21,45.0,33.0
2020-01-04:22,42.0,34.0
2020-01-04:23,44.0,36.0
2020-01-04:24,46.0,34.0
2020-01-05:01,46.0,37.0
2020-01-05:02,42.0,33.0
2020-01-05:03,41.0,34.0
2020-01-05:04,40.0,29.0
2020-01-05:05,42.0,33.0
2020-01-05:06,42.0,32.0
2020-01-05:07,45.0,34.0
2020-01-05:08,47.0,34.0
2020-01-05:09,54.0,39.0
2020-01-05:10,55.0,40.0
2020-01-05:11,60.0,45.0
2020-01-05:12,60.0,46.0
2020-01-05:13,55.0,46.0
2020-01-05:14,53.0,41.0
2020-01-05:15,47.0,39.0
2020-01-05:16,45.0,36.0
2020-01-05:17,44.0,35.0
2020-01-05:18,45.0,34.0
2020-01-05:19,50.0,40.0
2020-01-05:20,52.0,39.0
2020-01-05:21,55.0,40.0
2020-01-05:22,57.0,41.0
2020-01-05:23,54.0,41.0
2020-01-05:24,53.0,38.0
2020-01-06:01,54.0,39.0
2020-01-06:02,48.0,37.0
2020-01-06:03,43.0,35.0
2020-01-06:04,42.0,34.0
2020-01-06:05,41.0,33.0
2020-01-06:06,39.0,32.0
2020-01-06:07,41.0,33.0
2020-01-06:08,43.0,33.0
2020-01-06:09,45.0,36.0
2020-01-06:10,47.0,35.0
2020-01-06:11,54.0,38.0
2020-01-06:12,48.0,35.0
2020-01-06:13,45.0,33.0
2020-01-06:14,44.0,32.0
2020-01-06:15,35.0,28.0
2020-01-06:16,29.0,22.0
2020-01-06:17,28.0,24.0
2020-01-06:18,29.0,21.0
2020-01-06:19,26.0,21.0
2020-01-06:20,27.0,21.0
2020-01-06:21,25.0,21.0
2020-01-06:22,21.0,15.0
2020-01-06:23,20.0,15.0
2020-01-06:24,16.0,12.0
2020-01-07:01,16.0,11.0
2020-01-07:02,11.0,8.0
2020-01-07:03,10.0,8.0
2020-01-07:04,6.0,6.0
2020-01-07:05,8.0,6.0
2020-01-07:06,6.0,5.0
2020-01-07:07,8.0,5.0
2020-01-07:08,10.0,8.0
2020-01-07:09,12.0,9.0
2020-01-07:10,11.0,8.0
2020-01-07:11,14.0,12.0
2020-01-07:12,14.0,11.0
2020-01-07:13,13.0,11.0
2020-01-07:14,11.0,10.0
2020-01-07:15,15.0,9.0
2020-01-07:16,13.0,11.0
2020-01-07:17,14.0,9.0
2020-01-07:18,9.0,7.0
2020-01-07:19,10.0,7.0
2020-01-07:20,10.0,10.0
