time,pm10,pm2.5
2018-11-01:01,24.0,14.0
2018-11-01:02,23.0,13.0
2018-11-01:03,24.0,16.0
2018-11-01:04,25.0,16.0
2018-11-01:05,28.0,17.0
2018-11-01:06,26.0,16.0
2018-11-01:07,29.0,17.0
2018-11-01:08,30.0,17.0
2018-11-01:09,31.0,18.0
2018-11-01:10,34.0,20.0
2018-11-01:11,40.0,25.0
2018-11-01:12,36.0,20.0
2018-11-01:13,43.0,23.0
2018-11-01:14,40.0,23.0
2018-11-01:15,31.0,14.0
2018-11-01:16,28.0,18.0
2018-11-01:17,29.0,18.0
2018-11-01:18,33.0,17.0
2018-11-01:19,37.0,18.0
2018-11-01:20,28.0,17.0
2018-11-01:21,29.0,15.0
2018-11-01:22,30.0,19.0
2018-11-01:23,35.0,23.0
2018-11-01:24,39.0,24.0
2018-11-02:01,38.0,25.0
2018-11-02:02,34.0,22.0
2018-11-02:03,31.0,20.0
2018-11-02:04,30.0,20.0
2018-11-02:05,38.0,26.0
2018-11-02:06,28.0,18.0
2018-11-02:07,30.0,18.0
2018-11-02:08,32.0,20.0
2018-11-02:09,39.0,21.0
2018-11-02:10,42.0,22.0
2018-11-02:11,43.0,25.0
2018-11-02:12,42.0,27.0
2018-11-02:13,47.0,29.0
2018-11-02:14,32.0,19.0
2018-11-02:15,25.0,16.0
2018-11-02:16,28.0,16.0
2018-11-02:17,46.0,25.0
2018-11-02:18,56.0,24.0
2018-11-02:19,48.0,23.0
2018-11-02:20,43.0,22.0
2018-11-02:21,43.0,24.0
2018-11-02:22,41.0,23.0
2018-11-02:23,47.0,28.0
2018-11-02:24,53.0,33.0
2018-11-03:01,52.0,33.0
2018-11-03:02,46.0,31.0
2018-11-03:03,45.0,30.0
2018-11-03:04,39.0,26.0
2018-11-03:05,40.0,26.0
2018-11-03:06,40.0,26.0
2018-11-03:07,40.0,25.0
2018-11-03:08,41.0,26.0
2018-11-03:09,40.0,25.0
2018-11-03:10,45.0,30.0
2018-11-03:11,53.0,34.0
2018-11-03:12,57.0,37.0
2018-11-03:13,57.0,37.0
2018-11-03:14,43.0,30.0
2018-11-03:15,44.0,31.0
2018-11-03:16,38.0,24.0
2018-11-03:17,34.0,19.0
2018-11-03:18,26.0,17.0
2018-11-03:19,45.0,29.0
2018-11-03:20,59.0,39.0
2018-11-03:21,60.0,41.0
2018-11-03:22,55.0,37.0
2018-11-03:23,63.0,45.0
2018-11-03:24,52.0,36.0
2018-11-04:01,45.0,30.0
2018-11-04:02,37.0,27.0
2018-11-04:03,32.0,21.0
2018-11-04:04,30.0,22.0
2018-11-04:05,30.0,22.0
2018-11-04:06,34.0,24.0
2018-11-04:07,35.0,23.0
2018-11-04:08,34.0,25.0
2018-11-04:09,37.0,27.0
2018-11-04:10,36.0,26.0
2018-11-04:11,47.0,30.0
2018-11-04:12,67.0,38.0
2018-11-04:13,56.0,35.0
2018-11-04:14,46.0,32.0
2018-11-04:15,47.0,34.0
2018-11-04:16,42.0,31.0
2018-11-04:17,34.0,22.0
2018-11-04:18,31.0,22.0
2018-11-04:19,35.0,24.0
2018-11-04:20,34.0,23.0
2018-11-04:21,35.0,26.0
2018-11-04:22,37.0,27.0
2018-11-04:23,40.0,28.0
2018-11-04:24,38.0,26.0
2018-11-05:01,37.0,28.0
2018-11-05:02,40.0,30.0
2018-11-05:03,42.0,33.0
2018-11-05:04,40.0,30.0
2018-11-05:05,43.0,31.0
2018-11-05:06,41.0,31.0
2018-11-05:07,45.0,34.0
2018-11-05:08,45.0,32.0
2018-11-05:09,45.0,31.0
2018-11-05:10,53.0,35.0
2018-11-05:11,55.0,33.0
2018-11-05:12,0.0,0.0
2018-11-05:13,0.0,0.0
2018-11-05:14,0.0,0.0
2018-11-05:15,49.0,34.0
2018-11-05:16,52.0,35.0
2018-11-05:17,56.0,37.0
2018-11-05:18,55.0,31.0
2018-11-05:19,53.0,26.0
2018-11-05:20,46.0,26.0
2018-11-05:21,54.0,31.0
