time,pm10,pm2.5
2016-01-01:01,108.0,0.0
2016-01-01:02,108.0,0.0
2016-01-01:03,113.0,0.0
2016-01-01:04,111.0,0.0
2016-01-01:05,112.0,0.0
2016-01-01:06,119.0,0.0
2016-01-01:07,111.0,0.0
2016-01-01:08,104.0,0.0
2016-01-01:09,107.0,0.0
2016-01-01:10,107.0,0.0
2016-01-01:11,105.0,0.0
2016-01-01:12,106.0,0.0
2016-01-01:13,92.0,0.0
2016-01-01:14,87.0,0.0
2016-01-01:15,83.0,0.0
2016-01-01:16,76.0,0.0
2016-01-01:17,65.0,0.0
2016-01-01:18,63.0,0.0
2016-01-01:19,65.0,0.0
2016-01-01:20,60.0,0.0
2016-01-01:21,54.0,0.0
2016-01-01:22,51.0,0.0
2016-01-01:23,51.0,0.0
2016-01-01:24,41.0,0.0
2016-01-02:01,43.0,0.0
2016-01-02:02,41.0,0.0
2016-01-02:03,41.0,0.0
2016-01-02:04,41.0,0.0
2016-01-02:05,42.0,0.0
2016-01-02:06,42.0,0.0
2016-01-02:07,47.0,0.0
2016-01-02:08,43.0,0.0
2016-01-02:09,42.0,0.0
2016-01-02:10,47.0,0.0
2016-01-02:11,55.0,0.0
2016-01-02:12,68.0,0.0
2016-01-02:13,64.0,0.0
2016-01-02:14,69.0,0.0
2016-01-02:15,86.0,0.0
2016-01-02:16,108.0,0.0
2016-01-02:17,99.0,0.0
2016-01-02:18,96.0,0.0
2016-01-02:19,88.0,0.0
2016-01-02:20,84.0,0.0
2016-01-02:21,85.0,0.0
2016-01-02:22,91.0,0.0
2016-01-02:23,87.0,0.0
2016-01-02:24,79.0,0.0
2016-01-03:01,69.0,0.0
2016-01-03:02,65.0,0.0
2016-01-03:03,72.0,0.0
2016-01-03:04,71.0,0.0
2016-01-03:05,73.0,0.0
2016-01-03:06,70.0,0.0
2016-01-03:07,86.0,0.0
2016-01-03:08,85.0,0.0
2016-01-03:09,111.0,0.0
2016-01-03:10,127.0,0.0
2016-01-03:11,112.0,0.0
2016-01-03:12,121.0,0.0
2016-01-03:13,136.0,0.0
2016-01-03:14,141.0,0.0
2016-01-03:15,146.0,0.0
2016-01-03:16,151.0,0.0
2016-01-03:17,181.0,0.0
2016-01-03:18,165.0,0.0
2016-01-03:19,144.0,0.0
2016-01-03:20,158.0,0.0
2016-01-03:21,206.0,0.0
2016-01-03:22,195.0,0.0
2016-01-03:23,178.0,0.0
2016-01-03:24,174.0,0.0
2016-01-04:01,175.0,0.0
2016-01-04:02,193.0,0.0
2016-01-04:03,216.0,0.0
2016-01-04:04,199.0,0.0
2016-01-04:05,188.0,0.0
2016-01-04:06,179.0,0.0
2016-01-04:07,181.0,0.0
2016-01-04:08,168.0,0.0
2016-01-04:09,161.0,0.0
2016-01-04:10,151.0,0.0
2016-01-04:11,114.0,0.0
2016-01-04:12,73.0,0.0
2016-01-04:13,50.0,0.0
2016-01-04:14,38.0,0.0
2016-01-04:15,31.0,0.0
2016-01-04:16,27.0,0.0
2016-01-04:17,35.0,0.0
2016-01-04:18,36.0,0.0
2016-01-04:19,54.0,0.0
2016-01-04:20,51.0,0.0
2016-01-04:21,66.0,0.0
2016-01-04:22,43.0,0.0
2016-01-04:23,31.0,0.0
2016-01-04:24,29.0,0.0
2016-01-05:01,32.0,0.0
2016-01-05:02,32.0,0.0
2016-01-05:03,32.0,0.0
2016-01-05:04,34.0,0.0
2016-01-05:05,29.0,0.0
2016-01-05:06,30.0,0.0
2016-01-05:07,31.0,0.0
2016-01-05:08,33.0,0.0
2016-01-05:09,32.0,0.0
2016-01-05:10,34.0,0.0
2016-01-05:11,37.0,0.0
2016-01-05:12,47.0,0.0
2016-01-05:13,39.0,0.0
2016-01-05:14,40.0,0.0
2016-01-05:15,46.0,0.0
2016-01-05:16,46.0,0.0
2016-01-05:17,50.0,0.0
2016-01-05:18,55.0,0.0
2016-01-05:19,55.0,0.0
2016-01-05:20,58.0,0.0
2016-01-05:21,78.0,0.0
2016-01-05:22,68.0,0.0
2016-01-05:23,58.0,0.0
2016-01-05:24,56.0,0.0
2016-01-06:01,57.0,0.0
2016-01-06:02,48.0,0.0
2016-01-06:03,52.0,0.0
2016-01-06:04,44.0,0.0
2016-01-06:05,44.0,0.0
2016-01-06:06,51.0,0.0
2016-01-06:07,51.0,0.0
2016-01-06:08,55.0,0.0
2016-01-06:09,52.0,0.0
2016-01-06:10,55.0,0.0
