time,pm10,pm2.5
2016-02-01:01,26.0,18.0
2016-02-01:02,26.0,16.0
2016-02-01:03,26.0,17.0
2016-02-01:04,25.0,16.0
2016-02-01:05,23.0,16.0
2016-02-01:06,25.0,15.0
2016-02-01:07,26.0,12.0
2016-02-01:08,27.0,18.0
2016-02-01:09,28.0,16.0
2016-02-01:10,31.0,15.0
2016-02-01:11,29.0,21.0
2016-02-01:12,35.0,23.0
2016-02-01:13,28.0,19.0
2016-02-01:14,28.0,18.0
2016-02-01:15,31.0,24.0
2016-02-01:16,32.0,23.0
2016-02-01:17,29.0,21.0
2016-02-01:18,31.0,21.0
2016-02-01:19,34.0,21.0
2016-02-01:20,32.0,18.0
2016-02-01:21,31.0,19.0
2016-02-01:22,29.0,20.0
2016-02-01:23,27.0,17.0
2016-02-01:24,26.0,18.0
2016-02-02:01,25.0,17.0
2016-02-02:02,29.0,18.0
2016-02-02:03,31.0,19.0
2016-02-02:04,30.0,18.0
2016-02-02:05,26.0,19.0
2016-02-02:06,27.0,18.0
2016-02-02:07,27.0,16.0
2016-02-02:08,24.0,15.0
2016-02-02:09,26.0,15.0
2016-02-02:10,28.0,19.0
2016-02-02:11,32.0,21.0
2016-02-02:12,40.0,26.0
2016-02-02:13,38.0,25.0
2016-02-02:14,35.0,22.0
2016-02-02:15,33.0,23.0
2016-02-02:16,33.0,24.0
2016-02-02:17,31.0,22.0
2016-02-02:18,36.0,26.0
2016-02-02:19,37.0,24.0
2016-02-02:20,37.0,23.0
2016-02-02:21,36.0,26.0
2016-02-02:22,38.0,25.0
2016-02-02:23,42.0,28.0
2016-02-02:24,37.0,22.0
2016-02-03:01,38.0,24.0
2016-02-03:02,34.0,22.0
2016-02-03:03,39.0,26.0
2016-02-03:04,39.0,25.0
2016-02-03:05,36.0,23.0
2016-02-03:06,37.0,25.0
2016-02-03:07,40.0,24.0
2016-02-03:08,44.0,30.0
2016-02-03:09,52.0,34.0
2016-02-03:10,55.0,35.0
2016-02-03:11,56.0,38.0
2016-02-03:12,51.0,37.0
2016-02-03:13,49.0,35.0
2016-02-03:14,44.0,32.0
2016-02-03:15,46.0,36.0
2016-02-03:16,44.0,31.0
2016-02-03:17,38.0,30.0
2016-02-03:18,40.0,31.0
2016-02-03:19,39.0,29.0
2016-02-03:20,42.0,33.0
2016-02-03:21,45.0,32.0
2016-02-03:22,50.0,39.0
2016-02-03:23,57.0,42.0
2016-02-03:24,56.0,44.0
2016-02-04:01,49.0,35.0
2016-02-04:02,46.0,33.0
2016-02-04:03,46.0,37.0
2016-02-04:04,44.0,36.0
2016-02-04:05,43.0,32.0
2016-02-04:06,43.0,34.0
2016-02-04:07,42.0,35.0
2016-02-04:08,44.0,37.0
2016-02-04:09,44.0,34.0
2016-02-04:10,47.0,39.0
2016-02-04:11,60.0,46.0
2016-02-04:12,62.0,50.0
2016-02-04:13,57.0,43.0
2016-02-04:14,47.0,35.0
2016-02-04:15,47.0,34.0
2016-02-04:16,37.0,28.0
2016-02-04:17,52.0,37.0
2016-02-04:18,46.0,28.0
2016-02-04:19,39.0,22.0
2016-02-04:20,42.0,27.0
2016-02-04:21,41.0,27.0
2016-02-04:22,37.0,20.0
2016-02-04:23,35.0,25.0
2016-02-04:24,37.0,23.0
2016-02-05:01,33.0,17.0
2016-02-05:02,25.0,15.0
2016-02-05:03,25.0,18.0
2016-02-05:04,21.0,15.0
2016-02-05:05,22.0,12.0
2016-02-05:06,26.0,14.0
2016-02-05:07,27.0,16.0
2016-02-05:08,30.0,18.0
2016-02-05:09,33.0,21.0
2016-02-05:10,33.0,24.0
2016-02-05:11,38.0,25.0
2016-02-05:12,33.0,21.0
2016-02-05:13,35.0,24.0
2016-02-05:14,0.0,0.0
2016-02-05:15,0.0,0.0
2016-02-05:16,31.0,19.0
2016-02-05:17,35.0,21.0
