time,pm10,pm2.5
2019-03-01:01,101.0,79.0
2019-03-01:02,99.0,73.0
2019-03-01:03,97.0,77.0
2019-03-01:04,92.0,72.0
2019-03-01:05,96.0,77.0
2019-03-01:06,88.0,77.0
2019-03-01:07,87.0,81.0
2019-03-01:08,95.0,74.0
2019-03-01:09,101.0,78.0
2019-03-01:10,113.0,81.0
2019-03-01:11,125.0,89.0
2019-03-01:12,114.0,84.0
2019-03-01:13,115.0,85.0
2019-03-01:14,115.0,91.0
2019-03-01:15,117.0,89.0
2019-03-01:16,101.0,77.0
2019-03-01:17,108.0,76.0
2019-03-01:18,110.0,80.0
2019-03-01:19,107.0,81.0
2019-03-01:20,117.0,83.0
2019-03-01:21,125.0,88.0
2019-03-01:22,121.0,87.0
2019-03-01:23,117.0,85.0
2019-03-01:24,121.0,84.0
2019-03-02:01,118.0,91.0
2019-03-02:02,114.0,88.0
2019-03-02:03,116.0,89.0
2019-03-02:04,114.0,85.0
2019-03-02:05,112.0,90.0
2019-03-02:06,108.0,86.0
2019-03-02:07,110.0,85.0
2019-03-02:08,109.0,83.0
2019-03-02:09,114.0,89.0
2019-03-02:10,128.0,92.0
2019-03-02:11,127.0,85.0
2019-03-02:12,117.0,78.0
2019-03-02:13,102.0,77.0
2019-03-02:14,90.0,69.0
2019-03-02:15,90.0,75.0
2019-03-02:16,93.0,67.0
2019-03-02:17,89.0,66.0
2019-03-02:18,70.0,57.0
2019-03-02:19,84.0,64.0
2019-03-02:20,109.0,79.0
2019-03-02:21,119.0,88.0
2019-03-02:22,112.0,79.0
2019-03-02:23,119.0,82.0
2019-03-02:24,115.0,81.0
2019-03-03:01,111.0,82.0
2019-03-03:02,101.0,80.0
2019-03-03:03,102.0,81.0
2019-03-03:04,95.0,74.0
2019-03-03:05,91.0,74.0
2019-03-03:06,85.0,69.0
2019-03-03:07,83.0,70.0
2019-03-03:08,86.0,69.0
2019-03-03:09,86.0,69.0
2019-03-03:10,103.0,72.0
2019-03-03:11,113.0,78.0
2019-03-03:12,90.0,58.0
2019-03-03:13,63.0,47.0
2019-03-03:14,64.0,43.0
2019-03-03:15,64.0,45.0
2019-03-03:16,67.0,45.0
2019-03-03:17,79.0,52.0
2019-03-03:18,94.0,67.0
2019-03-03:19,124.0,87.0
2019-03-03:20,133.0,96.0
2019-03-03:21,146.0,106.0
2019-03-03:22,158.0,112.0
2019-03-03:23,156.0,105.0
2019-03-03:24,139.0,100.0
2019-03-04:01,145.0,107.0
2019-03-04:02,142.0,107.0
2019-03-04:03,147.0,109.0
2019-03-04:04,144.0,107.0
2019-03-04:05,146.0,109.0
2019-03-04:06,154.0,113.0
2019-03-04:07,158.0,117.0
2019-03-04:08,159.0,116.0
2019-03-04:09,170.0,121.0
2019-03-04:10,173.0,122.0
2019-03-04:11,148.0,98.0
2019-03-04:12,89.0,60.0
2019-03-04:13,78.0,54.0
2019-03-04:14,72.0,51.0
2019-03-04:15,102.0,76.0
2019-03-04:16,101.0,77.0
2019-03-04:17,106.0,66.0
2019-03-04:18,115.0,73.0
2019-03-04:19,155.0,111.0
2019-03-04:20,177.0,139.0
2019-03-04:21,187.0,137.0
2019-03-04:22,178.0,134.0
2019-03-04:23,183.0,141.0
2019-03-04:24,195.0,162.0
2019-03-05:01,200.0,177.0
2019-03-05:02,188.0,165.0
2019-03-05:03,187.0,164.0
2019-03-05:04,187.0,163.0
2019-03-05:05,186.0,164.0
2019-03-05:06,185.0,159.0
2019-03-05:07,181.0,156.0
2019-03-05:08,191.0,160.0
2019-03-05:09,192.0,165.0
2019-03-05:10,184.0,158.0
2019-03-05:11,193.0,171.0
2019-03-05:12,191.0,162.0
2019-03-05:13,193.0,157.0
2019-03-05:14,186.0,149.0
2019-03-05:15,171.0,139.0
2019-03-05:16,164.0,129.0
2019-03-05:17,175.0,137.0
2019-03-05:18,165.0,134.0
2019-03-05:19,155.0,136.0
2019-03-05:20,158.0,130.0
2019-03-05:21,142.0,118.0
2019-03-05:22,125.0,103.0
2019-03-05:23,118.0,101.0
2019-03-05:24,123.0,107.0
2019-03-06:01,151.0,124.0
2019-03-06:02,141.0,125.0
2019-03-06:03,152.0,131.0
2019-03-06:04,147.0,124.0
2019-03-06:05,148.0,127.0
2019-03-06:06,146.0,123.0
