time,pm10,pm2.5
2020-01-01:01,20.0,15.0
2020-01-01:02,21.0,18.0
2020-01-01:03,23.0,21.0
2020-01-01:04,22.0,18.0
2020-01-01:05,21.0,17.0
2020-01-01:06,21.0,17.0
2020-01-01:07,22.0,18.0
2020-01-01:08,22.0,18.0
2020-01-01:09,21.0,21.0
2020-01-01:10,22.0,19.0
2020-01-01:11,26.0,20.0
2020-01-01:12,25.0,22.0
2020-01-01:13,26.0,23.0
2020-01-01:14,31.0,26.0
2020-01-01:15,31.0,28.0
2020-01-01:16,31.0,26.0
2020-01-01:17,39.0,31.0
2020-01-01:18,33.0,28.0
2020-01-01:19,36.0,27.0
2020-01-01:20,34.0,29.0
2020-01-01:21,37.0,33.0
2020-01-01:22,37.0,33.0
2020-01-01:23,41.0,35.0
2020-01-01:24,39.0,33.0
2020-01-02:01,42.0,35.0
2020-01-02:02,41.0,35.0
2020-01-02:03,38.0,35.0
2020-01-02:04,38.0,32.0
2020-01-02:05,38.0,30.0
2020-01-02:06,37.0,32.0
2020-01-02:07,40.0,35.0
2020-01-02:08,40.0,34.0
2020-01-02:09,42.0,34.0
2020-01-02:10,41.0,35.0
2020-01-02:11,42.0,36.0
2020-01-02:12,44.0,36.0
2020-01-02:13,50.0,39.0
2020-01-02:14,54.0,44.0
2020-01-02:15,56.0,45.0
2020-01-02:16,57.0,46.0
2020-01-02:17,55.0,46.0
2020-01-02:18,52.0,43.0
2020-01-02:19,52.0,47.0
2020-01-02:20,56.0,49.0
2020-01-02:21,63.0,51.0
2020-01-02:22,62.0,52.0
2020-01-02:23,57.0,52.0
2020-01-02:24,59.0,51.0
2020-01-03:01,60.0,51.0
2020-01-03:02,61.0,52.0
2020-01-03:03,64.0,53.0
2020-01-03:04,62.0,54.0
2020-01-03:05,61.0,54.0
2020-01-03:06,61.0,53.0
2020-01-03:07,60.0,53.0
2020-01-03:08,61.0,52.0
2020-01-03:09,68.0,55.0
2020-01-03:10,69.0,56.0
2020-01-03:11,69.0,57.0
2020-01-03:12,67.0,57.0
2020-01-03:13,58.0,50.0
2020-01-03:14,53.0,44.0
2020-01-03:15,46.0,38.0
2020-01-03:16,42.0,34.0
2020-01-03:17,36.0,30.0
2020-01-03:18,34.0,28.0
2020-01-03:19,35.0,28.0
2020-01-03:20,39.0,31.0
2020-01-03:21,48.0,38.0
2020-01-03:22,47.0,40.0
2020-01-03:23,46.0,40.0
2020-01-03:24,44.0,39.0
2020-01-04:01,50.0,42.0
2020-01-04:02,49.0,41.0
2020-01-04:03,46.0,41.0
2020-01-04:04,47.0,41.0
2020-01-04:05,52.0,46.0
2020-01-04:06,48.0,41.0
2020-01-04:07,48.0,41.0
2020-01-04:08,46.0,38.0
2020-01-04:09,53.0,45.0
2020-01-04:10,59.0,45.0
2020-01-04:11,64.0,44.0
2020-01-04:12,71.0,53.0
2020-01-04:13,62.0,53.0
2020-01-04:14,50.0,42.0
2020-01-04:15,36.0,30.0
2020-01-04:16,37.0,29.0
2020-01-04:17,42.0,36.0
2020-01-04:18,41.0,36.0
2020-01-04:19,42.0,37.0
2020-01-04:20,45.0,40.0
2020-01-04:21,48.0,42.0
2020-01-04:22,45.0,39.0
2020-01-04:23,41.0,38.0
2020-01-04:24,42.0,36.0
2020-01-05:01,47.0,41.0
2020-01-05:02,48.0,39.0
2020-01-05:03,48.0,41.0
2020-01-05:04,48.0,40.0
2020-01-05:05,50.0,42.0
2020-01-05:06,48.0,41.0
2020-01-05:07,48.0,42.0
2020-01-05:08,50.0,41.0
2020-01-05:09,53.0,44.0
2020-01-05:10,50.0,41.0
2020-01-05:11,53.0,42.0
2020-01-05:12,59.0,50.0
2020-01-05:13,52.0,45.0
2020-01-05:14,47.0,40.0
2020-01-05:15,40.0,34.0
2020-01-05:16,37.0,31.0
2020-01-05:17,39.0,31.0
2020-01-05:18,41.0,33.0
2020-01-05:19,43.0,35.0
2020-01-05:20,46.0,37.0
2020-01-05:21,50.0,41.0
2020-01-05:22,46.0,39.0
2020-01-05:23,45.0,39.0
2020-01-05:24,42.0,36.0
2020-01-06:01,46.0,39.0
2020-01-06:02,44.0,37.0
2020-01-06:03,46.0,40.0
2020-01-06:04,44.0,37.0
2020-01-06:05,43.0,36.0
2020-01-06:06,42.0,37.0
2020-01-06:07,43.0,37.0
2020-01-06:08,45.0,37.0
2020-01-06:09,45.0,38.0
2020-01-06:10,45.0,38.0
2020-01-06:11,44.0,39.0
2020-01-06:12,40.0,32.0
2020-01-06:13,0.0,0.0
2020-01-06:14,0.0,0.0
2020-01-06:15,28.0,24.0
2020-01-06:16,25.0,19.0
2020-01-06:17,24.0,22.0
2020-01-06:18,24.0,21.0
2020-01-06:19,23.0,18.0
2020-01-06:20,17.0,14.0
2020-01-06:21,17.0,17.0
2020-01-06:22,26.0,23.0
2020-01-06:23,25.0,23.0
2020-01-06:24,24.0,21.0
2020-01-07:01,24.0,21.0
2020-01-07:02,20.0,16.0
2020-01-07:03,15.0,13.0
2020-01-07:04,9.0,7.0
2020-01-07:05,9.0,9.0
2020-01-07:06,14.0,11.0
2020-01-07:07,14.0,0.0
2020-01-07:08,12.0,10.0
2020-01-07:09,12.0,12.0
2020-01-07:10,13.0,11.0
2020-01-07:11,14.0,13.0
2020-01-07:12,17.0,14.0
2020-01-07:13,11.0,9.0
2020-01-07:14,14.0,13.0
2020-01-07:15,0.0,16.0
2020-01-07:16,12.0,10.0
2020-01-07:17,10.0,0.0
2020-01-07:18,0.0,0.0
2020-01-07:19,0.0,0.0
2020-01-07:20,0.0,9.0
2020-01-07:21,0.0,13.0
2020-01-07:22,0.0,10.0
2020-01-07:23,5.0,3.0
2020-01-07:24,0.0,11.0
2020-01-08:01,6.0,0.0
2020-01-08:02,4.0,0.0
2020-01-08:03,0.0,9.0
2020-01-08:04,5.0,2.0
2020-01-08:05,5.0,2.0
2020-01-08:06,3.0,1.0
2020-01-08:07,3.0,3.0
2020-01-08:08,3.0,1.0
2020-01-08:09,3.0,1.0
2020-01-08:10,3.0,1.0
2020-01-08:11,6.0,0.0
2020-01-08:12,8.0,8.0
2020-01-08:13,16.0,15.0
2020-01-08:14,21.0,20.0
2020-01-08:15,26.0,23.0
2020-01-08:16,37.0,36.0
2020-01-08:17,39.0,37.0
2020-01-08:18,38.0,37.0
2020-01-08:19,45.0,41.0
2020-01-08:20,56.0,52.0
2020-01-08:21,54.0,49.0
2020-01-08:22,61.0,54.0
2020-01-08:23,57.0,51.0
2020-01-08:24,51.0,48.0
2020-01-09:01,48.0,46.0
2020-01-09:02,49.0,45.0
2020-01-09:03,50.0,46.0
2020-01-09:04,51.0,47.0
2020-01-09:05,53.0,53.0
2020-01-09:06,55.0,52.0
2020-01-09:07,52.0,50.0
2020-01-09:08,51.0,46.0
2020-01-09:09,50.0,44.0
2020-01-09:10,44.0,40.0
2020-01-09:11,46.0,41.0
2020-01-09:12,47.0,43.0
2020-01-09:13,45.0,43.0
2020-01-09:14,45.0,42.0
2020-01-09:15,0.0,45.0
2020-01-09:16,41.0,37.0
