time,pm10,pm2.5
2018-04-01:01,69.0,34.0
2018-04-01:02,58.0,28.0
2018-04-01:03,59.0,31.0
2018-04-01:04,55.0,35.0
2018-04-01:05,60.0,31.0
2018-04-01:06,67.0,34.0
2018-04-01:07,64.0,31.0
2018-04-01:08,84.0,43.0
2018-04-01:09,93.0,40.0
2018-04-01:10,93.0,32.0
2018-04-01:11,82.0,28.0
2018-04-01:12,72.0,26.0
2018-04-01:13,63.0,25.0
2018-04-01:14,73.0,37.0
2018-04-01:15,90.0,42.0
2018-04-01:16,91.0,50.0
2018-04-01:17,98.0,58.0
2018-04-01:18,99.0,53.0
2018-04-01:19,107.0,50.0
2018-04-01:20,103.0,44.0
2018-04-01:21,104.0,47.0
2018-04-01:22,97.0,48.0
2018-04-01:23,87.0,45.0
2018-04-01:24,96.0,46.0
2018-04-02:01,91.0,41.0
2018-04-02:02,86.0,37.0
2018-04-02:03,85.0,36.0
2018-04-02:04,87.0,43.0
2018-04-02:05,82.0,43.0
2018-04-02:06,82.0,43.0
2018-04-02:07,83.0,44.0
2018-04-02:08,91.0,39.0
2018-04-02:09,85.0,38.0
2018-04-02:10,93.0,36.0
2018-04-02:11,86.0,28.0
2018-04-02:12,76.0,30.0
2018-04-02:13,95.0,30.0
2018-04-02:14,99.0,34.0
2018-04-02:15,85.0,31.0
2018-04-02:16,82.0,30.0
2018-04-02:17,74.0,26.0
2018-04-02:18,80.0,30.0
2018-04-02:19,73.0,26.0
2018-04-02:20,65.0,19.0
2018-04-02:21,61.0,20.0
2018-04-02:22,57.0,0.0
2018-04-02:23,56.0,22.0
2018-04-02:24,57.0,20.0
2018-04-03:01,49.0,21.0
2018-04-03:02,52.0,22.0
2018-04-03:03,57.0,18.0
2018-04-03:04,52.0,20.0
2018-04-03:05,54.0,19.0
2018-04-03:06,49.0,17.0
2018-04-03:07,52.0,18.0
2018-04-03:08,56.0,25.0
2018-04-03:09,66.0,18.0
2018-04-03:10,68.0,19.0
2018-04-03:11,80.0,25.0
2018-04-03:12,88.0,25.0
2018-04-03:13,0.0,0.0
2018-04-03:14,106.0,33.0
2018-04-03:15,99.0,29.0
2018-04-03:16,92.0,28.0
2018-04-03:17,107.0,25.0
2018-04-03:18,105.0,29.0
2018-04-03:19,106.0,29.0
2018-04-03:20,81.0,26.0
2018-04-03:21,65.0,21.0
2018-04-03:22,52.0,20.0
2018-04-03:23,56.0,30.0
2018-04-03:24,53.0,35.0
2018-04-04:01,54.0,47.0
2018-04-04:02,53.0,35.0
2018-04-04:03,25.0,20.0
2018-04-04:04,7.0,7.0
2018-04-04:05,7.0,6.0
2018-04-04:06,5.0,6.0
2018-04-04:07,5.0,6.0
2018-04-04:08,12.0,7.0
2018-04-04:09,14.0,5.0
2018-04-04:10,21.0,6.0
2018-04-04:11,14.0,5.0
2018-04-04:12,22.0,3.0
2018-04-04:13,26.0,4.0
2018-04-04:14,22.0,4.0
2018-04-04:15,25.0,4.0
2018-04-04:16,24.0,8.0
2018-04-04:17,27.0,8.0
2018-04-04:18,22.0,6.0
2018-04-04:19,23.0,4.0
2018-04-04:20,25.0,6.0
2018-04-04:21,29.0,12.0
2018-04-04:22,23.0,12.0
2018-04-04:23,26.0,12.0
2018-04-04:24,19.0,8.0
2018-04-05:01,19.0,9.0
2018-04-05:02,11.0,7.0
2018-04-05:03,12.0,8.0
2018-04-05:04,12.0,6.0
2018-04-05:05,10.0,10.0
2018-04-05:06,0.0,11.0
2018-04-05:07,0.0,13.0
2018-04-05:08,8.0,9.0
2018-04-05:09,8.0,9.0
2018-04-05:10,14.0,7.0
2018-04-05:11,0.0,11.0
2018-04-05:12,8.0,8.0
2018-04-05:13,9.0,7.0
2018-04-05:14,0.0,12.0
2018-04-05:15,7.0,7.0
2018-04-05:16,0.0,11.0
2018-04-05:17,9.0,7.0
2018-04-05:18,9.0,5.0
2018-04-05:19,15.0,10.0
2018-04-05:20,18.0,17.0
2018-04-05:21,16.0,12.0
2018-04-05:22,0.0,11.0
2018-04-05:23,9.0,11.0
2018-04-05:24,10.0,8.0
2018-04-06:01,10.0,8.0
2018-04-06:02,0.0,10.0
2018-04-06:03,0.0,12.0
2018-04-06:04,0.0,16.0
2018-04-06:05,6.0,6.0
2018-04-06:06,0.0,12.0
2018-04-06:07,16.0,12.0
2018-04-06:08,17.0,10.0
2018-04-06:09,22.0,15.0
2018-04-06:10,65.0,19.0
2018-04-06:11,102.0,31.0
2018-04-06:12,114.0,34.0
2018-04-06:13,226.0,50.0
2018-04-06:14,353.0,71.0
2018-04-06:15,326.0,68.0
2018-04-06:16,279.0,47.0
2018-04-06:17,398.0,57.0
2018-04-06:18,266.0,43.0
2018-04-06:19,190.0,34.0
2018-04-06:20,154.0,33.0
2018-04-06:21,104.0,44.0
2018-04-06:22,90.0,59.0
2018-04-06:23,127.0,60.0
2018-04-06:24,75.0,52.0
2018-04-07:01,66.0,40.0
2018-04-07:02,54.0,31.0
2018-04-07:03,49.0,33.0
2018-04-07:04,41.0,36.0
2018-04-07:05,62.0,32.0
2018-04-07:06,82.0,39.0
2018-04-07:07,104.0,40.0
2018-04-07:08,108.0,40.0
2018-04-07:09,108.0,31.0
2018-04-07:10,95.0,31.0
2018-04-07:11,88.0,31.0
2018-04-07:12,63.0,20.0
2018-04-07:13,57.0,12.0
2018-04-07:14,51.0,13.0
2018-04-07:15,57.0,14.0
2018-04-07:16,52.0,14.0
2018-04-07:17,47.0,8.0
2018-04-07:18,0.0,15.0
2018-04-07:19,35.0,15.0
2018-04-07:20,33.0,15.0
2018-04-07:21,32.0,15.0
2018-04-07:22,37.0,15.0
2018-04-07:23,0.0,14.0
2018-04-07:24,35.0,14.0
2018-04-08:01,40.0,17.0
2018-04-08:02,28.0,11.0
2018-04-08:03,29.0,9.0
2018-04-08:04,26.0,14.0
2018-04-08:05,28.0,13.0
2018-04-08:06,32.0,15.0
2018-04-08:07,43.0,15.0
2018-04-08:08,36.0,15.0
2018-04-08:09,38.0,15.0
2018-04-08:10,37.0,13.0
2018-04-08:11,28.0,11.0
2018-04-08:12,34.0,15.0
2018-04-08:13,42.0,15.0
2018-04-08:14,46.0,16.0
2018-04-08:15,47.0,10.0
2018-04-08:16,47.0,18.0
2018-04-08:17,31.0,21.0
2018-04-08:18,33.0,21.0
2018-04-08:19,34.0,24.0
2018-04-08:20,34.0,34.0
2018-04-08:21,0.0,32.0
