time,pm10,pm2.5
2016-10-01:01,65.0,35.0
2016-10-01:02,66.0,36.0
2016-10-01:03,53.0,36.0
2016-10-01:04,50.0,30.0
2016-10-01:05,48.0,25.0
2016-10-01:06,40.0,22.0
2016-10-01:07,37.0,18.0
2016-10-01:08,36.0,20.0
2016-10-01:09,38.0,22.0
2016-10-01:10,43.0,21.0
2016-10-01:11,42.0,15.0
2016-10-01:12,48.0,22.0
2016-10-01:13,49.0,23.0
2016-10-01:14,51.0,22.0
2016-10-01:15,45.0,21.0
2016-10-01:16,36.0,16.0
2016-10-01:17,40.0,27.0
2016-10-01:18,43.0,23.0
2016-10-01:19,36.0,20.0
2016-10-01:20,46.0,21.0
2016-10-01:21,44.0,29.0
2016-10-01:22,61.0,34.0
2016-10-01:23,60.0,32.0
2016-10-01:24,59.0,30.0
2016-10-02:01,48.0,24.0
2016-10-02:02,58.0,31.0
2016-10-02:03,50.0,32.0
2016-10-02:04,41.0,25.0
2016-10-02:05,39.0,20.0
2016-10-02:06,33.0,20.0
2016-10-02:07,29.0,17.0
2016-10-02:08,30.0,19.0
2016-10-02:09,26.0,13.0
2016-10-02:10,28.0,18.0
2016-10-02:11,29.0,15.0
2016-10-02:12,35.0,20.0
2016-10-02:13,29.0,14.0
2016-10-02:14,25.0,9.0
2016-10-02:15,25.0,8.0
2016-10-02:16,27.0,14.0
2016-10-02:17,22.0,6.0
2016-10-02:18,16.0,10.0
2016-10-02:19,22.0,8.0
2016-10-02:20,18.0,12.0
2016-10-02:21,17.0,5.0
2016-10-02:22,19.0,9.0
2016-10-02:23,12.0,5.0
2016-10-02:24,21.0,12.0
2016-10-03:01,24.0,8.0
2016-10-03:02,26.0,15.0
2016-10-03:03,17.0,10.0
2016-10-03:04,20.0,11.0
2016-10-03:05,11.0,6.0
2016-10-03:06,9.0,5.0
2016-10-03:07,14.0,6.0
2016-10-03:08,3.0,3.0
2016-10-03:09,8.0,3.0
2016-10-03:10,3.0,1.0
2016-10-03:11,5.0,5.0
2016-10-03:12,13.0,11.0
2016-10-03:13,8.0,5.0
2016-10-03:14,8.0,5.0
2016-10-03:15,17.0,6.0
2016-10-03:16,11.0,11.0
2016-10-03:17,13.0,8.0
2016-10-03:18,17.0,6.0
2016-10-03:19,18.0,10.0
2016-10-03:20,18.0,9.0
2016-10-03:21,23.0,8.0
2016-10-03:22,26.0,10.0
2016-10-03:23,30.0,15.0
2016-10-03:24,35.0,12.0
2016-10-04:01,30.0,23.0
2016-10-04:02,36.0,14.0
2016-10-04:03,35.0,16.0
2016-10-04:04,33.0,18.0
2016-10-04:05,32.0,14.0
2016-10-04:06,38.0,17.0
2016-10-04:07,38.0,17.0
2016-10-04:08,35.0,16.0
2016-10-04:09,27.0,14.0
2016-10-04:10,32.0,15.0
2016-10-04:11,31.0,18.0
2016-10-04:12,28.0,13.0
2016-10-04:13,18.0,12.0
2016-10-04:14,24.0,11.0
2016-10-04:15,28.0,18.0
2016-10-04:16,27.0,14.0
2016-10-04:17,38.0,10.0
2016-10-04:18,31.0,18.0
2016-10-04:19,39.0,18.0
2016-10-04:20,26.0,12.0
2016-10-04:21,27.0,13.0
2016-10-04:22,24.0,7.0
2016-10-04:23,20.0,12.0
2016-10-04:24,20.0,7.0
2016-10-05:01,10.0,15.0
2016-10-05:02,16.0,6.0
2016-10-05:03,15.0,6.0
2016-10-05:04,14.0,1.0
2016-10-05:05,13.0,5.0
2016-10-05:06,15.0,7.0
2016-10-05:07,14.0,7.0
2016-10-05:08,21.0,8.0
2016-10-05:09,29.0,10.0
2016-10-05:10,17.0,9.0
2016-10-05:11,26.0,6.0
2016-10-05:12,0.0,0.0
2016-10-05:13,37.0,0.0
2016-10-05:14,22.0,8.0
2016-10-05:15,31.0,12.0
2016-10-05:16,36.0,0.0
2016-10-05:17,26.0,9.0
2016-10-05:18,35.0,15.0
2016-10-05:19,37.0,17.0
2016-10-05:20,49.0,16.0
2016-10-05:21,51.0,16.0
2016-10-05:22,49.0,19.0
2016-10-05:23,43.0,16.0
2016-10-05:24,52.0,23.0
2016-10-06:01,50.0,19.0
2016-10-06:02,52.0,25.0
2016-10-06:03,42.0,17.0
2016-10-06:04,44.0,18.0
2016-10-06:05,44.0,21.0
2016-10-06:06,46.0,19.0
2016-10-06:07,42.0,15.0
2016-10-06:08,38.0,17.0
2016-10-06:09,30.0,11.0
2016-10-06:10,37.0,17.0
2016-10-06:11,39.0,17.0
2016-10-06:12,43.0,18.0
2016-10-06:13,46.0,19.0
2016-10-06:14,40.0,16.0
2016-10-06:15,44.0,16.0
2016-10-06:16,48.0,19.0
2016-10-06:17,48.0,21.0
2016-10-06:18,61.0,26.0
2016-10-06:19,63.0,0.0
2016-10-06:20,35.0,16.0
2016-10-06:21,31.0,13.0
2016-10-06:22,40.0,13.0
2016-10-06:23,37.0,15.0
2016-10-06:24,44.0,14.0
2016-10-07:01,43.0,12.0
2016-10-07:02,44.0,21.0
2016-10-07:03,42.0,22.0
2016-10-07:04,38.0,21.0
2016-10-07:05,30.0,14.0
2016-10-07:06,24.0,11.0
2016-10-07:07,18.0,9.0
2016-10-07:08,20.0,8.0
2016-10-07:09,19.0,8.0
2016-10-07:10,19.0,6.0
2016-10-07:11,26.0,12.0
2016-10-07:12,28.0,11.0
2016-10-07:13,29.0,9.0
2016-10-07:14,23.0,13.0
2016-10-07:15,32.0,11.0
2016-10-07:16,25.0,12.0
2016-10-07:17,28.0,10.0
2016-10-07:18,39.0,15.0
2016-10-07:19,31.0,7.0
2016-10-07:20,25.0,10.0
2016-10-07:21,24.0,11.0
2016-10-07:22,25.0,12.0
2016-10-07:23,21.0,9.0
2016-10-07:24,21.0,8.0
2016-10-08:01,15.0,13.0
2016-10-08:02,23.0,12.0
2016-10-08:03,16.0,6.0
2016-10-08:04,22.0,7.0
2016-10-08:05,18.0,7.0
2016-10-08:06,14.0,6.0
2016-10-08:07,9.0,7.0
2016-10-08:08,12.0,5.0
2016-10-08:09,12.0,8.0
2016-10-08:10,25.0,12.0
2016-10-08:11,25.0,13.0
2016-10-08:12,24.0,11.0
2016-10-08:13,29.0,16.0
2016-10-08:14,27.0,14.0
2016-10-08:15,25.0,13.0
2016-10-08:16,29.0,9.0
2016-10-08:17,28.0,14.0
2016-10-08:18,36.0,16.0
2016-10-08:19,30.0,15.0
2016-10-08:20,34.0,20.0
2016-10-08:21,0.0,24.0
2016-10-08:22,44.0,18.0
2016-10-08:23,32.0,9.0
2016-10-08:24,36.0,12.0
2016-10-09:01,33.0,11.0
2016-10-09:02,29.0,11.0
2016-10-09:03,19.0,10.0
2016-10-09:04,16.0,5.0
2016-10-09:05,11.0,6.0
2016-10-09:06,15.0,9.0
2016-10-09:07,14.0,4.0
2016-10-09:08,17.0,9.0
2016-10-09:09,13.0,6.0
2016-10-09:10,12.0,8.0
2016-10-09:11,15.0,8.0
2016-10-09:12,18.0,11.0
2016-10-09:13,13.0,10.0
2016-10-09:14,15.0,7.0
2016-10-09:15,24.0,15.0
2016-10-09:16,18.0,10.0
2016-10-09:17,24.0,11.0
2016-10-09:18,33.0,9.0
2016-10-09:19,16.0,12.0
2016-10-09:20,15.0,4.0
2016-10-09:21,22.0,8.0
2016-10-09:22,32.0,8.0
2016-10-09:23,30.0,8.0
2016-10-09:24,28.0,10.0
2016-10-10:01,23.0,4.0
2016-10-10:02,25.0,7.0
2016-10-10:03,26.0,8.0
2016-10-10:04,19.0,9.0
2016-10-10:05,25.0,7.0
2016-10-10:06,23.0,9.0
2016-10-10:07,25.0,10.0
2016-10-10:08,31.0,12.0
2016-10-10:09,27.0,7.0
2016-10-10:10,26.0,12.0
2016-10-10:11,31.0,8.0
2016-10-10:12,25.0,9.0
2016-10-10:13,28.0,12.0
2016-10-10:14,0.0,0.0
2016-10-10:15,0.0,0.0
2016-10-10:16,28.0,15.0
2016-10-10:17,29.0,17.0
2016-10-10:18,33.0,15.0
2016-10-10:19,34.0,14.0
2016-10-10:20,38.0,16.0
2016-10-10:21,33.0,12.0
2016-10-10:22,33.0,20.0
2016-10-10:23,37.0,15.0
2016-10-10:24,39.0,20.0
2016-10-11:01,44.0,24.0
2016-10-11:02,39.0,20.0
2016-10-11:03,39.0,18.0
2016-10-11:04,31.0,18.0
2016-10-11:05,35.0,15.0
2016-10-11:06,29.0,13.0
2016-10-11:07,29.0,14.0
2016-10-11:08,32.0,15.0
2016-10-11:09,31.0,16.0
2016-10-11:10,40.0,15.0
2016-10-11:11,47.0,18.0
2016-10-11:12,51.0,25.0
2016-10-11:13,40.0,15.0
2016-10-11:14,64.0,22.0
2016-10-11:15,74.0,28.0
2016-10-11:16,68.0,28.0
2016-10-11:17,66.0,29.0
2016-10-11:18,65.0,26.0
2016-10-11:19,43.0,18.0
2016-10-11:20,35.0,14.0
2016-10-11:21,43.0,21.0
2016-10-11:22,59.0,21.0
2016-10-11:23,79.0,26.0
2016-10-11:24,87.0,49.0
2016-10-12:01,96.0,54.0
2016-10-12:02,110.0,54.0
2016-10-12:03,91.0,50.0
2016-10-12:04,80.0,40.0
2016-10-12:05,71.0,38.0
2016-10-12:06,68.0,31.0
2016-10-12:07,82.0,35.0
2016-10-12:08,73.0,34.0
2016-10-12:09,64.0,24.0
2016-10-12:10,66.0,29.0
2016-10-12:11,65.0,29.0
2016-10-12:12,68.0,31.0
2016-10-12:13,66.0,27.0
2016-10-12:14,69.0,33.0
2016-10-12:15,52.0,28.0
2016-10-12:16,34.0,14.0
2016-10-12:17,34.0,18.0
2016-10-12:18,37.0,17.0
2016-10-12:19,25.0,12.0
2016-10-12:20,34.0,17.0
2016-10-12:21,37.0,12.0
2016-10-12:22,39.0,14.0
2016-10-12:23,34.0,14.0
2016-10-12:24,40.0,18.0
2016-10-13:01,42.0,16.0
2016-10-13:02,45.0,21.0
2016-10-13:03,40.0,13.0
2016-10-13:04,39.0,22.0
2016-10-13:05,34.0,14.0
2016-10-13:06,37.0,13.0
2016-10-13:07,39.0,15.0
2016-10-13:08,34.0,16.0
2016-10-13:09,44.0,20.0
2016-10-13:10,50.0,16.0
2016-10-13:11,53.0,28.0
2016-10-13:12,54.0,26.0
2016-10-13:13,50.0,16.0
2016-10-13:14,40.0,11.0
2016-10-13:15,46.0,16.0
2016-10-13:16,49.0,14.0
2016-10-13:17,45.0,16.0
2016-10-13:18,49.0,21.0
2016-10-13:19,49.0,23.0
2016-10-13:20,57.0,23.0
2016-10-13:21,49.0,19.0
2016-10-13:22,60.0,21.0
2016-10-13:23,47.0,20.0
2016-10-13:24,55.0,26.0
2016-10-14:01,60.0,36.0
2016-10-14:02,59.0,29.0
2016-10-14:03,51.0,27.0
2016-10-14:04,48.0,23.0
2016-10-14:05,49.0,24.0
2016-10-14:06,49.0,29.0
2016-10-14:07,45.0,23.0
2016-10-14:08,49.0,26.0
2016-10-14:09,48.0,25.0
2016-10-14:10,50.0,25.0
2016-10-14:11,68.0,25.0
2016-10-14:12,66.0,26.0
2016-10-14:13,85.0,32.0
2016-10-14:14,94.0,44.0
2016-10-14:15,88.0,47.0
2016-10-14:16,106.0,42.0
2016-10-14:17,128.0,68.0
2016-10-14:18,117.0,62.0
2016-10-14:19,103.0,56.0
2016-10-14:20,113.0,58.0
2016-10-14:21,118.0,47.0
