time,pm10,pm2.5
2018-06-01:01,32.0,20.0
2018-06-01:02,35.0,21.0
2018-06-01:03,40.0,28.0
2018-06-01:04,39.0,24.0
2018-06-01:05,38.0,27.0
2018-06-01:06,44.0,32.0
2018-06-01:07,42.0,29.0
2018-06-01:08,55.0,42.0
2018-06-01:09,59.0,43.0
2018-06-01:10,59.0,35.0
2018-06-01:11,55.0,24.0
2018-06-01:12,50.0,20.0
2018-06-01:13,59.0,36.0
2018-06-01:14,37.0,16.0
2018-06-01:15,44.0,21.0
2018-06-01:16,51.0,20.0
2018-06-01:17,47.0,21.0
2018-06-01:18,42.0,21.0
2018-06-01:19,34.0,14.0
2018-06-01:20,37.0,15.0
2018-06-01:21,40.0,20.0
2018-06-01:22,39.0,23.0
2018-06-01:23,52.0,31.0
2018-06-01:24,51.0,30.0
2018-06-02:01,55.0,33.0
2018-06-02:02,57.0,39.0
2018-06-02:03,64.0,39.0
2018-06-02:04,59.0,52.0
2018-06-02:05,61.0,48.0
2018-06-02:06,63.0,48.0
2018-06-02:07,70.0,53.0
2018-06-02:08,74.0,55.0
2018-06-02:09,75.0,46.0
2018-06-02:10,57.0,37.0
2018-06-02:11,61.0,33.0
2018-06-02:12,60.0,28.0
2018-06-02:13,47.0,24.0
2018-06-02:14,31.0,10.0
2018-06-02:15,35.0,18.0
2018-06-02:16,27.0,13.0
2018-06-02:17,35.0,17.0
2018-06-02:18,31.0,8.0
2018-06-02:19,27.0,13.0
2018-06-02:20,22.0,16.0
2018-06-02:21,26.0,16.0
2018-06-02:22,24.0,20.0
2018-06-02:23,31.0,25.0
2018-06-02:24,32.0,22.0
2018-06-03:01,37.0,23.0
2018-06-03:02,35.0,25.0
2018-06-03:03,44.0,28.0
2018-06-03:04,36.0,34.0
2018-06-03:05,44.0,31.0
2018-06-03:06,40.0,32.0
2018-06-03:07,40.0,29.0
2018-06-03:08,46.0,34.0
2018-06-03:09,39.0,29.0
2018-06-03:10,33.0,23.0
2018-06-03:11,33.0,20.0
2018-06-03:12,33.0,24.0
2018-06-03:13,29.0,14.0
2018-06-03:14,36.0,21.0
2018-06-03:15,36.0,19.0
2018-06-03:16,36.0,21.0
2018-06-03:17,37.0,22.0
2018-06-03:18,33.0,14.0
2018-06-03:19,23.0,15.0
2018-06-03:20,26.0,20.0
2018-06-03:21,30.0,24.0
2018-06-03:22,33.0,18.0
2018-06-03:23,36.0,23.0
2018-06-03:24,31.0,19.0
2018-06-04:01,29.0,22.0
2018-06-04:02,27.0,18.0
