time,pm10,pm2.5
2017-12-01:01,27.0,0.0
2017-12-01:02,31.0,0.0
2017-12-01:03,22.0,0.0
2017-12-01:04,22.0,0.0
2017-12-01:05,22.0,0.0
2017-12-01:06,23.0,0.0
2017-12-01:07,28.0,0.0
2017-12-01:08,31.0,0.0
2017-12-01:09,25.0,0.0
2017-12-01:10,28.0,0.0
2017-12-01:11,44.0,0.0
2017-12-01:12,29.0,0.0
2017-12-01:13,43.0,0.0
2017-12-01:14,28.0,0.0
2017-12-01:15,47.0,0.0
2017-12-01:16,41.0,0.0
2017-12-01:17,44.0,0.0
2017-12-01:18,37.0,0.0
2017-12-01:19,34.0,0.0
2017-12-01:20,38.0,0.0
2017-12-01:21,54.0,0.0
2017-12-01:22,45.0,0.0
2017-12-01:23,44.0,0.0
2017-12-01:24,45.0,0.0
2017-12-02:01,39.0,0.0
2017-12-02:02,43.0,0.0
2017-12-02:03,55.0,0.0
2017-12-02:04,46.0,0.0
2017-12-02:05,32.0,0.0
2017-12-02:06,38.0,0.0
2017-12-02:07,42.0,0.0
2017-12-02:08,36.0,0.0
2017-12-02:09,36.0,0.0
2017-12-02:10,54.0,0.0
2017-12-02:11,52.0,0.0
2017-12-02:12,57.0,0.0
2017-12-02:13,76.0,0.0
2017-12-02:14,55.0,0.0
2017-12-02:15,70.0,0.0
2017-12-02:16,74.0,0.0
2017-12-02:17,63.0,0.0
2017-12-02:18,59.0,0.0
2017-12-02:19,56.0,0.0
2017-12-02:20,59.0,0.0
2017-12-02:21,60.0,0.0
2017-12-02:22,76.0,0.0
2017-12-02:23,70.0,0.0
2017-12-02:24,66.0,0.0
2017-12-03:01,60.0,0.0
2017-12-03:02,57.0,0.0
2017-12-03:03,45.0,0.0
2017-12-03:04,54.0,0.0
2017-12-03:05,46.0,0.0
2017-12-03:06,48.0,0.0
2017-12-03:07,39.0,0.0
2017-12-03:08,36.0,0.0
2017-12-03:09,36.0,0.0
2017-12-03:10,38.0,0.0
2017-12-03:11,51.0,0.0
2017-12-03:12,61.0,0.0
2017-12-03:13,63.0,0.0
2017-12-03:14,64.0,0.0
2017-12-03:15,73.0,0.0
2017-12-03:16,83.0,0.0
2017-12-03:17,80.0,0.0
2017-12-03:18,128.0,0.0
2017-12-03:19,72.0,0.0
2017-12-03:20,90.0,0.0
2017-12-03:21,101.0,0.0
2017-12-03:22,97.0,0.0
2017-12-03:23,90.0,0.0
2017-12-03:24,92.0,0.0
2017-12-04:01,84.0,0.0
2017-12-04:02,88.0,0.0
2017-12-04:03,81.0,0.0
2017-12-04:04,87.0,0.0
2017-12-04:05,96.0,0.0
2017-12-04:06,96.0,0.0
2017-12-04:07,97.0,0.0
