time,pm10,pm2.5
2017-04-01:01,27.0,18.0
2017-04-01:02,14.0,19.0
2017-04-01:03,11.0,17.0
2017-04-01:04,22.0,17.0
2017-04-01:05,19.0,18.0
2017-04-01:06,18.0,0.0
2017-04-01:07,23.0,19.0
2017-04-01:08,21.0,21.0
2017-04-01:09,19.0,0.0
2017-04-01:10,18.0,0.0
2017-04-01:11,18.0,0.0
2017-04-01:12,17.0,15.0
2017-04-01:13,22.0,11.0
2017-04-01:14,22.0,10.0
2017-04-01:15,13.0,11.0
2017-04-01:16,15.0,10.0
2017-04-01:17,26.0,11.0
2017-04-01:18,20.0,12.0
2017-04-01:19,17.0,14.0
2017-04-01:20,22.0,19.0
2017-04-01:21,38.0,26.0
2017-04-01:22,46.0,30.0
2017-04-01:23,34.0,29.0
2017-04-01:24,23.0,0.0
2017-04-02:01,20.0,0.0
2017-04-02:02,21.0,0.0
2017-04-02:03,21.0,0.0
2017-04-02:04,24.0,0.0
2017-04-02:05,36.0,32.0
2017-04-02:06,34.0,33.0
2017-04-02:07,29.0,0.0
2017-04-02:08,28.0,0.0
2017-04-02:09,27.0,0.0
2017-04-02:10,35.0,28.0
2017-04-02:11,38.0,26.0
2017-04-02:12,31.0,25.0
2017-04-02:13,29.0,26.0
2017-04-02:14,32.0,24.0
2017-04-02:15,42.0,26.0
2017-04-02:16,42.0,30.0
2017-04-02:17,44.0,31.0
2017-04-02:18,56.0,34.0
2017-04-02:19,72.0,43.0
2017-04-02:20,69.0,48.0
2017-04-02:21,67.0,62.0
2017-04-02:22,70.0,0.0
2017-04-02:23,71.0,69.0
2017-04-02:24,76.0,60.0
2017-04-03:01,74.0,55.0
2017-04-03:02,76.0,56.0
2017-04-03:03,78.0,55.0
2017-04-03:04,66.0,61.0
2017-04-03:05,58.0,56.0
2017-04-03:06,56.0,48.0
2017-04-03:07,63.0,50.0
2017-04-03:08,80.0,57.0
2017-04-03:09,87.0,63.0
2017-04-03:10,90.0,66.0
2017-04-03:11,90.0,67.0
2017-04-03:12,87.0,71.0
2017-04-03:13,86.0,69.0
2017-04-03:14,0.0,0.0
2017-04-03:15,0.0,0.0
2017-04-03:16,0.0,0.0
2017-04-03:17,79.0,46.0
2017-04-03:18,84.0,51.0
2017-04-03:19,85.0,57.0
2017-04-03:20,89.0,59.0
2017-04-03:21,101.0,59.0
2017-04-03:22,101.0,58.0
2017-04-03:23,84.0,63.0
2017-04-03:24,75.0,71.0
2017-04-04:01,76.0,0.0
2017-04-04:02,80.0,0.0
2017-04-04:03,86.0,82.0
2017-04-04:04,86.0,80.0
2017-04-04:05,81.0,72.0
2017-04-04:06,77.0,66.0
2017-04-04:07,74.0,60.0
2017-04-04:08,78.0,59.0
2017-04-04:09,87.0,60.0
2017-04-04:10,88.0,57.0
2017-04-04:11,83.0,54.0
2017-04-04:12,82.0,57.0
2017-04-04:13,76.0,63.0
2017-04-04:14,73.0,63.0
2017-04-04:15,78.0,61.0
2017-04-04:16,91.0,63.0
2017-04-04:17,89.0,61.0
2017-04-04:18,71.0,47.0
2017-04-04:19,60.0,36.0
2017-04-04:20,62.0,32.0
2017-04-04:21,71.0,38.0
2017-04-04:22,68.0,44.0
2017-04-04:23,63.0,51.0
2017-04-04:24,60.0,55.0
2017-04-05:01,63.0,55.0
2017-04-05:02,78.0,58.0
2017-04-05:03,75.0,60.0
2017-04-05:04,78.0,64.0
2017-04-05:05,85.0,66.0
2017-04-05:06,79.0,64.0
2017-04-05:07,71.0,60.0
2017-04-05:08,73.0,57.0
2017-04-05:09,82.0,55.0
2017-04-05:10,83.0,55.0
2017-04-05:11,81.0,56.0
2017-04-05:12,0.0,0.0
2017-04-05:13,0.0,0.0
2017-04-05:14,0.0,0.0
2017-04-05:15,0.0,0.0
2017-04-05:16,48.0,0.0
2017-04-05:17,44.0,36.0
2017-04-05:18,40.0,25.0
2017-04-05:19,32.0,20.0
2017-04-05:20,27.0,19.0
2017-04-05:21,31.0,18.0
2017-04-05:22,23.0,19.0
2017-04-05:23,16.0,0.0
2017-04-05:24,17.0,16.0
2017-04-06:01,25.0,19.0
2017-04-06:02,29.0,27.0
2017-04-06:03,16.0,0.0
2017-04-06:04,18.0,12.0
2017-04-06:05,25.0,12.0
2017-04-06:06,24.0,20.0
2017-04-06:07,31.0,25.0
2017-04-06:08,27.0,20.0
2017-04-06:09,21.0,16.0
2017-04-06:10,27.0,15.0
2017-04-06:11,20.0,0.0
2017-04-06:12,21.0,21.0
2017-04-06:13,25.0,12.0
2017-04-06:14,21.0,13.0
2017-04-06:15,22.0,15.0
2017-04-06:16,33.0,16.0
2017-04-06:17,31.0,17.0
2017-04-06:18,25.0,17.0
2017-04-06:19,19.0,0.0
2017-04-06:20,27.0,25.0
2017-04-06:21,26.0,14.0
2017-04-06:22,15.0,7.0
2017-04-06:23,13.0,10.0
2017-04-06:24,16.0,12.0
2017-04-07:01,36.0,15.0
2017-04-07:02,35.0,30.0
2017-04-07:03,29.0,0.0
2017-04-07:04,27.0,24.0
2017-04-07:05,22.0,20.0
2017-04-07:06,21.0,17.0
2017-04-07:07,26.0,18.0
2017-04-07:08,27.0,20.0
2017-04-07:09,26.0,18.0
2017-04-07:10,33.0,18.0
2017-04-07:11,29.0,20.0
2017-04-07:12,21.0,18.0
2017-04-07:13,19.0,16.0
2017-04-07:14,17.0,14.0
2017-04-07:15,24.0,14.0
2017-04-07:16,33.0,15.0
2017-04-07:17,26.0,16.0
2017-04-07:18,30.0,18.0
2017-04-07:19,42.0,22.0
2017-04-07:20,48.0,25.0
2017-04-07:21,54.0,26.0
2017-04-07:22,59.0,28.0
2017-04-07:23,64.0,29.0
2017-04-07:24,51.0,28.0
2017-04-08:01,43.0,24.0
2017-04-08:02,47.0,27.0
2017-04-08:03,55.0,32.0
2017-04-08:04,52.0,35.0
2017-04-08:05,50.0,34.0
2017-04-08:06,49.0,33.0
