time,pm10,pm2.5
2017-05-01:01,94.0,62.0
2017-05-01:02,97.0,61.0
2017-05-01:03,90.0,57.0
2017-05-01:04,88.0,56.0
2017-05-01:05,78.0,51.0
2017-05-01:06,89.0,52.0
2017-05-01:07,106.0,42.0
2017-05-01:08,92.0,36.0
2017-05-01:09,103.0,54.0
2017-05-01:10,78.0,39.0
2017-05-01:11,74.0,27.0
2017-05-01:12,83.0,33.0
2017-05-01:13,82.0,36.0
2017-05-01:14,84.0,32.0
2017-05-01:15,81.0,32.0
2017-05-01:16,74.0,25.0
2017-05-01:17,74.0,24.0
2017-05-01:18,0.0,0.0
2017-05-01:19,0.0,0.0
2017-05-01:20,0.0,0.0
2017-05-01:21,155.0,76.0
2017-05-01:22,144.0,80.0
2017-05-01:23,137.0,79.0
2017-05-01:24,126.0,71.0
2017-05-02:01,116.0,71.0
2017-05-02:02,112.0,71.0
2017-05-02:03,117.0,72.0
2017-05-02:04,108.0,74.0
2017-05-02:05,132.0,73.0
2017-05-02:06,113.0,60.0
2017-05-02:07,102.0,54.0
2017-05-02:08,102.0,49.0
2017-05-02:09,100.0,47.0
2017-05-02:10,99.0,50.0
2017-05-02:11,91.0,30.0
2017-05-02:12,91.0,31.0
2017-05-02:13,98.0,51.0
2017-05-02:14,143.0,57.0
2017-05-02:15,121.0,49.0
2017-05-02:16,121.0,51.0
2017-05-02:17,157.0,67.0
2017-05-02:18,153.0,61.0
2017-05-02:19,127.0,49.0
2017-05-02:20,113.0,40.0
2017-05-02:21,94.0,49.0
2017-05-02:22,100.0,41.0
2017-05-02:23,95.0,34.0
2017-05-02:24,91.0,37.0
2017-05-03:01,67.0,24.0
2017-05-03:02,52.0,25.0
2017-05-03:03,52.0,25.0
2017-05-03:04,54.0,29.0
2017-05-03:05,65.0,38.0
2017-05-03:06,68.0,37.0
2017-05-03:07,68.0,42.0
2017-05-03:08,68.0,32.0
2017-05-03:09,84.0,44.0
2017-05-03:10,97.0,47.0
2017-05-03:11,101.0,47.0
2017-05-03:12,96.0,44.0
2017-05-03:13,91.0,35.0
2017-05-03:14,79.0,40.0
2017-05-03:15,104.0,34.0
2017-05-03:16,0.0,32.0
2017-05-03:17,0.0,36.0
2017-05-03:18,0.0,52.0
2017-05-03:19,0.0,46.0
2017-05-03:20,0.0,38.0
2017-05-03:21,0.0,51.0
2017-05-03:22,111.0,35.0
2017-05-03:23,112.0,42.0
2017-05-03:24,89.0,35.0
2017-05-04:01,75.0,42.0
2017-05-04:02,66.0,38.0
2017-05-04:03,63.0,45.0
2017-05-04:04,73.0,38.0
2017-05-04:05,66.0,38.0
2017-05-04:06,67.0,38.0
2017-05-04:07,64.0,43.0
2017-05-04:08,63.0,26.0
2017-05-04:09,84.0,40.0
2017-05-04:10,86.0,42.0
2017-05-04:11,71.0,30.0
2017-05-04:12,0.0,0.0
2017-05-04:13,0.0,0.0
2017-05-04:14,0.0,32.0
2017-05-04:15,0.0,41.0
2017-05-04:16,0.0,38.0
2017-05-04:17,0.0,46.0
2017-05-04:18,0.0,29.0
2017-05-04:19,0.0,34.0
2017-05-04:20,0.0,33.0
2017-05-04:21,0.0,35.0
2017-05-04:22,86.0,34.0
2017-05-04:23,81.0,37.0
2017-05-04:24,86.0,36.0
2017-05-05:01,76.0,36.0
2017-05-05:02,74.0,38.0
2017-05-05:03,75.0,35.0
2017-05-05:04,74.0,48.0
2017-05-05:05,69.0,45.0
2017-05-05:06,66.0,38.0
2017-05-05:07,60.0,25.0
2017-05-05:08,56.0,29.0
2017-05-05:09,56.0,20.0
2017-05-05:10,66.0,34.0
2017-05-05:11,59.0,27.0
2017-05-05:12,0.0,31.0
2017-05-05:13,0.0,23.0
2017-05-05:14,0.0,26.0
2017-05-05:15,0.0,26.0
2017-05-05:16,0.0,30.0
2017-05-05:17,0.0,27.0
2017-05-05:18,0.0,25.0
2017-05-05:19,0.0,28.0
2017-05-05:20,0.0,20.0
2017-05-05:21,0.0,32.0
2017-05-05:22,41.0,18.0
2017-05-05:23,77.0,26.0
2017-05-05:24,234.0,56.0
2017-05-06:01,353.0,62.0
2017-05-06:02,411.0,45.0
2017-05-06:03,333.0,30.0
2017-05-06:04,251.0,22.0
2017-05-06:05,239.0,21.0
2017-05-06:06,234.0,26.0
2017-05-06:07,225.0,22.0
2017-05-06:08,240.0,15.0
2017-05-06:09,272.0,30.0
2017-05-06:10,235.0,25.0
2017-05-06:11,219.0,20.0
2017-05-06:12,202.0,24.0
2017-05-06:13,249.0,28.0
2017-05-06:14,274.0,25.0
2017-05-06:15,379.0,30.0
2017-05-06:16,380.0,35.0
2017-05-06:17,252.0,28.0
2017-05-06:18,186.0,24.0
2017-05-06:19,173.0,30.0
2017-05-06:20,144.0,22.0
2017-05-06:21,130.0,25.0
2017-05-06:22,108.0,25.0
2017-05-06:23,100.0,16.0
2017-05-06:24,103.0,19.0
2017-05-07:01,97.0,15.0
2017-05-07:02,89.0,21.0
2017-05-07:03,86.0,16.0
2017-05-07:04,89.0,17.0
2017-05-07:05,88.0,19.0
2017-05-07:06,91.0,15.0
2017-05-07:07,85.0,16.0
2017-05-07:08,108.0,18.0
2017-05-07:09,135.0,22.0
2017-05-07:10,155.0,22.0
2017-05-07:11,160.0,27.0
2017-05-07:12,167.0,25.0
2017-05-07:13,165.0,31.0
2017-05-07:14,156.0,19.0
2017-05-07:15,150.0,19.0
2017-05-07:16,159.0,21.0
2017-05-07:17,0.0,0.0
2017-05-07:18,0.0,0.0
2017-05-07:19,0.0,0.0
2017-05-07:20,90.0,17.0
2017-05-07:21,91.0,16.0
2017-05-07:22,83.0,15.0
2017-05-07:23,78.0,12.0
2017-05-07:24,74.0,19.0
2017-05-08:01,75.0,22.0
2017-05-08:02,80.0,21.0
2017-05-08:03,74.0,21.0
2017-05-08:04,89.0,28.0
2017-05-08:05,96.0,21.0
2017-05-08:06,110.0,28.0
2017-05-08:07,107.0,24.0
2017-05-08:08,127.0,27.0
2017-05-08:09,142.0,34.0
2017-05-08:10,189.0,42.0
2017-05-08:11,245.0,59.0
2017-05-08:12,275.0,63.0
2017-05-08:13,326.0,66.0
2017-05-08:14,319.0,68.0
2017-05-08:15,304.0,56.0
2017-05-08:16,308.0,55.0
2017-05-08:17,280.0,49.0
2017-05-08:18,257.0,42.0
2017-05-08:19,273.0,43.0
2017-05-08:20,239.0,44.0
2017-05-08:21,240.0,40.0
2017-05-08:22,233.0,40.0
2017-05-08:23,208.0,38.0
2017-05-08:24,201.0,40.0
2017-05-09:01,188.0,37.0
2017-05-09:02,189.0,35.0
2017-05-09:03,188.0,40.0
2017-05-09:04,186.0,46.0
2017-05-09:05,173.0,38.0
2017-05-09:06,149.0,28.0
2017-05-09:07,136.0,28.0
2017-05-09:08,152.0,25.0
2017-05-09:09,157.0,31.0
2017-05-09:10,154.0,24.0
2017-05-09:11,166.0,34.0
2017-05-09:12,159.0,37.0
2017-05-09:13,160.0,39.0
2017-05-09:14,189.0,42.0
2017-05-09:15,191.0,42.0
2017-05-09:16,151.0,36.0
2017-05-09:17,119.0,31.0
2017-05-09:18,68.0,24.0
2017-05-09:19,41.0,13.0
2017-05-09:20,32.0,12.0
2017-05-09:21,34.0,21.0
2017-05-09:22,34.0,18.0
2017-05-09:23,40.0,25.0
2017-05-09:24,33.0,19.0
2017-05-10:01,31.0,15.0
2017-05-10:02,28.0,20.0
2017-05-10:03,24.0,19.0
2017-05-10:04,26.0,21.0
2017-05-10:05,22.0,16.0
2017-05-10:06,18.0,8.0
2017-05-10:07,25.0,13.0
2017-05-10:08,34.0,17.0
2017-05-10:09,35.0,21.0
2017-05-10:10,40.0,22.0
2017-05-10:11,32.0,27.0
2017-05-10:12,43.0,29.0
2017-05-10:13,47.0,23.0
2017-05-10:14,42.0,22.0
2017-05-10:15,48.0,24.0
2017-05-10:16,59.0,29.0
2017-05-10:17,51.0,17.0
2017-05-10:18,57.0,23.0
2017-05-10:19,56.0,32.0
2017-05-10:20,51.0,14.0
2017-05-10:21,57.0,15.0
2017-05-10:22,54.0,23.0
2017-05-10:23,63.0,20.0
2017-05-10:24,58.0,21.0
2017-05-11:01,49.0,14.0
2017-05-11:02,49.0,24.0
2017-05-11:03,49.0,15.0
2017-05-11:04,39.0,16.0
2017-05-11:05,43.0,16.0
2017-05-11:06,45.0,20.0
2017-05-11:07,50.0,19.0
2017-05-11:08,47.0,18.0
2017-05-11:09,49.0,16.0
2017-05-11:10,57.0,28.0
2017-05-11:11,62.0,22.0
2017-05-11:12,60.0,17.0
2017-05-11:13,76.0,25.0
2017-05-11:14,82.0,30.0
2017-05-11:15,104.0,39.0
2017-05-11:16,102.0,56.0
2017-05-11:17,104.0,58.0
2017-05-11:18,95.0,50.0
2017-05-11:19,93.0,57.0
2017-05-11:20,92.0,46.0
2017-05-11:21,91.0,56.0
2017-05-11:22,113.0,69.0
2017-05-11:23,93.0,57.0
2017-05-11:24,99.0,60.0
2017-05-12:01,97.0,56.0
2017-05-12:02,83.0,51.0
2017-05-12:03,81.0,69.0
2017-05-12:04,76.0,0.0
2017-05-12:05,73.0,32.0
2017-05-12:06,76.0,39.0
2017-05-12:07,71.0,40.0
2017-05-12:08,78.0,36.0
2017-05-12:09,86.0,41.0
2017-05-12:10,85.0,37.0
2017-05-12:11,74.0,36.0
2017-05-12:12,88.0,48.0
2017-05-12:13,86.0,47.0
