time,pm10,pm2.5
2018-06-01:01,42.0,25.0
2018-06-01:02,49.0,21.0
2018-06-01:03,45.0,27.0
2018-06-01:04,46.0,25.0
2018-06-01:05,43.0,23.0
2018-06-01:06,52.0,28.0
2018-06-01:07,56.0,35.0
2018-06-01:08,68.0,42.0
2018-06-01:09,74.0,48.0
2018-06-01:10,84.0,54.0
2018-06-01:11,68.0,45.0
2018-06-01:12,56.0,24.0
2018-06-01:13,51.0,25.0
2018-06-01:14,46.0,20.0
2018-06-01:15,39.0,20.0
2018-06-01:16,48.0,24.0
2018-06-01:17,46.0,23.0
2018-06-01:18,48.0,23.0
2018-06-01:19,43.0,24.0
2018-06-01:20,38.0,20.0
2018-06-01:21,44.0,21.0
2018-06-01:22,50.0,24.0
2018-06-01:23,53.0,27.0
2018-06-01:24,58.0,30.0
2018-06-02:01,54.0,31.0
2018-06-02:02,62.0,38.0
2018-06-02:03,63.0,45.0
2018-06-02:04,67.0,39.0
2018-06-02:05,56.0,36.0
2018-06-02:06,62.0,46.0
2018-06-02:07,72.0,46.0
2018-06-02:08,80.0,51.0
2018-06-02:09,82.0,55.0
2018-06-02:10,70.0,43.0
2018-06-02:11,71.0,44.0
2018-06-02:12,48.0,21.0
2018-06-02:13,52.0,23.0
2018-06-02:14,52.0,22.0
2018-06-02:15,35.0,13.0
2018-06-02:16,31.0,13.0
2018-06-02:17,38.0,14.0
2018-06-02:18,32.0,14.0
2018-06-02:19,0.0,0.0
2018-06-02:20,28.0,9.0
2018-06-02:21,27.0,12.0
2018-06-02:22,32.0,22.0
2018-06-02:23,40.0,21.0
2018-06-02:24,39.0,25.0
2018-06-03:01,43.0,29.0
2018-06-03:02,44.0,19.0
2018-06-03:03,33.0,22.0
2018-06-03:04,35.0,19.0
2018-06-03:05,29.0,17.0
2018-06-03:06,35.0,18.0
2018-06-03:07,37.0,22.0
2018-06-03:08,37.0,24.0
2018-06-03:09,45.0,30.0
2018-06-03:10,50.0,35.0
2018-06-03:11,40.0,20.0
2018-06-03:12,27.0,15.0
2018-06-03:13,40.0,18.0
2018-06-03:14,40.0,17.0
2018-06-03:15,41.0,17.0
2018-06-03:16,35.0,25.0
2018-06-03:17,45.0,26.0
2018-06-03:18,37.0,18.0
2018-06-03:19,35.0,20.0
2018-06-03:20,24.0,16.0
2018-06-03:21,26.0,15.0
2018-06-03:22,35.0,18.0
2018-06-03:23,41.0,26.0
2018-06-03:24,43.0,22.0
2018-06-04:01,46.0,24.0
2018-06-04:02,44.0,25.0
2018-06-04:03,41.0,27.0
2018-06-04:04,41.0,28.0
2018-06-04:05,37.0,25.0
2018-06-04:06,43.0,29.0
2018-06-04:07,53.0,31.0
2018-06-04:08,62.0,47.0
2018-06-04:09,71.0,45.0
2018-06-04:10,69.0,45.0
2018-06-04:11,65.0,41.0
2018-06-04:12,70.0,42.0
2018-06-04:13,69.0,40.0
2018-06-04:14,49.0,28.0
2018-06-04:15,46.0,24.0
2018-06-04:16,48.0,27.0
2018-06-04:17,53.0,35.0
2018-06-04:18,56.0,31.0
2018-06-04:19,45.0,29.0
2018-06-04:20,38.0,21.0
2018-06-04:21,0.0,26.0
2018-06-04:22,41.0,26.0
2018-06-04:23,51.0,28.0
2018-06-04:24,50.0,35.0
2018-06-05:01,34.0,18.0
2018-06-05:02,35.0,28.0
2018-06-05:03,30.0,26.0
2018-06-05:04,38.0,31.0
2018-06-05:05,39.0,33.0
2018-06-05:06,48.0,32.0
2018-06-05:07,47.0,24.0
2018-06-05:08,55.0,39.0
2018-06-05:09,64.0,42.0
2018-06-05:10,60.0,44.0
2018-06-05:11,54.0,35.0
2018-06-05:12,47.0,28.0
2018-06-05:13,46.0,27.0
2018-06-05:14,43.0,27.0
2018-06-05:15,55.0,35.0
2018-06-05:16,85.0,64.0
2018-06-05:17,94.0,66.0
2018-06-05:18,71.0,46.0
2018-06-05:19,67.0,43.0
2018-06-05:20,56.0,40.0
2018-06-05:21,42.0,33.0
2018-06-05:22,43.0,30.0
2018-06-05:23,46.0,23.0
2018-06-05:24,47.0,29.0
2018-06-06:01,44.0,29.0
2018-06-06:02,36.0,27.0
2018-06-06:03,35.0,27.0
2018-06-06:04,44.0,31.0
2018-06-06:05,50.0,36.0
2018-06-06:06,51.0,38.0
2018-06-06:07,54.0,37.0
2018-06-06:08,65.0,47.0
2018-06-06:09,68.0,53.0
2018-06-06:10,72.0,47.0
2018-06-06:11,68.0,48.0
2018-06-06:12,73.0,39.0
2018-06-06:13,66.0,44.0
2018-06-06:14,74.0,49.0
2018-06-06:15,72.0,55.0
2018-06-06:16,80.0,67.0
2018-06-06:17,0.0,50.0
2018-06-06:18,54.0,41.0
2018-06-06:19,49.0,29.0
2018-06-06:20,48.0,27.0
2018-06-06:21,46.0,32.0
2018-06-06:22,47.0,34.0
2018-06-06:23,55.0,35.0
2018-06-06:24,51.0,35.0
2018-06-07:01,37.0,26.0
2018-06-07:02,39.0,31.0
2018-06-07:03,45.0,36.0
2018-06-07:04,48.0,38.0
2018-06-07:05,50.0,39.0
2018-06-07:06,60.0,46.0
2018-06-07:07,69.0,52.0
2018-06-07:08,76.0,60.0
2018-06-07:09,88.0,65.0
2018-06-07:10,97.0,70.0
2018-06-07:11,85.0,64.0
2018-06-07:12,56.0,44.0
2018-06-07:13,63.0,40.0
2018-06-07:14,65.0,39.0
2018-06-07:15,62.0,39.0
2018-06-07:16,79.0,50.0
2018-06-07:17,75.0,46.0
2018-06-07:18,64.0,36.0
2018-06-07:19,45.0,22.0
2018-06-07:20,47.0,31.0
2018-06-07:21,38.0,26.0
2018-06-07:22,46.0,33.0
2018-06-07:23,50.0,36.0
2018-06-07:24,43.0,34.0
2018-06-08:01,37.0,21.0
2018-06-08:02,29.0,23.0
2018-06-08:03,33.0,18.0
2018-06-08:04,30.0,26.0
2018-06-08:05,25.0,23.0
2018-06-08:06,34.0,24.0
2018-06-08:07,36.0,26.0
2018-06-08:08,26.0,24.0
2018-06-08:09,29.0,17.0
2018-06-08:10,30.0,23.0
2018-06-08:11,36.0,17.0
2018-06-08:12,41.0,26.0
2018-06-08:13,44.0,20.0
2018-06-08:14,48.0,27.0
2018-06-08:15,57.0,31.0
2018-06-08:16,55.0,34.0
2018-06-08:17,55.0,29.0
2018-06-08:18,59.0,37.0
2018-06-08:19,62.0,33.0
2018-06-08:20,58.0,34.0
2018-06-08:21,60.0,40.0
2018-06-08:22,71.0,51.0
2018-06-08:23,70.0,46.0
2018-06-08:24,68.0,50.0
2018-06-09:01,70.0,48.0
2018-06-09:02,70.0,50.0
2018-06-09:03,69.0,49.0
2018-06-09:04,68.0,44.0
2018-06-09:05,62.0,44.0
2018-06-09:06,69.0,51.0
2018-06-09:07,53.0,35.0
2018-06-09:08,41.0,28.0
2018-06-09:09,41.0,27.0
2018-06-09:10,42.0,27.0
2018-06-09:11,41.0,26.0
2018-06-09:12,37.0,17.0
2018-06-09:13,35.0,20.0
2018-06-09:14,37.0,25.0
2018-06-09:15,45.0,25.0
2018-06-09:16,49.0,25.0
2018-06-09:17,44.0,27.0
2018-06-09:18,34.0,23.0
2018-06-09:19,18.0,3.0
2018-06-09:20,17.0,3.0
2018-06-09:21,13.0,3.0
2018-06-09:22,17.0,5.0
2018-06-09:23,18.0,5.0
2018-06-09:24,12.0,4.0
2018-06-10:01,9.0,3.0
2018-06-10:02,7.0,3.0
2018-06-10:03,5.0,4.0
2018-06-10:04,5.0,3.0
2018-06-10:05,5.0,3.0
2018-06-10:06,6.0,3.0
2018-06-10:07,5.0,4.0
2018-06-10:08,14.0,3.0
2018-06-10:09,10.0,3.0
2018-06-10:10,9.0,3.0
2018-06-10:11,8.0,4.0
2018-06-10:12,13.0,5.0
2018-06-10:13,9.0,3.0
2018-06-10:14,12.0,3.0
2018-06-10:15,11.0,5.0
2018-06-10:16,11.0,3.0
2018-06-10:17,11.0,4.0
2018-06-10:18,13.0,3.0
2018-06-10:19,13.0,3.0
2018-06-10:20,7.0,3.0
2018-06-10:21,6.0,3.0
2018-06-10:22,5.0,3.0
2018-06-10:23,5.0,3.0
2018-06-10:24,5.0,3.0
2018-06-11:01,5.0,3.0
2018-06-11:02,5.0,3.0
2018-06-11:03,5.0,3.0
2018-06-11:04,5.0,3.0
2018-06-11:05,5.0,3.0
2018-06-11:06,5.0,3.0
2018-06-11:07,5.0,3.0
2018-06-11:08,5.0,3.0
2018-06-11:09,7.0,3.0
2018-06-11:10,10.0,3.0
2018-06-11:11,17.0,6.0
2018-06-11:12,16.0,7.0
2018-06-11:13,15.0,8.0
2018-06-11:14,16.0,7.0
2018-06-11:15,26.0,8.0
2018-06-11:16,33.0,15.0
2018-06-11:17,0.0,13.0
2018-06-11:18,23.0,11.0
2018-06-11:19,20.0,10.0
2018-06-11:20,27.0,12.0
2018-06-11:21,24.0,11.0
2018-06-11:22,12.0,7.0
2018-06-11:23,10.0,6.0
2018-06-11:24,11.0,4.0
2018-06-12:01,19.0,4.0
2018-06-12:02,11.0,5.0
2018-06-12:03,9.0,5.0
2018-06-12:04,10.0,4.0
2018-06-12:05,9.0,7.0
2018-06-12:06,15.0,6.0
2018-06-12:07,18.0,5.0
2018-06-12:08,17.0,5.0
2018-06-12:09,17.0,7.0
2018-06-12:10,22.0,9.0
2018-06-12:11,23.0,5.0
2018-06-12:12,28.0,7.0
2018-06-12:13,26.0,13.0
2018-06-12:14,26.0,9.0
2018-06-12:15,31.0,16.0
2018-06-12:16,35.0,16.0
2018-06-12:17,31.0,12.0
2018-06-12:18,26.0,14.0
2018-06-12:19,30.0,15.0
2018-06-12:20,23.0,13.0
2018-06-12:21,0.0,0.0
2018-06-12:22,22.0,13.0
2018-06-12:23,26.0,17.0
2018-06-12:24,24.0,13.0
2018-06-13:01,25.0,18.0
2018-06-13:02,27.0,10.0
2018-06-13:03,26.0,10.0
2018-06-13:04,23.0,13.0
2018-06-13:05,22.0,13.0
2018-06-13:06,29.0,14.0
2018-06-13:07,38.0,24.0
2018-06-13:08,44.0,29.0
2018-06-13:09,41.0,28.0
2018-06-13:10,40.0,23.0
2018-06-13:11,40.0,25.0
2018-06-13:12,48.0,31.0
2018-06-13:13,57.0,43.0
2018-06-13:14,50.0,33.0
2018-06-13:15,57.0,41.0
