time,pm10,pm2.5
2016-09-01:01,21.0,11.0
2016-09-01:02,26.0,12.0
2016-09-01:03,27.0,12.0
2016-09-01:04,21.0,13.0
2016-09-01:05,22.0,6.0
2016-09-01:06,17.0,7.0
2016-09-01:07,24.0,12.0
2016-09-01:08,24.0,8.0
2016-09-01:09,38.0,19.0
2016-09-01:10,74.0,40.0
2016-09-01:11,85.0,52.0
2016-09-01:12,98.0,52.0
2016-09-01:13,91.0,50.0
2016-09-01:14,92.0,50.0
2016-09-01:15,85.0,50.0
2016-09-01:16,93.0,56.0
2016-09-01:17,82.0,60.0
2016-09-01:18,76.0,42.0
2016-09-01:19,74.0,43.0
2016-09-01:20,73.0,50.0
2016-09-01:21,64.0,53.0
2016-09-01:22,74.0,49.0
2016-09-01:23,76.0,51.0
2016-09-01:24,76.0,52.0
2016-09-02:01,75.0,56.0
2016-09-02:02,70.0,45.0
2016-09-02:03,59.0,43.0
2016-09-02:04,40.0,28.0
2016-09-02:05,49.0,28.0
2016-09-02:06,36.0,26.0
2016-09-02:07,39.0,27.0
2016-09-02:08,42.0,23.0
2016-09-02:09,41.0,30.0
2016-09-02:10,38.0,34.0
2016-09-02:11,30.0,20.0
2016-09-02:12,27.0,18.0
2016-09-02:13,25.0,18.0
2016-09-02:14,13.0,11.0
2016-09-02:15,0.0,0.0
2016-09-02:16,0.0,0.0
2016-09-02:17,0.0,0.0
2016-09-02:18,23.0,13.0
2016-09-02:19,20.0,12.0
2016-09-02:20,25.0,21.0
2016-09-02:21,30.0,19.0
2016-09-02:22,24.0,17.0
2016-09-02:23,19.0,14.0
2016-09-02:24,23.0,17.0
2016-09-03:01,21.0,14.0
2016-09-03:02,15.0,14.0
2016-09-03:03,18.0,12.0
2016-09-03:04,15.0,15.0
2016-09-03:05,17.0,12.0
2016-09-03:06,17.0,11.0
2016-09-03:07,16.0,12.0
2016-09-03:08,15.0,14.0
2016-09-03:09,17.0,11.0
2016-09-03:10,14.0,10.0
2016-09-03:11,16.0,7.0
2016-09-03:12,15.0,8.0
2016-09-03:13,14.0,7.0
2016-09-03:14,14.0,8.0
2016-09-03:15,15.0,9.0
2016-09-03:16,13.0,10.0
2016-09-03:17,22.0,15.0
2016-09-03:18,19.0,6.0
2016-09-03:19,20.0,17.0
2016-09-03:20,20.0,9.0
2016-09-03:21,26.0,17.0
2016-09-03:22,36.0,22.0
2016-09-03:23,32.0,19.0
2016-09-03:24,38.0,25.0
2016-09-04:01,37.0,27.0
2016-09-04:02,34.0,20.0
2016-09-04:03,21.0,14.0
2016-09-04:04,24.0,14.0
2016-09-04:05,17.0,10.0
2016-09-04:06,15.0,6.0
2016-09-04:07,18.0,8.0
2016-09-04:08,17.0,8.0
2016-09-04:09,16.0,9.0
2016-09-04:10,17.0,13.0
2016-09-04:11,12.0,4.0
2016-09-04:12,14.0,8.0
2016-09-04:13,18.0,11.0
2016-09-04:14,14.0,9.0
2016-09-04:15,18.0,12.0
2016-09-04:16,18.0,12.0
2016-09-04:17,20.0,15.0
2016-09-04:18,20.0,10.0
2016-09-04:19,16.0,14.0
2016-09-04:20,24.0,7.0
2016-09-04:21,26.0,13.0
2016-09-04:22,25.0,13.0
2016-09-04:23,18.0,13.0
2016-09-04:24,19.0,8.0
2016-09-05:01,15.0,14.0
2016-09-05:02,18.0,9.0
2016-09-05:03,18.0,11.0
2016-09-05:04,14.0,7.0
2016-09-05:05,18.0,7.0
2016-09-05:06,20.0,10.0
2016-09-05:07,17.0,15.0
2016-09-05:08,20.0,9.0
2016-09-05:09,25.0,14.0
2016-09-05:10,30.0,14.0
2016-09-05:11,30.0,13.0
2016-09-05:12,23.0,10.0
2016-09-05:13,29.0,16.0
2016-09-05:14,24.0,19.0
2016-09-05:15,29.0,21.0
2016-09-05:16,39.0,21.0
2016-09-05:17,38.0,25.0
2016-09-05:18,38.0,22.0
2016-09-05:19,40.0,21.0
2016-09-05:20,38.0,19.0
2016-09-05:21,34.0,12.0
2016-09-05:22,60.0,37.0
2016-09-05:23,49.0,24.0
2016-09-05:24,44.0,28.0
2016-09-06:01,37.0,22.0
2016-09-06:02,39.0,24.0
2016-09-06:03,39.0,22.0
2016-09-06:04,41.0,27.0
2016-09-06:05,36.0,22.0
2016-09-06:06,42.0,21.0
2016-09-06:07,38.0,26.0
2016-09-06:08,41.0,22.0
2016-09-06:09,65.0,34.0
2016-09-06:10,71.0,28.0
2016-09-06:11,58.0,32.0
2016-09-06:12,50.0,26.0
2016-09-06:13,50.0,27.0
2016-09-06:14,48.0,26.0
2016-09-06:15,41.0,31.0
2016-09-06:16,61.0,47.0
2016-09-06:17,48.0,34.0
2016-09-06:18,43.0,27.0
2016-09-06:19,49.0,27.0
2016-09-06:20,66.0,50.0
2016-09-06:21,78.0,50.0
2016-09-06:22,101.0,74.0
2016-09-06:23,100.0,75.0
2016-09-06:24,93.0,68.0
2016-09-07:01,89.0,60.0
2016-09-07:02,82.0,61.0
2016-09-07:03,102.0,58.0
2016-09-07:04,84.0,53.0
2016-09-07:05,74.0,58.0
2016-09-07:06,67.0,58.0
2016-09-07:07,69.0,48.0
2016-09-07:08,66.0,52.0
2016-09-07:09,90.0,55.0
2016-09-07:10,91.0,56.0
2016-09-07:11,81.0,55.0
2016-09-07:12,76.0,53.0
2016-09-07:13,75.0,58.0
2016-09-07:14,72.0,60.0
2016-09-07:15,71.0,57.0
2016-09-07:16,78.0,55.0
2016-09-07:17,83.0,59.0
2016-09-07:18,78.0,55.0
2016-09-07:19,72.0,53.0
2016-09-07:20,65.0,45.0
2016-09-07:21,60.0,45.0
2016-09-07:22,51.0,39.0
2016-09-07:23,39.0,26.0
2016-09-07:24,37.0,31.0
2016-09-08:01,44.0,32.0
2016-09-08:02,35.0,23.0
2016-09-08:03,36.0,26.0
2016-09-08:04,35.0,23.0
2016-09-08:05,38.0,19.0
2016-09-08:06,38.0,21.0
2016-09-08:07,32.0,19.0
2016-09-08:08,37.0,18.0
2016-09-08:09,46.0,24.0
2016-09-08:10,49.0,28.0
2016-09-08:11,54.0,29.0
2016-09-08:12,55.0,30.0
2016-09-08:13,46.0,29.0
2016-09-08:14,52.0,32.0
2016-09-08:15,50.0,44.0
2016-09-08:16,46.0,44.0
2016-09-08:17,38.0,26.0
2016-09-08:18,37.0,29.0
2016-09-08:19,35.0,28.0
2016-09-08:20,49.0,37.0
2016-09-08:21,47.0,34.0
2016-09-08:22,42.0,31.0
2016-09-08:23,45.0,26.0
2016-09-08:24,41.0,28.0
2016-09-09:01,39.0,29.0
2016-09-09:02,39.0,28.0
2016-09-09:03,27.0,18.0
2016-09-09:04,23.0,16.0
2016-09-09:05,24.0,15.0
2016-09-09:06,19.0,12.0
2016-09-09:07,21.0,13.0
2016-09-09:08,24.0,13.0
2016-09-09:09,37.0,17.0
2016-09-09:10,49.0,30.0
2016-09-09:11,48.0,29.0
2016-09-09:12,57.0,27.0
2016-09-09:13,49.0,26.0
2016-09-09:14,49.0,33.0
2016-09-09:15,48.0,32.0
2016-09-09:16,46.0,40.0
2016-09-09:17,42.0,42.0
2016-09-09:18,53.0,40.0
2016-09-09:19,49.0,38.0
2016-09-09:20,43.0,33.0
2016-09-09:21,38.0,22.0
2016-09-09:22,45.0,27.0
2016-09-09:23,40.0,32.0
2016-09-09:24,40.0,25.0
2016-09-10:01,42.0,25.0
2016-09-10:02,45.0,31.0
2016-09-10:03,40.0,22.0
2016-09-10:04,27.0,20.0
2016-09-10:05,25.0,11.0
2016-09-10:06,16.0,12.0
2016-09-10:07,21.0,15.0
2016-09-10:08,25.0,13.0
2016-09-10:09,29.0,14.0
2016-09-10:10,35.0,20.0
2016-09-10:11,39.0,21.0
2016-09-10:12,52.0,29.0
2016-09-10:13,50.0,29.0
2016-09-10:14,56.0,33.0
2016-09-10:15,41.0,30.0
2016-09-10:16,42.0,30.0
2016-09-10:17,44.0,27.0
2016-09-10:18,43.0,40.0
2016-09-10:19,42.0,36.0
2016-09-10:20,61.0,43.0
2016-09-10:21,75.0,37.0
2016-09-10:22,66.0,50.0
2016-09-10:23,60.0,38.0
2016-09-10:24,53.0,41.0
2016-09-11:01,43.0,28.0
2016-09-11:02,44.0,27.0
2016-09-11:03,32.0,25.0
2016-09-11:04,29.0,23.0
2016-09-11:05,31.0,20.0
2016-09-11:06,21.0,17.0
2016-09-11:07,29.0,20.0
2016-09-11:08,31.0,17.0
2016-09-11:09,25.0,17.0
2016-09-11:10,0.0,15.0
2016-09-11:11,30.0,18.0
2016-09-11:12,0.0,16.0
2016-09-11:13,36.0,23.0
2016-09-11:14,35.0,26.0
2016-09-11:15,37.0,24.0
2016-09-11:16,42.0,27.0
2016-09-11:17,38.0,29.0
2016-09-11:18,42.0,32.0
2016-09-11:19,43.0,29.0
2016-09-11:20,42.0,28.0
2016-09-11:21,60.0,35.0
2016-09-11:22,54.0,35.0
2016-09-11:23,45.0,33.0
2016-09-11:24,50.0,37.0
2016-09-12:01,42.0,27.0
2016-09-12:02,36.0,27.0
2016-09-12:03,34.0,22.0
2016-09-12:04,33.0,23.0
2016-09-12:05,34.0,22.0
2016-09-12:06,23.0,16.0
2016-09-12:07,25.0,14.0
2016-09-12:08,31.0,17.0
2016-09-12:09,27.0,17.0
2016-09-12:10,28.0,13.0
2016-09-12:11,34.0,19.0
2016-09-12:12,31.0,14.0
2016-09-12:13,27.0,10.0
2016-09-12:14,25.0,21.0
2016-09-12:15,29.0,15.0
2016-09-12:16,30.0,13.0
2016-09-12:17,21.0,15.0
2016-09-12:18,22.0,13.0
2016-09-12:19,26.0,16.0
2016-09-12:20,26.0,14.0
2016-09-12:21,33.0,27.0
2016-09-12:22,28.0,18.0
2016-09-12:23,27.0,12.0
2016-09-12:24,21.0,11.0
2016-09-13:01,19.0,7.0
2016-09-13:02,10.0,3.0
2016-09-13:03,14.0,9.0
2016-09-13:04,11.0,6.0
2016-09-13:05,11.0,2.0
2016-09-13:06,17.0,11.0
2016-09-13:07,9.0,4.0
2016-09-13:08,16.0,3.0
2016-09-13:09,15.0,8.0
2016-09-13:10,24.0,4.0
2016-09-13:11,0.0,0.0
2016-09-13:12,14.0,5.0
2016-09-13:13,10.0,7.0
2016-09-13:14,8.0,2.0
2016-09-13:15,2.0,1.0
2016-09-13:16,12.0,3.0
2016-09-13:17,4.0,1.0
2016-09-13:18,9.0,6.0
2016-09-13:19,17.0,7.0
2016-09-13:20,26.0,17.0
2016-09-13:21,22.0,15.0
2016-09-13:22,23.0,14.0
2016-09-13:23,20.0,18.0
2016-09-13:24,25.0,15.0
2016-09-14:01,24.0,15.0
2016-09-14:02,18.0,10.0
2016-09-14:03,14.0,10.0
2016-09-14:04,20.0,10.0
2016-09-14:05,20.0,12.0
2016-09-14:06,23.0,16.0
2016-09-14:07,26.0,14.0
2016-09-14:08,21.0,13.0
2016-09-14:09,24.0,16.0
2016-09-14:10,31.0,20.0
2016-09-14:11,32.0,19.0
2016-09-14:12,24.0,17.0
2016-09-14:13,26.0,17.0
2016-09-14:14,28.0,25.0
2016-09-14:15,37.0,27.0
2016-09-14:16,36.0,28.0
2016-09-14:17,0.0,31.0
2016-09-14:18,0.0,32.0
2016-09-14:19,0.0,28.0
2016-09-14:20,0.0,24.0
2016-09-14:21,0.0,16.0
2016-09-14:22,0.0,27.0
2016-09-14:23,0.0,27.0
2016-09-14:24,0.0,19.0
2016-09-15:01,0.0,26.0
2016-09-15:02,0.0,22.0
2016-09-15:03,0.0,25.0
2016-09-15:04,0.0,22.0
2016-09-15:05,0.0,21.0
2016-09-15:06,0.0,20.0
2016-09-15:07,0.0,20.0
2016-09-15:08,0.0,18.0
2016-09-15:09,0.0,28.0
2016-09-15:10,0.0,29.0
2016-09-15:11,0.0,27.0
2016-09-15:12,0.0,25.0
2016-09-15:13,0.0,24.0
2016-09-15:14,0.0,21.0
2016-09-15:15,0.0,15.0
2016-09-15:16,0.0,22.0
2016-09-15:17,0.0,16.0
2016-09-15:18,0.0,19.0
2016-09-15:19,0.0,34.0
2016-09-15:20,0.0,35.0
2016-09-15:21,48.0,27.0
2016-09-15:22,54.0,34.0
2016-09-15:23,46.0,33.0
2016-09-15:24,44.0,33.0
2016-09-16:01,44.0,28.0
2016-09-16:02,44.0,27.0
2016-09-16:03,44.0,25.0
2016-09-16:04,42.0,28.0
2016-09-16:05,33.0,25.0
2016-09-16:06,38.0,25.0
2016-09-16:07,40.0,17.0
2016-09-16:08,30.0,20.0
2016-09-16:09,41.0,25.0
2016-09-16:10,42.0,27.0
2016-09-16:11,47.0,31.0
2016-09-16:12,44.0,26.0
2016-09-16:13,38.0,29.0
2016-09-16:14,38.0,25.0
2016-09-16:15,37.0,33.0
2016-09-16:16,45.0,34.0
2016-09-16:17,54.0,49.0
2016-09-16:18,62.0,52.0
2016-09-16:19,78.0,57.0
2016-09-16:20,90.0,56.0
2016-09-16:21,79.0,50.0
2016-09-16:22,91.0,69.0
2016-09-16:23,79.0,64.0
2016-09-16:24,71.0,51.0
2016-09-17:01,65.0,50.0
2016-09-17:02,64.0,44.0
2016-09-17:03,53.0,40.0
2016-09-17:04,34.0,24.0
2016-09-17:05,31.0,23.0
2016-09-17:06,20.0,17.0
2016-09-17:07,15.0,9.0
2016-09-17:08,14.0,9.0
2016-09-17:09,22.0,12.0
2016-09-17:10,9.0,6.0
2016-09-17:11,11.0,10.0
2016-09-17:12,11.0,8.0
2016-09-17:13,19.0,10.0
2016-09-17:14,17.0,6.0
2016-09-17:15,6.0,14.0
2016-09-17:16,11.0,8.0
2016-09-17:17,12.0,8.0
2016-09-17:18,17.0,10.0
2016-09-17:19,20.0,15.0
2016-09-17:20,22.0,11.0
2016-09-17:21,20.0,0.0
2016-09-17:22,46.0,34.0
2016-09-17:23,45.0,30.0
2016-09-17:24,41.0,20.0
2016-09-18:01,28.0,26.0
2016-09-18:02,34.0,22.0
2016-09-18:03,34.0,20.0
2016-09-18:04,24.0,21.0
2016-09-18:05,27.0,16.0
2016-09-18:06,23.0,13.0
2016-09-18:07,23.0,14.0
2016-09-18:08,20.0,17.0
2016-09-18:09,23.0,13.0
2016-09-18:10,26.0,15.0
2016-09-18:11,18.0,11.0
2016-09-18:12,17.0,8.0
2016-09-18:13,20.0,9.0
2016-09-18:14,12.0,5.0
2016-09-18:15,16.0,9.0
2016-09-18:16,19.0,10.0
2016-09-18:17,16.0,9.0
2016-09-18:18,21.0,12.0
2016-09-18:19,19.0,8.0
2016-09-18:20,20.0,11.0
2016-09-18:21,16.0,6.0
2016-09-18:22,14.0,8.0
2016-09-18:23,18.0,7.0
2016-09-18:24,13.0,9.0
2016-09-19:01,13.0,3.0
2016-09-19:02,15.0,7.0
2016-09-19:03,13.0,5.0
2016-09-19:04,8.0,1.0
2016-09-19:05,14.0,9.0
2016-09-19:06,8.0,2.0
2016-09-19:07,8.0,4.0
2016-09-19:08,11.0,2.0
2016-09-19:09,14.0,8.0
2016-09-19:10,20.0,5.0
2016-09-19:11,14.0,9.0
2016-09-19:12,11.0,2.0
2016-09-19:13,11.0,4.0
2016-09-19:14,9.0,5.0
2016-09-19:15,6.0,7.0
2016-09-19:16,7.0,2.0
2016-09-19:17,12.0,0.0
2016-09-19:18,17.0,9.0
2016-09-19:19,10.0,5.0
2016-09-19:20,12.0,6.0
2016-09-19:21,7.0,1.0
2016-09-19:22,9.0,4.0
2016-09-19:23,14.0,5.0
2016-09-19:24,10.0,6.0
2016-09-20:01,12.0,3.0
2016-09-20:02,8.0,5.0
2016-09-20:03,11.0,2.0
2016-09-20:04,9.0,4.0
2016-09-20:05,3.0,2.0
2016-09-20:06,10.0,2.0
2016-09-20:07,11.0,5.0
2016-09-20:08,11.0,6.0
2016-09-20:09,17.0,6.0
2016-09-20:10,16.0,11.0
2016-09-20:11,15.0,7.0
2016-09-20:12,17.0,8.0
2016-09-20:13,13.0,7.0
2016-09-20:14,14.0,8.0
2016-09-20:15,8.0,6.0
2016-09-20:16,15.0,9.0
2016-09-20:17,13.0,9.0
2016-09-20:18,19.0,14.0
2016-09-20:19,19.0,10.0
2016-09-20:20,24.0,13.0
2016-09-20:21,24.0,20.0
2016-09-20:22,28.0,21.0
2016-09-20:23,35.0,23.0
2016-09-20:24,30.0,22.0
2016-09-21:01,31.0,21.0
2016-09-21:02,27.0,26.0
2016-09-21:03,31.0,19.0
2016-09-21:04,32.0,21.0
2016-09-21:05,28.0,23.0
2016-09-21:06,27.0,15.0
2016-09-21:07,28.0,25.0
2016-09-21:08,36.0,19.0
2016-09-21:09,37.0,21.0
2016-09-21:10,39.0,28.0
2016-09-21:11,38.0,25.0
2016-09-21:12,30.0,16.0
2016-09-21:13,29.0,21.0
2016-09-21:14,24.0,21.0
2016-09-21:15,22.0,22.0
2016-09-21:16,26.0,10.0
2016-09-21:17,23.0,15.0
2016-09-21:18,23.0,18.0
2016-09-21:19,30.0,20.0
2016-09-21:20,33.0,27.0
2016-09-21:21,0.0,20.0
2016-09-21:22,43.0,30.0
2016-09-21:23,43.0,22.0
2016-09-21:24,32.0,26.0
2016-09-22:01,30.0,19.0
2016-09-22:02,33.0,24.0
2016-09-22:03,31.0,23.0
2016-09-22:04,33.0,27.0
2016-09-22:05,36.0,22.0
2016-09-22:06,31.0,30.0
2016-09-22:07,34.0,25.0
2016-09-22:08,39.0,25.0
2016-09-22:09,40.0,28.0
2016-09-22:10,48.0,31.0
2016-09-22:11,46.0,28.0
2016-09-22:12,37.0,27.0
2016-09-22:13,33.0,26.0
2016-09-22:14,31.0,16.0
2016-09-22:15,22.0,17.0
2016-09-22:16,27.0,0.0
2016-09-22:17,33.0,25.0
2016-09-22:18,33.0,24.0
2016-09-22:19,33.0,19.0
2016-09-22:20,43.0,29.0
2016-09-22:21,50.0,26.0
2016-09-22:22,61.0,36.0
2016-09-22:23,62.0,38.0
2016-09-22:24,48.0,34.0
2016-09-23:01,47.0,30.0
2016-09-23:02,37.0,26.0
2016-09-23:03,39.0,25.0
2016-09-23:04,31.0,21.0
2016-09-23:05,37.0,23.0
2016-09-23:06,29.0,22.0
2016-09-23:07,35.0,20.0
2016-09-23:08,37.0,23.0
2016-09-23:09,44.0,22.0
2016-09-23:10,50.0,33.0
2016-09-23:11,56.0,27.0
2016-09-23:12,46.0,25.0
2016-09-23:13,40.0,27.0
2016-09-23:14,33.0,20.0
2016-09-23:15,50.0,27.0
2016-09-23:16,38.0,28.0
2016-09-23:17,33.0,25.0
2016-09-23:18,42.0,24.0
2016-09-23:19,54.0,43.0
2016-09-23:20,65.0,46.0
2016-09-23:21,69.0,50.0
2016-09-23:22,70.0,50.0
2016-09-23:23,70.0,48.0
2016-09-23:24,64.0,46.0
2016-09-24:01,64.0,39.0
2016-09-24:02,57.0,39.0
2016-09-24:03,51.0,37.0
2016-09-24:04,46.0,35.0
2016-09-24:05,46.0,27.0
2016-09-24:06,41.0,28.0
2016-09-24:07,38.0,25.0
2016-09-24:08,50.0,28.0
2016-09-24:09,49.0,30.0
2016-09-24:10,48.0,36.0
2016-09-24:11,59.0,39.0
2016-09-24:12,58.0,39.0
2016-09-24:13,51.0,38.0
2016-09-24:14,37.0,30.0
2016-09-24:15,30.0,25.0
2016-09-24:16,49.0,27.0
2016-09-24:17,46.0,26.0
2016-09-24:18,51.0,30.0
2016-09-24:19,79.0,52.0
2016-09-24:20,76.0,48.0
2016-09-24:21,77.0,50.0
2016-09-24:22,73.0,54.0
2016-09-24:23,64.0,51.0
2016-09-24:24,67.0,46.0
2016-09-25:01,67.0,51.0
2016-09-25:02,66.0,45.0
2016-09-25:03,68.0,48.0
2016-09-25:04,58.0,39.0
