time,pm10,pm2.5
2018-03-01:01,6.0,3.0
2018-03-01:02,7.0,4.0
2018-03-01:03,9.0,6.0
2018-03-01:04,6.0,4.0
2018-03-01:05,12.0,10.0
2018-03-01:06,20.0,17.0
2018-03-01:07,48.0,40.0
2018-03-01:08,49.0,44.0
2018-03-01:09,40.0,37.0
2018-03-01:10,55.0,49.0
2018-03-01:11,55.0,47.0
2018-03-01:12,52.0,44.0
2018-03-01:13,51.0,41.0
2018-03-01:14,47.0,37.0
2018-03-01:15,44.0,35.0
2018-03-01:16,44.0,35.0
2018-03-01:17,45.0,37.0
2018-03-01:18,44.0,39.0
2018-03-01:19,45.0,38.0
2018-03-01:20,45.0,36.0
2018-03-01:21,47.0,39.0
2018-03-01:22,49.0,38.0
2018-03-01:23,50.0,37.0
2018-03-01:24,48.0,38.0
2018-03-02:01,46.0,36.0
2018-03-02:02,47.0,30.0
2018-03-02:03,53.0,25.0
2018-03-02:04,61.0,22.0
2018-03-02:05,70.0,19.0
2018-03-02:06,72.0,20.0
2018-03-02:07,77.0,22.0
2018-03-02:08,81.0,21.0
2018-03-02:09,75.0,19.0
2018-03-02:10,82.0,25.0
2018-03-02:11,79.0,29.0
2018-03-02:12,66.0,20.0
2018-03-02:13,68.0,23.0
2018-03-02:14,70.0,26.0
2018-03-02:15,64.0,21.0
2018-03-02:16,60.0,20.0
2018-03-02:17,61.0,22.0
2018-03-02:18,58.0,23.0
2018-03-02:19,62.0,22.0
2018-03-02:20,57.0,20.0
2018-03-02:21,49.0,19.0
2018-03-02:22,53.0,20.0
2018-03-02:23,55.0,20.0
2018-03-02:24,54.0,20.0
2018-03-03:01,54.0,18.0
2018-03-03:02,57.0,22.0
2018-03-03:03,57.0,23.0
2018-03-03:04,56.0,25.0
2018-03-03:05,60.0,30.0
2018-03-03:06,65.0,32.0
2018-03-03:07,65.0,32.0
2018-03-03:08,64.0,34.0
2018-03-03:09,62.0,32.0
2018-03-03:10,62.0,36.0
2018-03-03:11,60.0,36.0
2018-03-03:12,56.0,35.0
2018-03-03:13,54.0,32.0
2018-03-03:14,43.0,26.0
2018-03-03:15,39.0,19.0
2018-03-03:16,47.0,20.0
2018-03-03:17,51.0,23.0
2018-03-03:18,43.0,20.0
2018-03-03:19,34.0,17.0
2018-03-03:20,33.0,19.0
2018-03-03:21,36.0,23.0
2018-03-03:22,42.0,30.0
2018-03-03:23,45.0,31.0
2018-03-03:24,50.0,34.0
2018-03-04:01,50.0,35.0
2018-03-04:02,44.0,34.0
2018-03-04:03,41.0,29.0
2018-03-04:04,39.0,28.0
2018-03-04:05,44.0,36.0
2018-03-04:06,46.0,36.0
2018-03-04:07,51.0,41.0
2018-03-04:08,46.0,38.0
2018-03-04:09,39.0,31.0
2018-03-04:10,41.0,37.0
2018-03-04:11,26.0,26.0
2018-03-04:12,38.0,36.0
2018-03-04:13,41.0,35.0
2018-03-04:14,46.0,42.0
2018-03-04:15,42.0,42.0
2018-03-04:16,35.0,32.0
2018-03-04:17,27.0,22.0
2018-03-04:18,20.0,17.0
2018-03-04:19,20.0,16.0
2018-03-04:20,18.0,14.0
2018-03-04:21,23.0,16.0
2018-03-04:22,12.0,7.0
2018-03-04:23,7.0,5.0
2018-03-04:24,5.0,3.0
2018-03-05:01,5.0,3.0
2018-03-05:02,5.0,3.0
2018-03-05:03,5.0,3.0
2018-03-05:04,5.0,3.0
2018-03-05:05,5.0,3.0
2018-03-05:06,5.0,3.0
2018-03-05:07,5.0,3.0
2018-03-05:08,5.0,3.0
2018-03-05:09,5.0,3.0
2018-03-05:10,5.0,3.0
2018-03-05:11,5.0,3.0
2018-03-05:12,6.0,3.0
2018-03-05:13,5.0,3.0
2018-03-05:14,7.0,2.0
2018-03-05:15,7.0,1.0
2018-03-05:16,6.0,1.0
2018-03-05:17,8.0,2.0
2018-03-05:18,12.0,6.0
2018-03-05:19,13.0,7.0
2018-03-05:20,13.0,7.0
2018-03-05:21,15.0,9.0
2018-03-05:22,14.0,10.0
2018-03-05:23,15.0,8.0
2018-03-05:24,16.0,11.0
2018-03-06:01,17.0,11.0
2018-03-06:02,18.0,10.0
2018-03-06:03,22.0,13.0
2018-03-06:04,25.0,18.0
2018-03-06:05,26.0,18.0
2018-03-06:06,25.0,18.0
2018-03-06:07,28.0,22.0
2018-03-06:08,30.0,21.0
2018-03-06:09,25.0,19.0
2018-03-06:10,32.0,20.0
2018-03-06:11,26.0,18.0
2018-03-06:12,28.0,18.0
2018-03-06:13,31.0,19.0
2018-03-06:14,28.0,19.0
2018-03-06:15,29.0,18.0
2018-03-06:16,28.0,16.0
2018-03-06:17,28.0,16.0
2018-03-06:18,31.0,17.0
2018-03-06:19,30.0,15.0
2018-03-06:20,32.0,16.0
2018-03-06:21,41.0,22.0
2018-03-06:22,45.0,27.0
2018-03-06:23,46.0,30.0
2018-03-06:24,45.0,29.0
2018-03-07:01,45.0,26.0
2018-03-07:02,41.0,27.0
2018-03-07:03,32.0,21.0
2018-03-07:04,26.0,16.0
2018-03-07:05,22.0,14.0
2018-03-07:06,22.0,14.0
2018-03-07:07,22.0,16.0
2018-03-07:08,23.0,14.0
2018-03-07:09,24.0,12.0
2018-03-07:10,26.0,14.0
2018-03-07:11,26.0,13.0
2018-03-07:12,26.0,13.0
2018-03-07:13,28.0,14.0
2018-03-07:14,25.0,14.0
2018-03-07:15,26.0,16.0
2018-03-07:16,27.0,14.0
2018-03-07:17,23.0,14.0
2018-03-07:18,27.0,16.0
2018-03-07:19,22.0,14.0
2018-03-07:20,23.0,15.0
2018-03-07:21,27.0,18.0
2018-03-07:22,27.0,19.0
2018-03-07:23,27.0,20.0
2018-03-07:24,23.0,16.0
2018-03-08:01,20.0,14.0
2018-03-08:02,14.0,10.0
2018-03-08:03,10.0,10.0
2018-03-08:04,11.0,9.0
2018-03-08:05,16.0,15.0
2018-03-08:06,12.0,11.0
2018-03-08:07,15.0,13.0
2018-03-08:08,19.0,17.0
2018-03-08:09,19.0,18.0
2018-03-08:10,17.0,15.0
2018-03-08:11,17.0,14.0
2018-03-08:12,14.0,12.0
2018-03-08:13,19.0,14.0
2018-03-08:14,20.0,18.0
2018-03-08:15,21.0,17.0
2018-03-08:16,28.0,24.0
2018-03-08:17,45.0,38.0
2018-03-08:18,66.0,60.0
2018-03-08:19,62.0,59.0
2018-03-08:20,61.0,58.0
2018-03-08:21,66.0,60.0
2018-03-08:22,71.0,61.0
2018-03-08:23,77.0,62.0
2018-03-08:24,79.0,62.0
2018-03-09:01,71.0,62.0
2018-03-09:02,70.0,60.0
2018-03-09:03,69.0,57.0
2018-03-09:04,67.0,56.0
2018-03-09:05,63.0,51.0
2018-03-09:06,54.0,45.0
2018-03-09:07,52.0,45.0
2018-03-09:08,53.0,46.0
2018-03-09:09,52.0,45.0
2018-03-09:10,50.0,37.0
2018-03-09:11,48.0,34.0
2018-03-09:12,41.0,29.0
2018-03-09:13,40.0,31.0
2018-03-09:14,43.0,34.0
2018-03-09:15,70.0,54.0
2018-03-09:16,60.0,48.0
2018-03-09:17,60.0,48.0
2018-03-09:18,58.0,49.0
2018-03-09:19,49.0,39.0
2018-03-09:20,37.0,29.0
2018-03-09:21,35.0,27.0
2018-03-09:22,44.0,34.0
2018-03-09:23,46.0,37.0
2018-03-09:24,43.0,36.0
2018-03-10:01,47.0,37.0
2018-03-10:02,48.0,40.0
2018-03-10:03,53.0,44.0
2018-03-10:04,53.0,47.0
2018-03-10:05,57.0,50.0
2018-03-10:06,53.0,48.0
2018-03-10:07,47.0,41.0
2018-03-10:08,56.0,48.0
2018-03-10:09,61.0,50.0
2018-03-10:10,58.0,47.0
2018-03-10:11,50.0,42.0
2018-03-10:12,48.0,40.0
2018-03-10:13,46.0,35.0
2018-03-10:14,34.0,25.0
2018-03-10:15,26.0,19.0
2018-03-10:16,19.0,12.0
2018-03-10:17,27.0,15.0
2018-03-10:18,30.0,18.0
2018-03-10:19,27.0,13.0
2018-03-10:20,23.0,14.0
2018-03-10:21,26.0,13.0
2018-03-10:22,27.0,17.0
2018-03-10:23,30.0,18.0
2018-03-10:24,35.0,24.0
2018-03-11:01,38.0,28.0
2018-03-11:02,41.0,29.0
2018-03-11:03,47.0,32.0
2018-03-11:04,59.0,44.0
2018-03-11:05,71.0,51.0
2018-03-11:06,76.0,60.0
2018-03-11:07,81.0,64.0
2018-03-11:08,84.0,64.0
2018-03-11:09,82.0,63.0
2018-03-11:10,82.0,66.0
2018-03-11:11,85.0,71.0
2018-03-11:12,86.0,69.0
2018-03-11:13,62.0,50.0
2018-03-11:14,56.0,46.0
2018-03-11:15,58.0,45.0
2018-03-11:16,46.0,36.0
2018-03-11:17,36.0,29.0
2018-03-11:18,38.0,28.0
2018-03-11:19,33.0,20.0
2018-03-11:20,31.0,23.0
2018-03-11:21,41.0,33.0
2018-03-11:22,54.0,43.0
2018-03-11:23,73.0,58.0
2018-03-11:24,77.0,65.0
2018-03-12:01,82.0,68.0
2018-03-12:02,94.0,83.0
2018-03-12:03,98.0,89.0
2018-03-12:04,92.0,85.0
2018-03-12:05,92.0,83.0
2018-03-12:06,97.0,86.0
2018-03-12:07,98.0,87.0
2018-03-12:08,78.0,64.0
2018-03-12:09,69.0,52.0
2018-03-12:10,67.0,47.0
2018-03-12:11,72.0,50.0
2018-03-12:12,84.0,59.0
2018-03-12:13,118.0,82.0
2018-03-12:14,127.0,90.0
2018-03-12:15,134.0,94.0
2018-03-12:16,118.0,82.0
2018-03-12:17,127.0,93.0
2018-03-12:18,114.0,82.0
2018-03-12:19,123.0,89.0
2018-03-12:20,120.0,88.0
2018-03-12:21,116.0,88.0
2018-03-12:22,112.0,85.0
2018-03-12:23,114.0,84.0
2018-03-12:24,107.0,84.0
2018-03-13:01,94.0,78.0
2018-03-13:02,92.0,74.0
2018-03-13:03,84.0,69.0
2018-03-13:04,77.0,63.0
2018-03-13:05,76.0,63.0
2018-03-13:06,74.0,55.0
2018-03-13:07,78.0,57.0
2018-03-13:08,77.0,55.0
2018-03-13:09,81.0,54.0
2018-03-13:10,78.0,48.0
2018-03-13:11,50.0,27.0
2018-03-13:12,32.0,16.0
2018-03-13:13,32.0,14.0
2018-03-13:14,28.0,14.0
2018-03-13:15,27.0,14.0
2018-03-13:16,28.0,13.0
2018-03-13:17,29.0,14.0
2018-03-13:18,26.0,15.0
2018-03-13:19,26.0,14.0
2018-03-13:20,22.0,12.0
2018-03-13:21,26.0,14.0
2018-03-13:22,26.0,16.0
2018-03-13:23,25.0,15.0
2018-03-13:24,22.0,12.0
2018-03-14:01,19.0,9.0
2018-03-14:02,14.0,7.0
2018-03-14:03,17.0,9.0
2018-03-14:04,15.0,9.0
2018-03-14:05,15.0,8.0
2018-03-14:06,15.0,8.0
2018-03-14:07,18.0,10.0
2018-03-14:08,18.0,10.0
2018-03-14:09,23.0,12.0
2018-03-14:10,26.0,10.0
2018-03-14:11,20.0,7.0
2018-03-14:12,22.0,10.0
2018-03-14:13,23.0,10.0
2018-03-14:14,19.0,9.0
2018-03-14:15,19.0,6.0
2018-03-14:16,18.0,7.0
2018-03-14:17,0.0,0.0
2018-03-14:18,0.0,0.0
2018-03-14:19,20.0,8.0
2018-03-14:20,20.0,12.0
2018-03-14:21,22.0,15.0
2018-03-14:22,25.0,17.0
2018-03-14:23,25.0,19.0
2018-03-14:24,24.0,15.0
2018-03-15:01,22.0,14.0
2018-03-15:02,20.0,12.0
2018-03-15:03,20.0,14.0
2018-03-15:04,24.0,16.0
2018-03-15:05,26.0,18.0
2018-03-15:06,17.0,12.0
2018-03-15:07,11.0,10.0
2018-03-15:08,10.0,7.0
2018-03-15:09,7.0,4.0
2018-03-15:10,8.0,5.0
2018-03-15:11,7.0,3.0
2018-03-15:12,9.0,5.0
2018-03-15:13,9.0,8.0
2018-03-15:14,14.0,11.0
2018-03-15:15,17.0,13.0
2018-03-15:16,37.0,34.0
2018-03-15:17,36.0,30.0
2018-03-15:18,26.0,23.0
2018-03-15:19,31.0,24.0
2018-03-15:20,37.0,28.0
2018-03-15:21,42.0,28.0
2018-03-15:22,38.0,30.0
2018-03-15:23,38.0,31.0
2018-03-15:24,35.0,26.0
2018-03-16:01,12.0,7.0
