time,pm10,pm2.5
2019-11-01:01,121.0,42.0
2019-11-01:02,118.0,41.0
2019-11-01:03,128.0,47.0
2019-11-01:04,127.0,45.0
2019-11-01:05,127.0,46.0
2019-11-01:06,128.0,46.0
2019-11-01:07,97.0,42.0
2019-11-01:08,104.0,40.0
2019-11-01:09,93.0,43.0
2019-11-01:10,99.0,46.0
2019-11-01:11,60.0,28.0
2019-11-01:12,42.0,19.0
2019-11-01:13,41.0,25.0
2019-11-01:14,39.0,20.0
2019-11-01:15,40.0,20.0
2019-11-01:16,37.0,23.0
2019-11-01:17,42.0,21.0
2019-11-01:18,44.0,26.0
2019-11-01:19,46.0,25.0
2019-11-01:20,48.0,31.0
2019-11-01:21,55.0,33.0
2019-11-01:22,59.0,34.0
2019-11-01:23,63.0,34.0
2019-11-01:24,57.0,30.0
2019-11-02:01,53.0,28.0
2019-11-02:02,47.0,31.0
2019-11-02:03,46.0,25.0
2019-11-02:04,46.0,27.0
2019-11-02:05,44.0,26.0
2019-11-02:06,46.0,23.0
2019-11-02:07,49.0,28.0
2019-11-02:08,52.0,30.0
2019-11-02:09,65.0,37.0
2019-11-02:10,67.0,38.0
2019-11-02:11,70.0,38.0
2019-11-02:12,75.0,42.0
2019-11-02:13,79.0,41.0
2019-11-02:14,81.0,48.0
2019-11-02:15,84.0,43.0
2019-11-02:16,79.0,43.0
2019-11-02:17,89.0,47.0
2019-11-02:18,95.0,57.0
2019-11-02:19,83.0,50.0
2019-11-02:20,89.0,59.0
2019-11-02:21,87.0,63.0
2019-11-02:22,87.0,57.0
2019-11-02:23,74.0,53.0
2019-11-02:24,74.0,47.0
2019-11-03:01,71.0,48.0
2019-11-03:02,70.0,46.0
2019-11-03:03,72.0,48.0
2019-11-03:04,77.0,48.0
2019-11-03:05,73.0,54.0
2019-11-03:06,74.0,50.0
2019-11-03:07,77.0,50.0
2019-11-03:08,73.0,50.0
2019-11-03:09,68.0,45.0
2019-11-03:10,70.0,50.0
2019-11-03:11,65.0,45.0
2019-11-03:12,73.0,49.0
2019-11-03:13,63.0,43.0
2019-11-03:14,40.0,27.0
2019-11-03:15,20.0,12.0
2019-11-03:16,12.0,10.0
2019-11-03:17,14.0,8.0
2019-11-03:18,11.0,6.0
2019-11-03:19,13.0,5.0
2019-11-03:20,12.0,5.0
2019-11-03:21,7.0,4.0
2019-11-03:22,4.0,0.0
2019-11-03:23,0.0,6.0
2019-11-03:24,3.0,0.0
2019-11-04:01,8.0,6.0
2019-11-04:02,6.0,6.0
2019-11-04:03,3.0,0.0
2019-11-04:04,6.0,5.0
2019-11-04:05,5.0,4.0
2019-11-04:06,5.0,3.0
2019-11-04:07,6.0,3.0
2019-11-04:08,7.0,4.0
2019-11-04:09,10.0,7.0
2019-11-04:10,14.0,9.0
2019-11-04:11,14.0,6.0
2019-11-04:12,15.0,9.0
2019-11-04:13,11.0,10.0
2019-11-04:14,14.0,10.0
2019-11-04:15,11.0,8.0
2019-11-04:16,14.0,8.0
2019-11-04:17,0.0,0.0
2019-11-04:18,27.0,16.0
2019-11-04:19,30.0,0.0
2019-11-04:20,27.0,0.0
2019-11-04:21,22.0,14.0
2019-11-04:22,32.0,0.0
2019-11-04:23,29.0,18.0
2019-11-04:24,23.0,16.0
2019-11-05:01,19.0,10.0
2019-11-05:02,26.0,12.0
2019-11-05:03,24.0,10.0
2019-11-05:04,21.0,12.0
2019-11-05:05,22.0,10.0
2019-11-05:06,25.0,13.0
2019-11-05:07,26.0,17.0
2019-11-05:08,37.0,20.0
2019-11-05:09,39.0,19.0
2019-11-05:10,39.0,24.0
2019-11-05:11,44.0,25.0
2019-11-05:12,35.0,23.0
2019-11-05:13,35.0,24.0
2019-11-05:14,30.0,25.0
2019-11-05:15,30.0,22.0
2019-11-05:16,28.0,20.0
2019-11-05:17,34.0,19.0
2019-11-05:18,38.0,27.0
2019-11-05:19,53.0,0.0
2019-11-05:20,57.0,40.0
2019-11-05:21,84.0,0.0
2019-11-05:22,45.0,31.0
2019-11-05:23,41.0,29.0
2019-11-05:24,41.0,27.0
2019-11-06:01,44.0,27.0
2019-11-06:02,41.0,27.0
2019-11-06:03,42.0,26.0
2019-11-06:04,39.0,25.0
2019-11-06:05,39.0,23.0
2019-11-06:06,42.0,22.0
2019-11-06:07,46.0,26.0
2019-11-06:08,50.0,27.0
2019-11-06:09,56.0,29.0
2019-11-06:10,53.0,31.0
2019-11-06:11,55.0,42.0
2019-11-06:12,57.0,43.0
2019-11-06:13,56.0,38.0
2019-11-06:14,39.0,27.0
2019-11-06:15,44.0,27.0
2019-11-06:16,46.0,26.0
2019-11-06:17,44.0,25.0
2019-11-06:18,51.0,30.0
2019-11-06:19,55.0,40.0
2019-11-06:20,44.0,32.0
2019-11-06:21,56.0,46.0
2019-11-06:22,39.0,29.0
2019-11-06:23,44.0,25.0
2019-11-06:24,32.0,17.0
2019-11-07:01,32.0,16.0
2019-11-07:02,36.0,19.0
2019-11-07:03,43.0,24.0
2019-11-07:04,42.0,26.0
2019-11-07:05,40.0,20.0
2019-11-07:06,32.0,20.0
2019-11-07:07,36.0,20.0
2019-11-07:08,42.0,22.0
2019-11-07:09,34.0,24.0
2019-11-07:10,46.0,26.0
2019-11-07:11,46.0,25.0
2019-11-07:12,49.0,31.0
2019-11-07:13,46.0,24.0
2019-11-07:14,41.0,19.0
2019-11-07:15,42.0,18.0
2019-11-07:16,40.0,18.0
2019-11-07:17,52.0,18.0
2019-11-07:18,63.0,21.0
2019-11-07:19,65.0,28.0
2019-11-07:20,66.0,27.0
2019-11-07:21,52.0,18.0
2019-11-07:22,53.0,19.0
2019-11-07:23,51.0,19.0
2019-11-07:24,43.0,8.0
2019-11-08:01,35.0,10.0
2019-11-08:02,36.0,14.0
2019-11-08:03,39.0,13.0
2019-11-08:04,35.0,16.0
2019-11-08:05,33.0,15.0
2019-11-08:06,33.0,12.0
2019-11-08:07,36.0,15.0
2019-11-08:08,39.0,17.0
2019-11-08:09,39.0,14.0
2019-11-08:10,46.0,21.0
2019-11-08:11,42.0,15.0
2019-11-08:12,37.0,13.0
2019-11-08:13,29.0,15.0
2019-11-08:14,34.0,11.0
2019-11-08:15,34.0,15.0
2019-11-08:16,33.0,20.0
2019-11-08:17,26.0,14.0
2019-11-08:18,36.0,21.0
2019-11-08:19,37.0,18.0
2019-11-08:20,54.0,0.0
2019-11-08:21,50.0,19.0
2019-11-08:22,46.0,23.0
2019-11-08:23,46.0,25.0
2019-11-08:24,43.0,20.0
2019-11-09:01,47.0,20.0
2019-11-09:02,44.0,20.0
2019-11-09:03,47.0,17.0
2019-11-09:04,38.0,18.0
2019-11-09:05,38.0,19.0
2019-11-09:06,39.0,15.0
2019-11-09:07,44.0,19.0
2019-11-09:08,51.0,22.0
2019-11-09:09,48.0,27.0
2019-11-09:10,51.0,27.0
2019-11-09:11,38.0,22.0
2019-11-09:12,29.0,18.0
2019-11-09:13,34.0,19.0
2019-11-09:14,30.0,15.0
2019-11-09:15,22.0,11.0
2019-11-09:16,23.0,7.0
2019-11-09:17,38.0,21.0
2019-11-09:18,30.0,20.0
2019-11-09:19,36.0,20.0
2019-11-09:20,48.0,27.0
2019-11-09:21,41.0,26.0
2019-11-09:22,52.0,33.0
2019-11-09:23,73.0,0.0
2019-11-09:24,56.0,38.0
2019-11-10:01,51.0,33.0
2019-11-10:02,45.0,27.0
2019-11-10:03,36.0,21.0
2019-11-10:04,38.0,21.0
2019-11-10:05,32.0,18.0
2019-11-10:06,29.0,22.0
2019-11-10:07,35.0,21.0
2019-11-10:08,37.0,23.0
2019-11-10:09,38.0,23.0
2019-11-10:10,40.0,27.0
2019-11-10:11,46.0,32.0
2019-11-10:12,43.0,34.0
2019-11-10:13,46.0,32.0
2019-11-10:14,41.0,33.0
2019-11-10:15,38.0,29.0
2019-11-10:16,29.0,28.0
2019-11-10:17,31.0,21.0
2019-11-10:18,32.0,21.0
2019-11-10:19,30.0,22.0
2019-11-10:20,29.0,23.0
2019-11-10:21,0.0,26.0
2019-11-10:22,19.0,16.0
2019-11-10:23,0.0,17.0
2019-11-10:24,19.0,0.0
2019-11-11:01,18.0,16.0
2019-11-11:02,16.0,14.0
2019-11-11:03,19.0,13.0
2019-11-11:04,18.0,16.0
2019-11-11:05,15.0,15.0
2019-11-11:06,12.0,12.0
2019-11-11:07,16.0,13.0
2019-11-11:08,0.0,14.0
2019-11-11:09,13.0,0.0
2019-11-11:10,20.0,13.0
2019-11-11:11,20.0,16.0
2019-11-11:12,18.0,16.0
2019-11-11:13,19.0,14.0
2019-11-11:14,19.0,15.0
2019-11-11:15,20.0,16.0
2019-11-11:16,25.0,19.0
2019-11-11:17,33.0,23.0
2019-11-11:18,35.0,28.0
2019-11-11:19,40.0,30.0
2019-11-11:20,40.0,0.0
2019-11-11:21,39.0,27.0
2019-11-11:22,29.0,18.0
2019-11-11:23,23.0,17.0
2019-11-11:24,21.0,15.0
2019-11-12:01,23.0,15.0
2019-11-12:02,26.0,14.0
2019-11-12:03,23.0,16.0
2019-11-12:04,28.0,14.0
2019-11-12:05,27.0,21.0
2019-11-12:06,31.0,16.0
2019-11-12:07,30.0,19.0
2019-11-12:08,30.0,19.0
2019-11-12:09,29.0,23.0
2019-11-12:10,36.0,21.0
2019-11-12:11,34.0,22.0
2019-11-12:12,39.0,24.0
2019-11-12:13,41.0,27.0
2019-11-12:14,38.0,21.0
2019-11-12:15,37.0,26.0
2019-11-12:16,52.0,33.0
2019-11-12:17,48.0,29.0
2019-11-12:18,42.0,25.0
2019-11-12:19,39.0,25.0
2019-11-12:20,39.0,22.0
2019-11-12:21,48.0,32.0
2019-11-12:22,54.0,38.0
2019-11-12:23,50.0,32.0
2019-11-12:24,51.0,31.0
2019-11-13:01,46.0,30.0
2019-11-13:02,39.0,32.0
2019-11-13:03,34.0,25.0
2019-11-13:04,35.0,27.0
2019-11-13:05,31.0,27.0
2019-11-13:06,32.0,28.0
2019-11-13:07,37.0,26.0
2019-11-13:08,36.0,25.0
2019-11-13:09,40.0,27.0
2019-11-13:10,44.0,31.0
2019-11-13:11,48.0,32.0
2019-11-13:12,43.0,28.0
2019-11-13:13,37.0,27.0
2019-11-13:14,34.0,25.0
2019-11-13:15,28.0,19.0
2019-11-13:16,21.0,19.0
2019-11-13:17,0.0,14.0
2019-11-13:18,13.0,12.0
2019-11-13:19,21.0,17.0
2019-11-13:20,23.0,17.0
2019-11-13:21,16.0,12.0
2019-11-13:22,9.0,0.0
2019-11-13:23,13.0,7.0
2019-11-13:24,13.0,7.0
2019-11-14:01,14.0,8.0
2019-11-14:02,12.0,6.0
2019-11-14:03,15.0,6.0
2019-11-14:04,10.0,4.0
2019-11-14:05,15.0,4.0
2019-11-14:06,11.0,4.0
2019-11-14:07,13.0,3.0
2019-11-14:08,19.0,5.0
2019-11-14:09,20.0,5.0
2019-11-14:10,23.0,5.0
2019-11-14:11,21.0,4.0
2019-11-14:12,23.0,3.0
2019-11-14:13,16.0,5.0
2019-11-14:14,20.0,10.0
2019-11-14:15,19.0,7.0
2019-11-14:16,15.0,7.0
2019-11-14:17,15.0,8.0
2019-11-14:18,20.0,9.0
2019-11-14:19,0.0,0.0
2019-11-14:20,0.0,0.0
2019-11-14:21,29.0,18.0
2019-11-14:22,34.0,0.0
2019-11-14:23,32.0,23.0
2019-11-14:24,21.0,11.0
2019-11-15:01,22.0,12.0
2019-11-15:02,25.0,9.0
2019-11-15:03,19.0,9.0
