time,pm10,pm2.5
2017-01-01:01,118.0,0.0
2017-01-01:02,121.0,0.0
2017-01-01:03,107.0,0.0
2017-01-01:04,102.0,0.0
2017-01-01:05,94.0,0.0
2017-01-01:06,110.0,0.0
2017-01-01:07,98.0,0.0
2017-01-01:08,96.0,0.0
2017-01-01:09,89.0,0.0
2017-01-01:10,87.0,0.0
2017-01-01:11,104.0,0.0
2017-01-01:12,114.0,0.0
2017-01-01:13,116.0,0.0
2017-01-01:14,127.0,0.0
2017-01-01:15,130.0,0.0
2017-01-01:16,111.0,0.0
2017-01-01:17,104.0,0.0
2017-01-01:18,94.0,0.0
2017-01-01:19,111.0,0.0
2017-01-01:20,129.0,0.0
2017-01-01:21,133.0,0.0
2017-01-01:22,134.0,0.0
2017-01-01:23,118.0,0.0
2017-01-01:24,128.0,0.0
2017-01-02:01,116.0,0.0
2017-01-02:02,123.0,0.0
2017-01-02:03,122.0,0.0
2017-01-02:04,107.0,0.0
2017-01-02:05,118.0,0.0
2017-01-02:06,117.0,0.0
2017-01-02:07,122.0,0.0
2017-01-02:08,105.0,0.0
2017-01-02:09,92.0,0.0
2017-01-02:10,84.0,0.0
2017-01-02:11,95.0,0.0
2017-01-02:12,103.0,0.0
2017-01-02:13,124.0,0.0
2017-01-02:14,156.0,0.0
2017-01-02:15,173.0,0.0
2017-01-02:16,193.0,0.0
2017-01-02:17,206.0,0.0
2017-01-02:18,213.0,0.0
2017-01-02:19,220.0,0.0
2017-01-02:20,211.0,0.0
2017-01-02:21,228.0,0.0
2017-01-02:22,214.0,0.0
2017-01-02:23,194.0,0.0
2017-01-02:24,193.0,0.0
2017-01-03:01,179.0,0.0
2017-01-03:02,166.0,0.0
2017-01-03:03,134.0,0.0
2017-01-03:04,104.0,0.0
2017-01-03:05,107.0,0.0
2017-01-03:06,123.0,0.0
2017-01-03:07,120.0,0.0
2017-01-03:08,113.0,0.0
2017-01-03:09,126.0,0.0
2017-01-03:10,116.0,0.0
2017-01-03:11,92.0,0.0
2017-01-03:12,117.0,0.0
2017-01-03:13,0.0,0.0
2017-01-03:14,122.0,0.0
2017-01-03:15,102.0,0.0
2017-01-03:16,62.0,0.0
2017-01-03:17,45.0,0.0
2017-01-03:18,50.0,0.0
2017-01-03:19,44.0,0.0
2017-01-03:20,42.0,0.0
2017-01-03:21,50.0,0.0
2017-01-03:22,48.0,0.0
2017-01-03:23,48.0,0.0
2017-01-03:24,51.0,0.0
2017-01-04:01,44.0,0.0
2017-01-04:02,40.0,0.0
2017-01-04:03,55.0,0.0
2017-01-04:04,41.0,0.0
2017-01-04:05,52.0,0.0
2017-01-04:06,58.0,0.0
2017-01-04:07,55.0,0.0
2017-01-04:08,67.0,0.0
2017-01-04:09,73.0,0.0
2017-01-04:10,79.0,0.0
2017-01-04:11,79.0,0.0
2017-01-04:12,110.0,0.0
2017-01-04:13,112.0,0.0
2017-01-04:14,87.0,0.0
2017-01-04:15,79.0,0.0
2017-01-04:16,75.0,0.0
2017-01-04:17,70.0,0.0
2017-01-04:18,73.0,0.0
2017-01-04:19,70.0,0.0
2017-01-04:20,80.0,0.0
2017-01-04:21,94.0,0.0
2017-01-04:22,78.0,0.0
2017-01-04:23,79.0,0.0
2017-01-04:24,75.0,0.0
2017-01-05:01,78.0,0.0
2017-01-05:02,84.0,0.0
2017-01-05:03,67.0,0.0
2017-01-05:04,74.0,0.0
2017-01-05:05,75.0,0.0
2017-01-05:06,77.0,0.0
2017-01-05:07,81.0,0.0
2017-01-05:08,91.0,0.0
2017-01-05:09,79.0,0.0
2017-01-05:10,62.0,0.0
2017-01-05:11,70.0,0.0
2017-01-05:12,55.0,0.0
2017-01-05:13,36.0,0.0
2017-01-05:14,28.0,0.0
2017-01-05:15,15.0,0.0
2017-01-05:16,23.0,0.0
2017-01-05:17,20.0,0.0
2017-01-05:18,23.0,0.0
2017-01-05:19,32.0,0.0
2017-01-05:20,22.0,0.0
2017-01-05:21,30.0,0.0
2017-01-05:22,17.0,0.0
2017-01-05:23,14.0,0.0
2017-01-05:24,10.0,0.0
2017-01-06:01,16.0,0.0
2017-01-06:02,5.0,0.0
2017-01-06:03,7.0,0.0
2017-01-06:04,11.0,0.0
2017-01-06:05,8.0,0.0
2017-01-06:06,12.0,0.0
2017-01-06:07,11.0,0.0
2017-01-06:08,13.0,0.0
2017-01-06:09,16.0,0.0
2017-01-06:10,19.0,0.0
2017-01-06:11,6.0,0.0
2017-01-06:12,38.0,0.0
2017-01-06:13,27.0,0.0
2017-01-06:14,29.0,0.0
2017-01-06:15,33.0,0.0
2017-01-06:16,41.0,0.0
2017-01-06:17,36.0,0.0
2017-01-06:18,45.0,0.0
2017-01-06:19,44.0,0.0
2017-01-06:20,56.0,0.0
2017-01-06:21,57.0,0.0
2017-01-06:22,56.0,0.0
2017-01-06:23,58.0,0.0
2017-01-06:24,58.0,0.0
2017-01-07:01,66.0,0.0
2017-01-07:02,65.0,0.0
2017-01-07:03,59.0,0.0
2017-01-07:04,76.0,0.0
2017-01-07:05,75.0,0.0
2017-01-07:06,68.0,0.0
2017-01-07:07,63.0,0.0
2017-01-07:08,66.0,0.0
2017-01-07:09,62.0,0.0
2017-01-07:10,58.0,0.0
2017-01-07:11,62.0,0.0
2017-01-07:12,99.0,0.0
2017-01-07:13,100.0,0.0
2017-01-07:14,110.0,0.0
2017-01-07:15,102.0,0.0
2017-01-07:16,131.0,0.0
2017-01-07:17,106.0,0.0
2017-01-07:18,99.0,0.0
2017-01-07:19,70.0,0.0
2017-01-07:20,56.0,0.0
2017-01-07:21,69.0,0.0
2017-01-07:22,76.0,0.0
2017-01-07:23,86.0,0.0
2017-01-07:24,86.0,0.0
2017-01-08:01,67.0,0.0
2017-01-08:02,45.0,0.0
2017-01-08:03,44.0,0.0
2017-01-08:04,45.0,0.0
2017-01-08:05,46.0,0.0
2017-01-08:06,50.0,0.0
2017-01-08:07,52.0,0.0
2017-01-08:08,44.0,0.0
2017-01-08:09,37.0,0.0
2017-01-08:10,18.0,0.0
2017-01-08:11,17.0,0.0
2017-01-08:12,27.0,0.0
2017-01-08:13,41.0,0.0
2017-01-08:14,45.0,0.0
2017-01-08:15,53.0,0.0
2017-01-08:16,50.0,0.0
2017-01-08:17,40.0,0.0
2017-01-08:18,39.0,0.0
2017-01-08:19,40.0,0.0
2017-01-08:20,43.0,0.0
2017-01-08:21,49.0,0.0
2017-01-08:22,49.0,0.0
2017-01-08:23,48.0,0.0
2017-01-08:24,57.0,0.0
2017-01-09:01,54.0,0.0
2017-01-09:02,56.0,0.0
2017-01-09:03,60.0,0.0
2017-01-09:04,55.0,0.0
2017-01-09:05,69.0,0.0
2017-01-09:06,71.0,0.0
2017-01-09:07,71.0,0.0
2017-01-09:08,65.0,0.0
2017-01-09:09,77.0,0.0
2017-01-09:10,115.0,0.0
2017-01-09:11,117.0,0.0
2017-01-09:12,119.0,0.0
2017-01-09:13,116.0,0.0
2017-01-09:14,107.0,0.0
2017-01-09:15,87.0,0.0
2017-01-09:16,76.0,0.0
2017-01-09:17,75.0,0.0
2017-01-09:18,71.0,0.0
2017-01-09:19,67.0,0.0
2017-01-09:20,68.0,0.0
2017-01-09:21,59.0,0.0
2017-01-09:22,59.0,0.0
2017-01-09:23,59.0,0.0
2017-01-09:24,55.0,0.0
2017-01-10:01,50.0,0.0
2017-01-10:02,43.0,0.0
2017-01-10:03,44.0,0.0
2017-01-10:04,40.0,0.0
2017-01-10:05,38.0,0.0
2017-01-10:06,45.0,0.0
2017-01-10:07,43.0,0.0
2017-01-10:08,45.0,0.0
2017-01-10:09,46.0,0.0
2017-01-10:10,35.0,0.0
2017-01-10:11,26.0,0.0
2017-01-10:12,56.0,0.0
2017-01-10:13,43.0,0.0
2017-01-10:14,53.0,0.0
2017-01-10:15,42.0,0.0
2017-01-10:16,41.0,0.0
2017-01-10:17,41.0,0.0
2017-01-10:18,35.0,0.0
2017-01-10:19,28.0,0.0
2017-01-10:20,39.0,0.0
2017-01-10:21,30.0,0.0
2017-01-10:22,35.0,0.0
2017-01-10:23,30.0,0.0
2017-01-10:24,31.0,0.0
2017-01-11:01,20.0,0.0
2017-01-11:02,24.0,0.0
2017-01-11:03,19.0,0.0
2017-01-11:04,22.0,0.0
2017-01-11:05,19.0,0.0
2017-01-11:06,21.0,0.0
2017-01-11:07,21.0,0.0
2017-01-11:08,25.0,0.0
2017-01-11:09,27.0,0.0
2017-01-11:10,28.0,0.0
2017-01-11:11,34.0,0.0
2017-01-11:12,48.0,0.0
2017-01-11:13,43.0,0.0
2017-01-11:14,53.0,0.0
2017-01-11:15,65.0,0.0
2017-01-11:16,34.0,0.0
2017-01-11:17,35.0,0.0
2017-01-11:18,29.0,0.0
2017-01-11:19,36.0,0.0
2017-01-11:20,35.0,0.0
2017-01-11:21,36.0,0.0
2017-01-11:22,35.0,0.0
2017-01-11:23,35.0,0.0
2017-01-11:24,44.0,0.0
2017-01-12:01,34.0,0.0
2017-01-12:02,36.0,0.0
2017-01-12:03,42.0,0.0
2017-01-12:04,44.0,0.0
2017-01-12:05,49.0,0.0
2017-01-12:06,45.0,0.0
2017-01-12:07,41.0,0.0
2017-01-12:08,40.0,0.0
2017-01-12:09,52.0,0.0
