time,pm10,pm2.5
2017-05-01:01,104.0,0.0
2017-05-01:02,100.0,0.0
2017-05-01:03,111.0,0.0
2017-05-01:04,132.0,0.0
2017-05-01:05,119.0,0.0
2017-05-01:06,108.0,0.0
2017-05-01:07,114.0,0.0
2017-05-01:08,99.0,0.0
2017-05-01:09,83.0,0.0
2017-05-01:10,65.0,0.0
2017-05-01:11,85.0,0.0
2017-05-01:12,94.0,0.0
2017-05-01:13,104.0,0.0
2017-05-01:14,100.0,0.0
2017-05-01:15,94.0,0.0
2017-05-01:16,99.0,0.0
2017-05-01:17,103.0,0.0
2017-05-01:18,125.0,0.0
2017-05-01:19,122.0,0.0
2017-05-01:20,139.0,0.0
2017-05-01:21,159.0,0.0
2017-05-01:22,146.0,0.0
2017-05-01:23,142.0,0.0
2017-05-01:24,136.0,0.0
2017-05-02:01,115.0,0.0
2017-05-02:02,123.0,0.0
2017-05-02:03,138.0,0.0
2017-05-02:04,143.0,0.0
2017-05-02:05,124.0,0.0
2017-05-02:06,128.0,0.0
2017-05-02:07,129.0,0.0
2017-05-02:08,145.0,0.0
2017-05-02:09,182.0,0.0
2017-05-02:10,127.0,0.0
2017-05-02:11,125.0,0.0
2017-05-02:12,120.0,0.0
2017-05-02:13,112.0,0.0
2017-05-02:14,118.0,0.0
2017-05-02:15,143.0,0.0
2017-05-02:16,149.0,0.0
2017-05-02:17,171.0,0.0
2017-05-02:18,136.0,0.0
2017-05-02:19,117.0,0.0
2017-05-02:20,105.0,0.0
2017-05-02:21,96.0,0.0
2017-05-02:22,83.0,0.0
2017-05-02:23,71.0,0.0
2017-05-02:24,68.0,0.0
2017-05-03:01,54.0,0.0
2017-05-03:02,67.0,0.0
2017-05-03:03,66.0,0.0
2017-05-03:04,61.0,0.0
2017-05-03:05,81.0,0.0
2017-05-03:06,85.0,0.0
2017-05-03:07,81.0,0.0
2017-05-03:08,72.0,0.0
2017-05-03:09,80.0,0.0
2017-05-03:10,64.0,0.0
2017-05-03:11,112.0,0.0
2017-05-03:12,117.0,0.0
2017-05-03:13,117.0,0.0
2017-05-03:14,97.0,0.0
2017-05-03:15,88.0,0.0
2017-05-03:16,77.0,0.0
2017-05-03:17,162.0,0.0
2017-05-03:18,104.0,0.0
2017-05-03:19,107.0,0.0
2017-05-03:20,92.0,0.0
2017-05-03:21,85.0,0.0
2017-05-03:22,74.0,0.0
2017-05-03:23,88.0,0.0
2017-05-03:24,78.0,0.0
2017-05-04:01,84.0,0.0
2017-05-04:02,82.0,0.0
2017-05-04:03,75.0,0.0
2017-05-04:04,79.0,0.0
2017-05-04:05,78.0,0.0
2017-05-04:06,77.0,0.0
2017-05-04:07,87.0,0.0
2017-05-04:08,84.0,0.0
2017-05-04:09,96.0,0.0
2017-05-04:10,78.0,0.0
2017-05-04:11,89.0,0.0
2017-05-04:12,76.0,0.0
2017-05-04:13,81.0,0.0
2017-05-04:14,81.0,0.0
2017-05-04:15,83.0,0.0
2017-05-04:16,78.0,0.0
2017-05-04:17,120.0,0.0
2017-05-04:18,80.0,0.0
2017-05-04:19,84.0,0.0
2017-05-04:20,73.0,0.0
2017-05-04:21,71.0,0.0
2017-05-04:22,83.0,0.0
2017-05-04:23,80.0,0.0
2017-05-04:24,84.0,0.0
2017-05-05:01,81.0,0.0
2017-05-05:02,84.0,0.0
2017-05-05:03,82.0,0.0
2017-05-05:04,72.0,0.0
2017-05-05:05,66.0,0.0
2017-05-05:06,61.0,0.0
2017-05-05:07,71.0,0.0
2017-05-05:08,69.0,0.0
2017-05-05:09,60.0,0.0
2017-05-05:10,39.0,0.0
2017-05-05:11,69.0,0.0
2017-05-05:12,52.0,0.0
2017-05-05:13,56.0,0.0
2017-05-05:14,51.0,0.0
2017-05-05:15,54.0,0.0
2017-05-05:16,70.0,0.0
2017-05-05:17,65.0,0.0
2017-05-05:18,49.0,0.0
2017-05-05:19,57.0,0.0
2017-05-05:20,51.0,0.0
2017-05-05:21,37.0,0.0
2017-05-05:22,38.0,0.0
2017-05-05:23,93.0,0.0
2017-05-05:24,276.0,0.0
2017-05-06:01,364.0,0.0
2017-05-06:02,389.0,0.0
2017-05-06:03,306.0,0.0
2017-05-06:04,281.0,0.0
2017-05-06:05,301.0,0.0
2017-05-06:06,302.0,0.0
2017-05-06:07,320.0,0.0
2017-05-06:08,319.0,0.0
2017-05-06:09,294.0,0.0
2017-05-06:10,283.0,0.0
2017-05-06:11,288.0,0.0
2017-05-06:12,267.0,0.0
2017-05-06:13,206.0,0.0
2017-05-06:14,224.0,0.0
2017-05-06:15,278.0,0.0
2017-05-06:16,231.0,0.0
2017-05-06:17,178.0,0.0
2017-05-06:18,170.0,0.0
2017-05-06:19,159.0,0.0
2017-05-06:20,140.0,0.0
2017-05-06:21,122.0,0.0
2017-05-06:22,115.0,0.0
2017-05-06:23,119.0,0.0
2017-05-06:24,115.0,0.0
2017-05-07:01,109.0,0.0
2017-05-07:02,120.0,0.0
2017-05-07:03,107.0,0.0
2017-05-07:04,114.0,0.0
2017-05-07:05,113.0,0.0
2017-05-07:06,111.0,0.0
2017-05-07:07,124.0,0.0
2017-05-07:08,133.0,0.0
2017-05-07:09,141.0,0.0
2017-05-07:10,158.0,0.0
2017-05-07:11,183.0,0.0
2017-05-07:12,193.0,0.0
2017-05-07:13,168.0,0.0
2017-05-07:14,149.0,0.0
2017-05-07:15,135.0,0.0
2017-05-07:16,138.0,0.0
2017-05-07:17,106.0,0.0
2017-05-07:18,88.0,0.0
2017-05-07:19,66.0,0.0
2017-05-07:20,72.0,0.0
2017-05-07:21,66.0,0.0
2017-05-07:22,69.0,0.0
2017-05-07:23,81.0,0.0
2017-05-07:24,84.0,0.0
2017-05-08:01,89.0,0.0
2017-05-08:02,113.0,0.0
2017-05-08:03,116.0,0.0
2017-05-08:04,115.0,0.0
2017-05-08:05,122.0,0.0
2017-05-08:06,133.0,0.0
2017-05-08:07,138.0,0.0
2017-05-08:08,153.0,0.0
2017-05-08:09,219.0,0.0
2017-05-08:10,258.0,0.0
2017-05-08:11,332.0,0.0
2017-05-08:12,312.0,0.0
2017-05-08:13,354.0,0.0
2017-05-08:14,320.0,0.0
2017-05-08:15,0.0,0.0
2017-05-08:16,297.0,0.0
2017-05-08:17,280.0,0.0
2017-05-08:18,268.0,0.0
2017-05-08:19,260.0,0.0
2017-05-08:20,248.0,0.0
2017-05-08:21,246.0,0.0
2017-05-08:22,249.0,0.0
2017-05-08:23,220.0,0.0
2017-05-08:24,219.0,0.0
2017-05-09:01,230.0,0.0
2017-05-09:02,224.0,0.0
2017-05-09:03,213.0,0.0
2017-05-09:04,205.0,0.0
2017-05-09:05,182.0,0.0
2017-05-09:06,165.0,0.0
2017-05-09:07,168.0,0.0
2017-05-09:08,175.0,0.0
2017-05-09:09,183.0,0.0
2017-05-09:10,187.0,0.0
2017-05-09:11,175.0,0.0
2017-05-09:12,183.0,0.0
2017-05-09:13,178.0,0.0
2017-05-09:14,200.0,0.0
2017-05-09:15,233.0,0.0
2017-05-09:16,172.0,0.0
2017-05-09:17,142.0,0.0
2017-05-09:18,143.0,0.0
2017-05-09:19,103.0,0.0
2017-05-09:20,54.0,0.0
2017-05-09:21,54.0,0.0
2017-05-09:22,85.0,0.0
2017-05-09:23,100.0,0.0
2017-05-09:24,31.0,0.0
2017-05-10:01,36.0,0.0
2017-05-10:02,30.0,0.0
2017-05-10:03,24.0,0.0
2017-05-10:04,23.0,0.0
2017-05-10:05,50.0,0.0
2017-05-10:06,45.0,0.0
2017-05-10:07,60.0,0.0
2017-05-10:08,55.0,0.0
2017-05-10:09,44.0,0.0
2017-05-10:10,47.0,0.0
2017-05-10:11,55.0,0.0
2017-05-10:12,57.0,0.0
2017-05-10:13,52.0,0.0
2017-05-10:14,59.0,0.0
2017-05-10:15,74.0,0.0
2017-05-10:16,105.0,0.0
2017-05-10:17,81.0,0.0
2017-05-10:18,80.0,0.0
2017-05-10:19,81.0,0.0
2017-05-10:20,68.0,0.0
2017-05-10:21,77.0,0.0
2017-05-10:22,63.0,0.0
2017-05-10:23,67.0,0.0
2017-05-10:24,72.0,0.0
2017-05-11:01,66.0,0.0
2017-05-11:02,57.0,0.0
2017-05-11:03,56.0,0.0
2017-05-11:04,53.0,0.0
2017-05-11:05,58.0,0.0
2017-05-11:06,58.0,0.0
2017-05-11:07,63.0,0.0
2017-05-11:08,66.0,0.0
2017-05-11:09,72.0,0.0
2017-05-11:10,96.0,0.0
2017-05-11:11,117.0,0.0
2017-05-11:12,108.0,0.0
2017-05-11:13,108.0,0.0
2017-05-11:14,125.0,0.0
2017-05-11:15,111.0,0.0
2017-05-11:16,121.0,0.0
2017-05-11:17,137.0,0.0
2017-05-11:18,115.0,0.0
2017-05-11:19,114.0,0.0
2017-05-11:20,127.0,0.0
2017-05-11:21,130.0,0.0
2017-05-11:22,124.0,0.0
2017-05-11:23,110.0,0.0
2017-05-11:24,116.0,0.0
2017-05-12:01,99.0,0.0
2017-05-12:02,112.0,0.0
2017-05-12:03,105.0,0.0
2017-05-12:04,120.0,0.0
2017-05-12:05,112.0,0.0
2017-05-12:06,90.0,0.0
2017-05-12:07,81.0,0.0
2017-05-12:08,83.0,0.0
2017-05-12:09,93.0,0.0
2017-05-12:10,90.0,0.0
2017-05-12:11,91.0,0.0
2017-05-12:12,96.0,0.0
2017-05-12:13,120.0,0.0
2017-05-12:14,101.0,0.0
2017-05-12:15,91.0,0.0
2017-05-12:16,87.0,0.0
2017-05-12:17,94.0,0.0
2017-05-12:18,89.0,0.0
2017-05-12:19,72.0,0.0
2017-05-12:20,96.0,0.0
2017-05-12:21,68.0,0.0
2017-05-12:22,78.0,0.0
2017-05-12:23,81.0,0.0
2017-05-12:24,79.0,0.0
2017-05-13:01,63.0,0.0
2017-05-13:02,67.0,0.0
2017-05-13:03,56.0,0.0
2017-05-13:04,76.0,0.0
2017-05-13:05,60.0,0.0
2017-05-13:06,61.0,0.0
2017-05-13:07,58.0,0.0
2017-05-13:08,64.0,0.0
2017-05-13:09,85.0,0.0
2017-05-13:10,68.0,0.0
2017-05-13:11,71.0,0.0
2017-05-13:12,73.0,0.0
2017-05-13:13,91.0,0.0
2017-05-13:14,106.0,0.0
2017-05-13:15,136.0,0.0
2017-05-13:16,67.0,0.0
2017-05-13:17,80.0,0.0
2017-05-13:18,77.0,0.0
2017-05-13:19,59.0,0.0
2017-05-13:20,83.0,0.0
2017-05-13:21,72.0,0.0
2017-05-13:22,70.0,0.0
2017-05-13:23,68.0,0.0
2017-05-13:24,63.0,0.0
2017-05-14:01,67.0,0.0
2017-05-14:02,76.0,0.0
2017-05-14:03,75.0,0.0
2017-05-14:04,72.0,0.0
2017-05-14:05,83.0,0.0
2017-05-14:06,69.0,0.0
2017-05-14:07,62.0,0.0
2017-05-14:08,74.0,0.0
2017-05-14:09,82.0,0.0
2017-05-14:10,69.0,0.0
2017-05-14:11,93.0,0.0
2017-05-14:12,83.0,0.0
2017-05-14:13,92.0,0.0
2017-05-14:14,91.0,0.0
2017-05-14:15,96.0,0.0
2017-05-14:16,91.0,0.0
2017-05-14:17,84.0,0.0
2017-05-14:18,70.0,0.0
2017-05-14:19,64.0,0.0
2017-05-14:20,65.0,0.0
2017-05-14:21,69.0,0.0
2017-05-14:22,59.0,0.0
2017-05-14:23,61.0,0.0
2017-05-14:24,74.0,0.0
2017-05-15:01,65.0,0.0
2017-05-15:02,51.0,0.0
2017-05-15:03,45.0,0.0
2017-05-15:04,45.0,0.0
2017-05-15:05,43.0,0.0
2017-05-15:06,71.0,0.0
2017-05-15:07,77.0,0.0
2017-05-15:08,69.0,0.0
2017-05-15:09,101.0,0.0
2017-05-15:10,73.0,0.0
2017-05-15:11,94.0,0.0
2017-05-15:12,75.0,0.0
2017-05-15:13,87.0,0.0
2017-05-15:14,66.0,0.0
2017-05-15:15,49.0,0.0
2017-05-15:16,43.0,0.0
2017-05-15:17,34.0,0.0
2017-05-15:18,40.0,0.0
2017-05-15:19,22.0,0.0
2017-05-15:20,46.0,0.0
2017-05-15:21,42.0,0.0
2017-05-15:22,55.0,0.0
2017-05-15:23,57.0,0.0
2017-05-15:24,47.0,0.0
2017-05-16:01,37.0,0.0
2017-05-16:02,47.0,0.0
2017-05-16:03,35.0,0.0
2017-05-16:04,42.0,0.0
2017-05-16:05,38.0,0.0
2017-05-16:06,37.0,0.0
2017-05-16:07,48.0,0.0
2017-05-16:08,43.0,0.0
2017-05-16:09,56.0,0.0
2017-05-16:10,55.0,0.0
2017-05-16:11,61.0,0.0
2017-05-16:12,55.0,0.0
2017-05-16:13,66.0,0.0
2017-05-16:14,66.0,0.0
2017-05-16:15,61.0,0.0
2017-05-16:16,53.0,0.0
2017-05-16:17,51.0,0.0
2017-05-16:18,53.0,0.0
2017-05-16:19,48.0,0.0
2017-05-16:20,59.0,0.0
2017-05-16:21,63.0,0.0
2017-05-16:22,35.0,0.0
2017-05-16:23,30.0,0.0
2017-05-16:24,36.0,0.0
2017-05-17:01,44.0,0.0
2017-05-17:02,44.0,0.0
2017-05-17:03,46.0,0.0
2017-05-17:04,37.0,0.0
2017-05-17:05,46.0,0.0
2017-05-17:06,52.0,0.0
2017-05-17:07,51.0,0.0
2017-05-17:08,55.0,0.0
2017-05-17:09,63.0,0.0
2017-05-17:10,61.0,0.0
2017-05-17:11,80.0,0.0
2017-05-17:12,69.0,0.0
2017-05-17:13,71.0,0.0
2017-05-17:14,73.0,0.0
2017-05-17:15,64.0,0.0
2017-05-17:16,83.0,0.0
2017-05-17:17,52.0,0.0
2017-05-17:18,41.0,0.0
2017-05-17:19,44.0,0.0
2017-05-17:20,51.0,0.0
2017-05-17:21,41.0,0.0
2017-05-17:22,45.0,0.0
2017-05-17:23,38.0,0.0
2017-05-17:24,52.0,0.0
2017-05-18:01,51.0,0.0
2017-05-18:02,48.0,0.0
2017-05-18:03,50.0,0.0
2017-05-18:04,41.0,0.0
2017-05-18:05,52.0,0.0
2017-05-18:06,53.0,0.0
2017-05-18:07,43.0,0.0
2017-05-18:08,59.0,0.0
2017-05-18:09,61.0,0.0
2017-05-18:10,58.0,0.0
2017-05-18:11,83.0,0.0
2017-05-18:12,74.0,0.0
