time,pm10,pm2.5
2016-05-01:01,57.0,28.0
2016-05-01:02,49.0,27.0
2016-05-01:03,48.0,28.0
2016-05-01:04,44.0,21.0
2016-05-01:05,40.0,25.0
2016-05-01:06,44.0,26.0
2016-05-01:07,46.0,30.0
2016-05-01:08,51.0,26.0
2016-05-01:09,46.0,25.0
2016-05-01:10,46.0,27.0
2016-05-01:11,39.0,17.0
2016-05-01:12,38.0,20.0
2016-05-01:13,37.0,15.0
2016-05-01:14,36.0,17.0
2016-05-01:15,36.0,13.0
2016-05-01:16,26.0,8.0
2016-05-01:17,21.0,12.0
2016-05-01:18,26.0,13.0
2016-05-01:19,21.0,13.0
2016-05-01:20,24.0,14.0
2016-05-01:21,26.0,15.0
2016-05-01:22,36.0,19.0
2016-05-01:23,35.0,14.0
2016-05-01:24,30.0,15.0
2016-05-02:01,35.0,18.0
2016-05-02:02,36.0,18.0
2016-05-02:03,35.0,25.0
2016-05-02:04,35.0,19.0
2016-05-02:05,32.0,18.0
2016-05-02:06,32.0,19.0
2016-05-02:07,37.0,21.0
2016-05-02:08,40.0,23.0
2016-05-02:09,37.0,19.0
2016-05-02:10,39.0,24.0
2016-05-02:11,41.0,23.0
2016-05-02:12,45.0,27.0
2016-05-02:13,45.0,28.0
2016-05-02:14,40.0,22.0
2016-05-02:15,40.0,25.0
2016-05-02:16,0.0,0.0
2016-05-02:17,0.0,0.0
2016-05-02:18,46.0,21.0
2016-05-02:19,60.0,29.0
2016-05-02:20,41.0,24.0
2016-05-02:21,39.0,25.0
2016-05-02:22,43.0,24.0
2016-05-02:23,38.0,26.0
2016-05-02:24,38.0,21.0
2016-05-03:01,26.0,18.0
2016-05-03:02,30.0,15.0
2016-05-03:03,30.0,18.0
2016-05-03:04,21.0,17.0
2016-05-03:05,23.0,16.0
2016-05-03:06,28.0,18.0
2016-05-03:07,22.0,13.0
2016-05-03:08,22.0,10.0
2016-05-03:09,13.0,7.0
2016-05-03:10,13.0,4.0
2016-05-03:11,10.0,4.0
2016-05-03:12,16.0,12.0
2016-05-03:13,18.0,10.0
2016-05-03:14,18.0,14.0
2016-05-03:15,14.0,10.0
2016-05-03:16,20.0,6.0
2016-05-03:17,20.0,9.0
2016-05-03:18,20.0,6.0
2016-05-03:19,20.0,8.0
2016-05-03:20,20.0,8.0
2016-05-03:21,17.0,12.0
2016-05-03:22,23.0,8.0
2016-05-03:23,19.0,5.0
2016-05-03:24,28.0,9.0
2016-05-04:01,32.0,9.0
2016-05-04:02,36.0,9.0
2016-05-04:03,42.0,9.0
2016-05-04:04,45.0,14.0
2016-05-04:05,46.0,12.0
2016-05-04:06,44.0,12.0
2016-05-04:07,39.0,12.0
2016-05-04:08,44.0,11.0
2016-05-04:09,51.0,12.0
2016-05-04:10,50.0,14.0
2016-05-04:11,47.0,9.0
2016-05-04:12,32.0,10.0
2016-05-04:13,41.0,16.0
2016-05-04:14,38.0,13.0
2016-05-04:15,41.0,17.0
2016-05-04:16,36.0,11.0
2016-05-04:17,28.0,8.0
2016-05-04:18,29.0,13.0
2016-05-04:19,34.0,14.0
2016-05-04:20,34.0,13.0
2016-05-04:21,35.0,13.0
2016-05-04:22,34.0,12.0
2016-05-04:23,29.0,11.0
2016-05-04:24,27.0,15.0
2016-05-05:01,29.0,15.0
2016-05-05:02,37.0,15.0
2016-05-05:03,40.0,21.0
2016-05-05:04,47.0,21.0
2016-05-05:05,45.0,22.0
2016-05-05:06,41.0,21.0
2016-05-05:07,38.0,20.0
2016-05-05:08,39.0,20.0
2016-05-05:09,40.0,22.0
2016-05-05:10,47.0,24.0
2016-05-05:11,45.0,23.0
2016-05-05:12,56.0,17.0
2016-05-05:13,60.0,13.0
2016-05-05:14,54.0,12.0
2016-05-05:15,48.0,17.0
2016-05-05:16,46.0,19.0
2016-05-05:17,50.0,19.0
2016-05-05:18,37.0,21.0
2016-05-05:19,48.0,25.0
2016-05-05:20,48.0,24.0
2016-05-05:21,43.0,25.0
2016-05-05:22,37.0,20.0
2016-05-05:23,43.0,25.0
2016-05-05:24,46.0,29.0
2016-05-06:01,38.0,26.0
2016-05-06:02,42.0,24.0
2016-05-06:03,39.0,21.0
2016-05-06:04,43.0,22.0
2016-05-06:05,40.0,21.0
2016-05-06:06,43.0,21.0
2016-05-06:07,43.0,19.0
2016-05-06:08,42.0,21.0
2016-05-06:09,42.0,21.0
2016-05-06:10,40.0,23.0
2016-05-06:11,41.0,22.0
2016-05-06:12,39.0,22.0
2016-05-06:13,41.0,24.0
2016-05-06:14,30.0,15.0
2016-05-06:15,22.0,13.0
2016-05-06:16,16.0,9.0
2016-05-06:17,18.0,12.0
2016-05-06:18,23.0,14.0
2016-05-06:19,26.0,20.0
2016-05-06:20,41.0,25.0
2016-05-06:21,46.0,21.0
2016-05-06:22,55.0,25.0
2016-05-06:23,101.0,29.0
2016-05-06:24,108.0,30.0
2016-05-07:01,117.0,30.0
2016-05-07:02,148.0,34.0
2016-05-07:03,174.0,33.0
2016-05-07:04,164.0,32.0
2016-05-07:05,157.0,32.0
2016-05-07:06,137.0,31.0
2016-05-07:07,119.0,27.0
2016-05-07:08,106.0,26.0
2016-05-07:09,98.0,27.0
2016-05-07:10,92.0,29.0
2016-05-07:11,97.0,25.0
2016-05-07:12,91.0,21.0
2016-05-07:13,75.0,16.0
2016-05-07:14,53.0,8.0
2016-05-07:15,30.0,6.0
2016-05-07:16,32.0,11.0
2016-05-07:17,39.0,16.0
2016-05-07:18,35.0,10.0
2016-05-07:19,28.0,12.0
2016-05-07:20,36.0,13.0
2016-05-07:21,45.0,19.0
2016-05-07:22,49.0,23.0
2016-05-07:23,42.0,19.0
2016-05-07:24,39.0,13.0
2016-05-08:01,34.0,15.0
2016-05-08:02,38.0,15.0
2016-05-08:03,34.0,16.0
2016-05-08:04,37.0,16.0
2016-05-08:05,38.0,17.0
2016-05-08:06,34.0,17.0
2016-05-08:07,31.0,14.0
2016-05-08:08,38.0,14.0
2016-05-08:09,42.0,18.0
2016-05-08:10,40.0,18.0
2016-05-08:11,42.0,14.0
2016-05-08:12,43.0,16.0
2016-05-08:13,40.0,14.0
2016-05-08:14,41.0,12.0
2016-05-08:15,42.0,20.0
2016-05-08:16,42.0,18.0
2016-05-08:17,44.0,17.0
2016-05-08:18,48.0,17.0
2016-05-08:19,54.0,20.0
2016-05-08:20,56.0,20.0
2016-05-08:21,48.0,20.0
2016-05-08:22,43.0,19.0
2016-05-08:23,36.0,10.0
2016-05-08:24,31.0,15.0
2016-05-09:01,33.0,18.0
2016-05-09:02,36.0,17.0
2016-05-09:03,38.0,17.0
2016-05-09:04,38.0,17.0
2016-05-09:05,43.0,23.0
2016-05-09:06,45.0,19.0
2016-05-09:07,51.0,22.0
2016-05-09:08,46.0,23.0
2016-05-09:09,51.0,20.0
2016-05-09:10,59.0,23.0
2016-05-09:11,53.0,14.0
2016-05-09:12,54.0,14.0
2016-05-09:13,51.0,22.0
2016-05-09:14,57.0,27.0
2016-05-09:15,55.0,19.0
2016-05-09:16,51.0,24.0
2016-05-09:17,45.0,23.0
2016-05-09:18,48.0,17.0
2016-05-09:19,47.0,25.0
2016-05-09:20,46.0,17.0
2016-05-09:21,38.0,17.0
2016-05-09:22,40.0,21.0
2016-05-09:23,50.0,22.0
2016-05-09:24,50.0,20.0
2016-05-10:01,57.0,24.0
2016-05-10:02,62.0,28.0
2016-05-10:03,60.0,25.0
2016-05-10:04,57.0,35.0
2016-05-10:05,50.0,23.0
2016-05-10:06,20.0,10.0
2016-05-10:07,18.0,7.0
2016-05-10:08,21.0,13.0
2016-05-10:09,28.0,20.0
2016-05-10:10,32.0,20.0
2016-05-10:11,29.0,15.0
2016-05-10:12,23.0,14.0
2016-05-10:13,19.0,17.0
2016-05-10:14,21.0,12.0
2016-05-10:15,16.0,10.0
2016-05-10:16,15.0,9.0
2016-05-10:17,15.0,10.0
2016-05-10:18,15.0,9.0
2016-05-10:19,17.0,8.0
2016-05-10:20,17.0,13.0
2016-05-10:21,16.0,8.0
2016-05-10:22,18.0,10.0
2016-05-10:23,15.0,8.0
2016-05-10:24,16.0,9.0
2016-05-11:01,18.0,9.0
2016-05-11:02,18.0,10.0
2016-05-11:03,18.0,10.0
2016-05-11:04,20.0,10.0
2016-05-11:05,16.0,11.0
2016-05-11:06,18.0,7.0
2016-05-11:07,14.0,9.0
2016-05-11:08,16.0,8.0
2016-05-11:09,17.0,8.0
2016-05-11:10,27.0,14.0
2016-05-11:11,25.0,14.0
2016-05-11:12,28.0,14.0
2016-05-11:13,30.0,10.0
2016-05-11:14,30.0,12.0
2016-05-11:15,39.0,18.0
2016-05-11:16,41.0,24.0
2016-05-11:17,42.0,22.0
2016-05-11:18,37.0,17.0
2016-05-11:19,37.0,19.0
2016-05-11:20,35.0,19.0
2016-05-11:21,27.0,14.0
2016-05-11:22,24.0,12.0
2016-05-11:23,26.0,14.0
2016-05-11:24,21.0,15.0
2016-05-12:01,21.0,14.0
2016-05-12:02,25.0,16.0
2016-05-12:03,25.0,14.0
2016-05-12:04,29.0,15.0
2016-05-12:05,29.0,17.0
2016-05-12:06,38.0,25.0
2016-05-12:07,39.0,22.0
2016-05-12:08,39.0,23.0
2016-05-12:09,29.0,18.0
2016-05-12:10,25.0,14.0
2016-05-12:11,28.0,19.0
2016-05-12:12,28.0,16.0
2016-05-12:13,26.0,17.0
2016-05-12:14,23.0,9.0
2016-05-12:15,23.0,12.0
2016-05-12:16,21.0,15.0
2016-05-12:17,27.0,8.0
2016-05-12:18,18.0,8.0
2016-05-12:19,25.0,16.0
2016-05-12:20,20.0,16.0
2016-05-12:21,23.0,13.0
2016-05-12:22,21.0,12.0
2016-05-12:23,21.0,15.0
2016-05-12:24,34.0,19.0
2016-05-13:01,51.0,31.0
2016-05-13:02,51.0,34.0
2016-05-13:03,36.0,24.0
2016-05-13:04,50.0,27.0
2016-05-13:05,75.0,37.0
2016-05-13:06,75.0,41.0
2016-05-13:07,56.0,32.0
2016-05-13:08,28.0,14.0
2016-05-13:09,16.0,5.0
2016-05-13:10,22.0,12.0
2016-05-13:11,17.0,13.0
2016-05-13:12,22.0,11.0
2016-05-13:13,24.0,17.0
2016-05-13:14,23.0,15.0
2016-05-13:15,26.0,19.0
2016-05-13:16,28.0,14.0
2016-05-13:17,24.0,16.0
2016-05-13:18,24.0,9.0
2016-05-13:19,22.0,19.0
2016-05-13:20,41.0,24.0
2016-05-13:21,41.0,27.0
2016-05-13:22,41.0,25.0
2016-05-13:23,41.0,19.0
2016-05-13:24,38.0,21.0
2016-05-14:01,55.0,24.0
2016-05-14:02,38.0,21.0
2016-05-14:03,42.0,22.0
2016-05-14:04,38.0,21.0
2016-05-14:05,36.0,20.0
2016-05-14:06,31.0,21.0
2016-05-14:07,30.0,18.0
2016-05-14:08,29.0,18.0
2016-05-14:09,34.0,20.0
2016-05-14:10,26.0,13.0
2016-05-14:11,23.0,13.0
2016-05-14:12,27.0,15.0
2016-05-14:13,21.0,14.0
2016-05-14:14,20.0,11.0
2016-05-14:15,19.0,14.0
2016-05-14:16,22.0,20.0
2016-05-14:17,20.0,12.0
2016-05-14:18,23.0,12.0
2016-05-14:19,39.0,18.0
2016-05-14:20,32.0,18.0
2016-05-14:21,33.0,19.0
2016-05-14:22,36.0,17.0
2016-05-14:23,35.0,25.0
2016-05-14:24,37.0,22.0
2016-05-15:01,40.0,25.0
2016-05-15:02,39.0,25.0
2016-05-15:03,35.0,24.0
2016-05-15:04,31.0,18.0
2016-05-15:05,30.0,22.0
2016-05-15:06,33.0,22.0
2016-05-15:07,39.0,27.0
2016-05-15:08,46.0,28.0
2016-05-15:09,48.0,34.0
2016-05-15:10,45.0,25.0
2016-05-15:11,38.0,19.0
2016-05-15:12,40.0,17.0
2016-05-15:13,47.0,26.0
2016-05-15:14,35.0,18.0
2016-05-15:15,45.0,26.0
2016-05-15:16,37.0,22.0
2016-05-15:17,32.0,24.0
2016-05-15:18,21.0,15.0
2016-05-15:19,7.0,4.0
2016-05-15:20,6.0,5.0
2016-05-15:21,11.0,9.0
2016-05-15:22,9.0,4.0
2016-05-15:23,8.0,5.0
2016-05-15:24,7.0,5.0
2016-05-16:01,9.0,4.0
2016-05-16:02,13.0,6.0
2016-05-16:03,13.0,9.0
2016-05-16:04,17.0,9.0
2016-05-16:05,22.0,10.0
2016-05-16:06,23.0,14.0
2016-05-16:07,29.0,12.0
2016-05-16:08,33.0,19.0
2016-05-16:09,41.0,21.0
2016-05-16:10,32.0,15.0
2016-05-16:11,36.0,17.0
2016-05-16:12,30.0,14.0
2016-05-16:13,25.0,15.0
2016-05-16:14,32.0,11.0
2016-05-16:15,33.0,9.0
2016-05-16:16,39.0,18.0
2016-05-16:17,36.0,17.0
2016-05-16:18,34.0,18.0
2016-05-16:19,47.0,22.0
2016-05-16:20,58.0,34.0
2016-05-16:21,55.0,33.0
2016-05-16:22,57.0,29.0
2016-05-16:23,53.0,30.0
2016-05-16:24,54.0,33.0
2016-05-17:01,63.0,37.0
2016-05-17:02,64.0,41.0
2016-05-17:03,63.0,37.0
2016-05-17:04,57.0,34.0
2016-05-17:05,56.0,36.0
2016-05-17:06,62.0,40.0
2016-05-17:07,63.0,38.0
2016-05-17:08,68.0,43.0
2016-05-17:09,71.0,44.0
2016-05-17:10,71.0,41.0
2016-05-17:11,81.0,49.0
2016-05-17:12,69.0,43.0
2016-05-17:13,56.0,29.0
2016-05-17:14,0.0,0.0
2016-05-17:15,0.0,0.0
2016-05-17:16,0.0,0.0
2016-05-17:17,51.0,30.0
2016-05-17:18,42.0,23.0
2016-05-17:19,56.0,35.0
2016-05-17:20,57.0,34.0
2016-05-17:21,67.0,44.0
2016-05-17:22,60.0,41.0
2016-05-17:23,55.0,35.0
2016-05-17:24,52.0,33.0
2016-05-18:01,52.0,38.0
2016-05-18:02,51.0,31.0
2016-05-18:03,49.0,44.0
2016-05-18:04,51.0,33.0
2016-05-18:05,58.0,38.0
2016-05-18:06,62.0,43.0
2016-05-18:07,67.0,38.0
2016-05-18:08,68.0,43.0
2016-05-18:09,79.0,42.0
2016-05-18:10,69.0,44.0
2016-05-18:11,75.0,43.0
2016-05-18:12,69.0,42.0
2016-05-18:13,44.0,34.0
2016-05-18:14,33.0,25.0
2016-05-18:15,34.0,23.0
2016-05-18:16,35.0,20.0
2016-05-18:17,25.0,16.0
2016-05-18:18,20.0,12.0
2016-05-18:19,22.0,15.0
2016-05-18:20,27.0,15.0
2016-05-18:21,29.0,20.0
2016-05-18:22,37.0,23.0
2016-05-18:23,35.0,20.0
2016-05-18:24,35.0,23.0
2016-05-19:01,33.0,24.0
2016-05-19:02,34.0,21.0
2016-05-19:03,36.0,24.0
2016-05-19:04,34.0,23.0
2016-05-19:05,36.0,25.0
2016-05-19:06,39.0,26.0
2016-05-19:07,37.0,24.0
2016-05-19:08,44.0,24.0
2016-05-19:09,50.0,27.0
2016-05-19:10,46.0,26.0
2016-05-19:11,44.0,27.0
2016-05-19:12,39.0,25.0
2016-05-19:13,37.0,21.0
2016-05-19:14,26.0,17.0
2016-05-19:15,24.0,14.0
2016-05-19:16,26.0,15.0
2016-05-19:17,32.0,16.0
2016-05-19:18,35.0,25.0
