,시군구명,미세먼지,생활인구,교통량,난방,전력,경유차,건설현장,도로굴착
0,강남구,37.409546719999994,127069530.25275552,972248,237164,4668552,72783,169,258
1,강동구,39.70027643,73448467.92123331,298330,168770,1534686,49164,167,747
2,강서구,39.503795345,84126281.57122225,472390,258794,2517803,73519,183,468
3,관악구,41.067829499999995,78182012.962,120371,275217,1744043,44110,116,112
4,광진구,36.16575038,61869089.27133331,234330,177923,1684592,38445,89,193
5,구로구,38.05252805,64474097.85696663,318401,191043,1903682,57190,116,106
6,금천구,41.943832775000004,36173661.60386667,390588,120888,1639417,37572,108,129
7,노원구,37.249564129999996,79323895.86575556,278778,205049,1538956,52925,176,155
8,도봉구,36.08365092,44547642.13256668,103482,139386,912362,35425,119,84
9,동작구,40.27883828,63806771.1836889,327946,191220,1303621,36751,113,160
10,마포구,42.26896773,76191921.44017778,698561,195075,2147213,42667,186,95
11,서대문구,36.18177066,61753801.38833334,257333,151245,1268429,31153,122,87
12,서초구,39.491568965,93674810.18081108,1084842,187278,3340952,61467,118,296
13,성동구,39.745732505,54475339.61223334,372062,141875,2203585,40275,228,43
14,성북구,39.635575669999994,68304981.88563333,396402,193616,1473874,43227,118,352
15,송파구,38.61079336,114728993.96059996,545075,267365,2820372,85648,184,155
16,양천구,33.92003823,60277136.60325559,322022,179681,1698490,53192,134,218
17,영등포구,43.271382195,78933397.51446666,639478,196484,2690642,57571,129,124
18,용산구,38.714380355,48877404.30577776,635953,117690,1448285,26953,81,213
19,은평구,36.57825657,67630258.16283332,155042,205219,1424502,46574,104,101
20,종로구,32.409038235,53509006.34572223,495677,83550,1779509,19127,163,255
21,중구,36.4990072,55783701.17637778,563769,70798,2516717,22016,163,150
22,중랑구,29.64781285,54927727.87352223,270354,181187,1135735,44864,99,164
