,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 평균
Dobong_Sirubong,54.18826739427012,57.859756097560975,56.56135401974612,56.97987616099071,40.08926080892608,37.31616595135908,25.61042524005487,23.5633608815427,21.014409221902017,27.09315068493151,52.76555716353111,40.32065217391305,41.11351964989404
Dongdaemoon_Cheonhodaero,55.06929347826087,50.174698795180724,48.986338797814206,46.30942334739803,36.97229916897507,29.992977528089888,21.07670850767085,17.177871148459385,15.40486409155937,23.755766621438262,47.66713483146067,40.32147742818057,36.07573781204066
Dongdaemoon_Hongreungro,53.06189821182944,55.771558245083206,58.47837837837838,59.96488764044944,50.606224627875505,45.752793296089386,32.71549295774648,30.06789250353607,26.114327062228654,34.47534246575343,57.096774193548384,46.892370572207085,45.91649501289379
Dongjak_Dongjakdaero,58.261808367071524,64.80688622754491,65.01109570041609,60.932203389830505,55.27507163323782,49.382308845577214,29.010174418604652,29.52544704264099,26.93722627737226,36.336499321573946,62.33050847457627,49.24320652173913,48.92103635168211
Dongjak_Sadangro,52.386702849389415,52.63622754491018,50.497297297297294,47.38611111111111,41.877266387726635,36.8623595505618,27.991858887381277,25.119241192411923,21.314285714285713,28.677462887989204,52.50974930362117,44.30810810810811,40.13055590289948
Enpyeong_JinHeungro,50.888429752066116,55.252252252252255,52.82510578279267,51.36629526462396,46.53560371517028,36.27615062761506,23.137789904502046,23.9890560875513,22.15007012622721,29.31700680272109,54.15774647887324,42.27459016393443,40.68084141319414
Gangbuk_Samyangro,46.89837398373984,49.71064467766117,49.94331983805668,47.53006993006993,37.00271370420624,31.597475455820476,24.646341463414632,20.647138964577657,16.380884450784592,19.49526387009472,38.57983193277311,43.064864864864866,35.45807692800533
Gangdong_Cheonhodaero,63.04059539918809,60.95418641390205,60.77728613569322,54.2993006993007,47.16986301369863,41.404,28.544701986754966,25.233823529411765,18.859154929577464,40.143382352941174,54.60335195530726,43.86253369272237,44.90768167570814
Gangdong_Gucheonmeonro,56.31275720164609,59.302255639097744,56.995810055865924,64.92636229749631,45.28125,39.053146853146856,29.774238227146814,24.960755813953487,22.94954128440367,32.94257703081232,57.096317280453256,43.500674763832656,44.42464053732127
Gangnam_Dosandaero,60.24119241192412,60.54872563718141,62.574175824175825,64.2325925925926,53.04834254143646,46.66571428571429,26.964383561643835,25.382191780821916,24.592219020172912,36.11691884456671,63.36647727272727,50.53909465020576,47.85600236859693
Gangnam_Hakdongro,42.77823691460055,49.62125748502994,47.072108843537414,46.626234132581104,36.838315217391305,31.514767932489452,21.28434065934066,19.027063599458728,16.01997146932953,24.051420838971584,47.50558659217877,39.59620596205962,35.161292470580726
Gangseo_Gangseoro,52.117293233082705,52.11377245508982,51.63821138211382,47.938375350140056,38.920162381596754,33.85994397759104,23.38617886178862,19.82027027027027,17.902995720399428,27.1527027027027,54.96923076923077,47.97027027027027,38.98245061452302
Gangseo_Magokdong,62.267299864314786,61.96251874062968,65.61111111111111,58.39828080229226,47.681693989071036,42.735583684950775,27.892608089260808,27.153526970954356,25.8826895565093,37.5357624831309,73.88284518828452,57.98519515477793,49.082426302940625
Geumcheon_Doksandong,,,,,,,,,,,56.100746268656714,40.886178861788615,
Geumcheon_Geumharo,50.09864864864865,50.42026825633383,51.886896551724135,47.86433566433566,41.570460704607044,38.28291316526611,27.344173441734416,24.303523035230352,21.682403433476395,27.062322946175637,49.20391061452514,41.233783783783785,39.24613668715343
Guro_Gamasanro,59.43134328358209,58.074446680080484,61.232081911262796,59.45156695156695,44.845205479452055,39.57738095238095,20.675450762829403,20.718926553672315,21.75,32.84993178717599,59.350558659217874,43.25373134328358,43.43421869704204
Gwanak_Sinrim,47.42663043478261,47.87782805429864,56.81805157593123,56.76652601969057,50.05801104972376,43.62642045454545,26.184979137691236,24.789473684210527,24.982008995502248,34.90771349862259,60.799431009957324,47.49590163934426,43.477747962858366
Gwangjin_Gwangnaruro,53.23202170963365,52.90269461077844,44.73905723905724,54.011220196353435,44.019444444444446,39.10142857142857,24.281512605042018,22.605337078651687,20.42225392296719,28.550206327372766,52.44192634560906,40.05842391304348,39.69712724703183
Jongno_Jongno,42.51376146788991,47.32272727272727,45.85948158253752,42.344632768361585,33.79047619047619,32.80845070422535,25.83108108108108,23.14673913043478,18.703281027104136,26.23224043715847,49.392458100558656,41.776119402985074,35.810120763795
Jongro_Jonro35gagil,44.77837837837838,46.07035928143713,46.36449864498645,44.44553072625698,36.28010825439784,31.425174825174825,23.19413407821229,20.223880597014926,18.123931623931625,25.471467391304348,48.79273827534039,41.38024357239513,35.545870470735856
Joong_Deoksugunggil,44.68428184281843,45.26008968609865,45.23815967523681,43.37675070028011,38.119669876203574,34.47191011235955,24.705006765899864,22.766073871409027,18.359886201991465,26.23141654978962,49.15266106442577,41.94054054054054,36.19220390725445
Jungnang_Yongmasanro,54.832417582417584,48.78378378378378,47.920980926430516,46.221902017291065,34.896879240162825,29.36338028169014,20.253061224489795,17.85888738127544,14.72753209700428,22.37212449255751,44.53221288515406,36.60433604336043,34.863958162968125
Jung_Cheonggaecheonro,47.32070365358593,47.16017964071856,50.037889039242216,56.79369627507163,53.186968838526916,45.747093023255815,32.546707503828486,29.97125567322239,27.089041095890412,31.20979020979021,45.55960729312763,35.75405405405405,41.86474885835952
Mapo_Nogosandong,67.10368349249659,67.51293759512937,64.11713030746705,66.32898550724637,57.00854700854701,57.95530726256983,35.564551422319475,28.4375,28.351473922902493,36.45255474452555,51.80309423347398,40.512855209742895,50.09571839220172
Mapo_Poeunro,51.836486486486486,53.15119760479042,56.26502732240437,57.21067415730337,47.61413043478261,42.14325842696629,21.243611584327088,19.581648522550545,22.708333333333332,34.61171662125341,63.36338028169014,49.94979647218453,43.30660510400605
Nowon_Hwarang,49.91474966170501,53.64820359281437,56.45454545454545,59.37774524158126,45.658002735978116,45.621468926553675,34.33111111111111,27.997109826589597,22.065502183406114,28.819918144611187,50.51343705799151,40.84931506849315,42.93759241711505
Nowon_Sangyero,52.070365358592696,54.06586826347306,52.33468286099865,49.76643356643357,39.07432432432432,33.479050279329606,26.17208672086721,22.944444444444443,21.220314735336196,28.471621621621622,49.255944055944056,44.87432432432433,39.477455046307476
